Obidos,Obidos,Amazon River,-55.5,-1.9
Kinshasa,Kinshasa,Congo River,-4.3,15.3
Vicksburg,Vicksburg,Mississippi,-91.1,32.315
Ekhsase,El Ekhsase,Nile,30.75,28.7
Kyusyur,Kyusyur,Lena,127.25,70.7
Corrientes,Corrientes,Parana,-58.55,-28.47
Datong,Datong,Yangtze,117.62,30.77
Arctic,Arctic,Mackenzie River,-133.1,67.3
Volgograd,Volgograd power plant,Volga,44.5858,48.8047
Malanville,Malanville,Niger,11.8667,3.3833
Lock9,Lock 9 upper,Murray River,141.6,-34.1833
Vioolsdrif,Vioolsdrif,Orange River,17.7303,-28.7608
Farakka,Farakka,Ganges,87.92,25.01
Kotri,Kotri,Indus,68.37,25.37
Ceatal,Ceatal Izmail,Danube ,28.73,45.22
Huayuankou,Huayuankou,Yellow River,113.65,34.92
Bahadurabad,Bahadurabad,Brahmaputra,89.67,25.18
Rees,Rees,Rhine,6.4,51.75
Matundo,Matudo-Cais,Zambezi,33.58,-16.15
Mukdahan,Mukdahan,Mekong,104.89,16.33
