# MACHINE-READABLE DESCRIPTION OF THE COLUMNS IN KNMI ETMGEG FILES
# datafiles 2  Jul 2009
# This file should be cheched against the udunits package
# This file can be loaded into Matlab with xls2struct
# TO DO: add standard_names
# --+----------+-----+----------+-----------+->
# nr; knmi_name;slope;_FillValue;      units;long_name
# --+----------+-----+----------+-----------+->
nr;knmi_name;slope;nodatavalue;units;long_name
 #;char     ;    1;          1;char;char
   1;STN       ;  NaN;       NaN;          #; WMO-number                                      ;
   2;YYYYMMDD  ;  NaN;       NaN;   YYYYMMDD;date                                            ;
   3;DDVEC     ;    1;       NaN;        deg;prevailing wind direction in degrees            ;
   4;FG        ;   .1;       NaN;        m/s;daily mean windspeed                            ;
   5;FHX       ;   .1;       NaN;        m/s;maximum hourly mean windspeed                   ;
   6;FHN       ;   .1;       NaN;        m/s;minimum hourly mean windspeed                   ;
   7;FX        ;   .1;       NaN;        m/s;maximum wind gust                               ;
   8;TG        ;   .1;       NaN;deg_celsius;daily mean temperature                          ;
   9;TN        ;   .1;       NaN;deg_celsius;minimum temperature                             ;
   0;TX        ;   .1;       NaN;deg_celsius;maximum temperature                             ;
  11;T10N      ;   .1;       NaN;deg_celsius;minimum temperature (surface)                   ;
  12;SQ        ;   .1;        -1;       hour;sunshine duration                               ;
  13;SP        ;    1;       NaN;          %;percentage of maximum possible sunshine duration;
  14;Q         ;    1;       NaN;     J/cm^2;global radiation                                ;
  15;DR        ;   .1;       NaN;       hour;precipitation duration                          ;
  16;RH        ;   .1;        -1;         mm;daily precipitation amount                      ;
  17;PG        ;   .1;       NaN;        hPa;daily mean surface air pressure                 ;
  18;PGX       ;   .1;       NaN;        hPa;maximum surface air pressure                    ;
  19;PGN       ;   .1;       NaN;        hPa;minimum surface air pressure                    ;
  20;VVN       ;    1;       NaN;          #;minimum visibility                              ;
  21;VVX       ;    1;       NaN;          #;maximum visibility                              ;
  22;NG        ;    1;       NaN;    octants;cloud cover                                     ;
  23;UG        ;    1;       NaN;          %;daily mean relative atmospheric humidity        ;
  24;UX        ;    1;       NaN;          %;maximum relative atmospheric humidity           ;
  25;UN        ;    1;       NaN;          %;minimum relative atmospheric humidity           ;
  26;EV24      ;   .1;       NaN;         mm;Potential evapotranspiration (Makkink)          ;
