# profile measurements 
# x: distance w.r.t. RSP 
# z: elevation 
# Measurement_type: Dry=0,Wet=1,Interpolated=2,JarkusMeasurement=3,ExtendedGroin=4,HelpGroin=5,Edited=6
Nprofiles=1 
Area Id=1 
year=2000 
Offset=1 
Xrsp=0 
Yrsp=0 
Anglersp=0

x;z;Measurement_type;date
-400;15;0;2000-01-01
-395;15;0;2000-01-01
-390;15;0;2000-01-01
-385;15;0;2000-01-01
-380;15;0;2000-01-01
-375;15;0;2000-01-01
-370;15;0;2000-01-01
-365;15;0;2000-01-01
-360;15;0;2000-01-01
-355;15;0;2000-01-01
-350;15;0;2000-01-01
-345;15;0;2000-01-01
-340;15;0;2000-01-01
-335;15;0;2000-01-01
-330;15;0;2000-01-01
-325;15;0;2000-01-01
-320;15;0;2000-01-01
-315;15;0;2000-01-01
-310;15;0;2000-01-01
-305;15;0;2000-01-01
-300;15;0;2000-01-01
-295;15;0;2000-01-01
-290;15;0;2000-01-01
-285;15;0;2000-01-01
-280;15;0;2000-01-01
-275;15;0;2000-01-01
-270;15;0;2000-01-01
-265;15;0;2000-01-01
-260;15;0;2000-01-01
-255;15;0;2000-01-01
-250;15;0;2000-01-01
-245;15;0;2000-01-01
-240;15;0;2000-01-01
-235;15;0;2000-01-01
-230;15;0;2000-01-01
-225;15;0;2000-01-01
-220;15;0;2000-01-01
-215;15;0;2000-01-01
-210;15;0;2000-01-01
-205;15;0;2000-01-01
-200;15;0;2000-01-01
-195;15;0;2000-01-01
-190;15;0;2000-01-01
-185;15;0;2000-01-01
-180;15;0;2000-01-01
-175;15;0;2000-01-01
-170;15;0;2000-01-01
-165;15;0;2000-01-01
-160;15;0;2000-01-01
-155;15;0;2000-01-01
-150;15;0;2000-01-01
-145;15;0;2000-01-01
-140;15;0;2000-01-01
-135;15;0;2000-01-01
-130;15;0;2000-01-01
-125;15;0;2000-01-01
-120;15;0;2000-01-01
-115;15;0;2000-01-01
-110;15;0;2000-01-01
-105;15;0;2000-01-01
-100;15;0;2000-01-01
-95;15;0;2000-01-01
-90;15;0;2000-01-01
-85;15;0;2000-01-01
-80;15;0;2000-01-01
-75;15;0;2000-01-01
-70;15;0;2000-01-01
-65;15;0;2000-01-01
-60;15;0;2000-01-01
-55;15;0;2000-01-01
-50;15;0;2000-01-01
-45;15;0;2000-01-01
-40;15;0;2000-01-01
-36;15;0;2000-01-01
-33;14;0;2000-01-01
-30;13;0;2000-01-01
-27;12;0;2000-01-01
-24;11;0;2000-01-01
-21;10;0;2000-01-01
-18;9;0;2000-01-01
-15;8;0;2000-01-01
-12;7;0;2000-01-01
-9;6;0;2000-01-01
-6;5;0;2000-01-01
-3;4;0;2000-01-01
0;3;0;2000-01-01
5;2.75;0;2000-01-01
10;2.5;0;2000-01-01
15;2.25;0;2000-01-01
20;2;0;2000-01-01
25;1.75;0;2000-01-01
30;1.5;0;2000-01-01
35;1.25;0;2000-01-01
40;1;0;2000-01-01
45;0.75;0;2000-01-01
50;0.5;0;2000-01-01
55;0.25;0;2000-01-01
60;0;0;2000-01-01
67;-0.1;0;2000-01-01
74;-0.2;0;2000-01-01
81;-0.3;0;2000-01-01
88;-0.4;0;2000-01-01
95;-0.5;0;2000-01-01
102;-0.6;0;2000-01-01
109;-0.7;0;2000-01-01
116;-0.8;0;2000-01-01
123;-0.9;0;2000-01-01
130;-1;0;2000-01-01
137;-1.1;0;2000-01-01
144;-1.2;0;2000-01-01
151;-1.3;0;2000-01-01
158;-1.4;0;2000-01-01
165;-1.5;0;2000-01-01
172;-1.6;0;2000-01-01
179;-1.7;0;2000-01-01
186;-1.8;0;2000-01-01
193;-1.9;0;2000-01-01
200;-2;0;2000-01-01
207;-2.1;0;2000-01-01
214;-2.2;0;2000-01-01
221;-2.3;0;2000-01-01
228;-2.4;0;2000-01-01
235;-2.5;0;2000-01-01
242;-2.6;0;2000-01-01
249;-2.7;0;2000-01-01
256;-2.8;0;2000-01-01
263;-2.9;0;2000-01-01
270;-3;0;2000-01-01
279;-3.05;0;2000-01-01
288;-3.1;0;2000-01-01
297;-3.15;0;2000-01-01
306;-3.2;0;2000-01-01
315;-3.25;0;2000-01-01
324;-3.3;0;2000-01-01
333;-3.35;0;2000-01-01
342;-3.4;0;2000-01-01
351;-3.45;0;2000-01-01
360;-3.5;0;2000-01-01
369;-3.55;0;2000-01-01
378;-3.6;0;2000-01-01
387;-3.65;0;2000-01-01
396;-3.7;0;2000-01-01
405;-3.75;0;2000-01-01
414;-3.8;0;2000-01-01
423;-3.85;0;2000-01-01
432;-3.9;0;2000-01-01
441;-3.95;0;2000-01-01
450;-4;0;2000-01-01
459;-4.05;0;2000-01-01
468;-4.1;0;2000-01-01
477;-4.15;0;2000-01-01
486;-4.2;0;2000-01-01
495;-4.25;0;2000-01-01
504;-4.3;0;2000-01-01
513;-4.35;0;2000-01-01
522;-4.4;0;2000-01-01
531;-4.45;0;2000-01-01
540;-4.5;0;2000-01-01
549;-4.55;0;2000-01-01
558;-4.6;0;2000-01-01
567;-4.65;0;2000-01-01
576;-4.7;0;2000-01-01
585;-4.75;0;2000-01-01
594;-4.8;0;2000-01-01
603;-4.85;0;2000-01-01
612;-4.9;0;2000-01-01
621;-4.95;0;2000-01-01
630;-5;0;2000-01-01
639;-5.05;0;2000-01-01
648;-5.1;0;2000-01-01
657;-5.15;0;2000-01-01
666;-5.2;0;2000-01-01
675;-5.25;0;2000-01-01
684;-5.3;0;2000-01-01
693;-5.35;0;2000-01-01
702;-5.4;0;2000-01-01
711;-5.45;0;2000-01-01
720;-5.5;0;2000-01-01
729;-5.55;0;2000-01-01
738;-5.6;0;2000-01-01
747;-5.65;0;2000-01-01
756;-5.7;0;2000-01-01
765;-5.75;0;2000-01-01
774;-5.8;0;2000-01-01
783;-5.85;0;2000-01-01
792;-5.9;0;2000-01-01
801;-5.95;0;2000-01-01
810;-6;0;2000-01-01
819;-6.05;0;2000-01-01
828;-6.1;0;2000-01-01
837;-6.15;0;2000-01-01
846;-6.2;0;2000-01-01
855;-6.25;0;2000-01-01
864;-6.3;0;2000-01-01
873;-6.35;0;2000-01-01
882;-6.4;0;2000-01-01
891;-6.45;0;2000-01-01
900;-6.5;0;2000-01-01
909;-6.55;0;2000-01-01
918;-6.6;0;2000-01-01
927;-6.65;0;2000-01-01
936;-6.7;0;2000-01-01
945;-6.75;0;2000-01-01
954;-6.8;0;2000-01-01
963;-6.85;0;2000-01-01
972;-6.9;0;2000-01-01
981;-6.95;0;2000-01-01
990;-7;0;2000-01-01
999;-7.05;0;2000-01-01
1008;-7.1;0;2000-01-01
1017;-7.15;0;2000-01-01
1026;-7.2;0;2000-01-01
1035;-7.25;0;2000-01-01
1044;-7.3;0;2000-01-01
1053;-7.35;0;2000-01-01
1062;-7.4;0;2000-01-01
1071;-7.45;0;2000-01-01
1080;-7.5;0;2000-01-01
1089;-7.55;0;2000-01-01
1098;-7.6;0;2000-01-01
1107;-7.65;0;2000-01-01
1116;-7.7;0;2000-01-01
1125;-7.75;0;2000-01-01
1134;-7.8;0;2000-01-01
1143;-7.85;0;2000-01-01
1152;-7.9;0;2000-01-01
1161;-7.95;0;2000-01-01
1170;-8;0;2000-01-01
1179;-8.05;0;2000-01-01
1188;-8.1;0;2000-01-01
1197;-8.15;0;2000-01-01
1206;-8.2;0;2000-01-01
1215;-8.25;0;2000-01-01
1224;-8.3;0;2000-01-01
1233;-8.35;0;2000-01-01
1242;-8.4;0;2000-01-01
1251;-8.45;0;2000-01-01
1260;-8.5;0;2000-01-01
1269;-8.55;0;2000-01-01
1278;-8.6;0;2000-01-01
1287;-8.65;0;2000-01-01
1296;-8.7;0;2000-01-01
1305;-8.75;0;2000-01-01
1314;-8.8;0;2000-01-01
1323;-8.85;0;2000-01-01
1332;-8.9;0;2000-01-01
1341;-8.95;0;2000-01-01
1350;-9;0;2000-01-01
1359;-9.05;0;2000-01-01
1368;-9.1;0;2000-01-01
1377;-9.15;0;2000-01-01
1386;-9.2;0;2000-01-01
1395;-9.25;0;2000-01-01
1404;-9.3;0;2000-01-01
1413;-9.35;0;2000-01-01
1422;-9.4;0;2000-01-01
1431;-9.45;0;2000-01-01
1440;-9.5;0;2000-01-01
1449;-9.55;0;2000-01-01
1458;-9.6;0;2000-01-01
1467;-9.65;0;2000-01-01
1476;-9.7;0;2000-01-01
1485;-9.75;0;2000-01-01
1494;-9.8;0;2000-01-01
1503;-9.85;0;2000-01-01
1512;-9.9;0;2000-01-01
1521;-9.95;0;2000-01-01
1530;-10;0;2000-01-01
1539;-10.05;0;2000-01-01
1548;-10.1;0;2000-01-01
1557;-10.15;0;2000-01-01
1566;-10.2;0;2000-01-01
1575;-10.25;0;2000-01-01
1584;-10.3;0;2000-01-01
1593;-10.35;0;2000-01-01
1602;-10.4;0;2000-01-01
1611;-10.45;0;2000-01-01
1620;-10.5;0;2000-01-01
1629;-10.55;0;2000-01-01
1638;-10.6;0;2000-01-01
1647;-10.65;0;2000-01-01
1656;-10.7;0;2000-01-01
1665;-10.75;0;2000-01-01
1674;-10.8;0;2000-01-01
1683;-10.85;0;2000-01-01
1692;-10.9;0;2000-01-01
1701;-10.95;0;2000-01-01
1710;-11;0;2000-01-01
1719;-11.05;0;2000-01-01
