ehdcod;ehdoms;units;P06
%;percent;0.01;
/d;per day;1/day;
/h;per hour;1/hour;
/h/km;per hour per kilometer;1/hour/km;
/km2;per square kilometre;1/km^2;
/l;per litre;1/l;
/m;per metre;1/m;
/m2;per square metre;1/m^2;
/mg;per milligram;1/mg;
/ml;per millilitre;1/ml;
1/m;coefficient per meter;1/m;
a;year;year;
B;Beaufort;;
Bq/kg;Becquerels per kilogram;;
Bq/m3;Becquerels per cubic metre;;
c/s;Counts per second;1/s;
cm;centimetre;cm;
cm/s;centimetres per second;cm/s;
cm2;square centimetre;cm^2;
cm2/Hz;square centimetres per Hertz;cm^2/Hz;
cm2s;square centimetre second;cm^2s;
coC;centigrade Celsius;centidegree_Celsius;
d;day;day;
dB;Decibel;;
dBar;deciBar;10kPa;
DIMSLS;Dimensionless;1;SDN:P06::UUUU
dm;decimetre;dm;
dm/s;decimetres per second;dm/s;
dm3/s;cubic decimetres per second;dm^3/s;
doC;decigrade Celsius;decidegree_Celsius;
ds;decisecond;ds;
FINDX;F-index;;
FTU;Formazine Turbidity Units;FTU;
g;gram;g;
g/a;grams per year;g/year;
g/d;grams per day;g/day;
g/kg;grams per kilogram;g/kg;
g/m2;grams per square metre;g/m^2;
g/m3;grams per cubic metre;g/m^3;
g/s;grams per second;g/s;
graad;degree;;
h;hour;hour;
hPa;hectoPascal;hPa;
Hz;Hertz;Hz;
j;Year;year;
JTU;Jackson Turbidity Units;JTU;
kg;kilogram;kg;
kg/a;kilograms per year;kg/year;
kg/km2;kilogram per quare meter;kg/km^2;
kg/m3;kilograms per cubic metre;kg/m^3;
KHz;kiloHertz;kHz;
l;litre;l;
m;metre;m;
m/s;metres per second;m/s;
m2;square metre;m^2;
m3;Cubic metre;m^3;
m3/a;cubic metres per year;m^3/year;
m3/d;cubic metres per day;m^3/day;
m3/h;cubic metres per hour;m^3/hour;
m3/s;cubic metres per second;m^3/s;
mBq/l;milliBecquerels per litre;mBq/l;
meq/l;milli equivalent per liter;;
mg/g;milligrams per gram;mg/g;
mg/kg;milligrams per kilogram;mg/kg;
mg/l;milligrams per litre;mg/l;
mg/ml;milligram per liter;mg/ml;
mHz;milliHertz;mHz;
min;minute;minute;
MJ/s;megaJoule per second;MJ/s;
ml;per millilitre;ml;
ml/l;millilitres per litre;ml/l;
mm;millimetre;mm;
mm/h;mm per hour;mm/h;
mm2;square millimetre;mm^2;
mm3/l;cubic millimetres per litre;mm^3/l;
mmol/l;millimol per liter;mmol/l;
mnd;month;;
mS/m;milliSiemens per metre;mS/m;
ng/g;nangram per liter;ng/g;
ng/kg;nanongrams per kilogram;ng/kg;
ng/l;nanongrams per litre;ng/l;
ng/ml;nanongrams per millilitre;ng/ml;
nmol/mg;nanomol per milligram;nmol/mg;
NTU;Nephelometric Turbidity Units;NTU;
oC;degrees Celsius;degree_Celsius;
oD;German hardness grade;;
Pa;Pascal;Pa;
pmol/mg;picomol per milligram;pmol/mg;
PROMLE;PROMILLE;0.001;
PtCo;Pt-Co scale;;
s;second;s;
S/m;Siemens per metre;;
t/a;tons per year;;
tds;Tonnes dry matter;;
TEQ;Toxity Equivalents;;
TU;Toxic Units;;
U;Unit;1;
uE;microEinstein;microEinstein;
ug/g;micrograms per gram;ug/g;
ug/kg;micrograms per kilogram;ug/kg;
ug/l;micrograms per litre;ug/l;
um;micrometre;um;
um2;square micrometre;um^2;
us;microsecond;us;
