wnsnum;wnsoms;public;parcod;orgcod;sgkcod;cpmcod;hdhcod;domein;ehdcod;standard_name;deltares_name;P01;Delwaq_sh_name;valid_min;valid_max
1;Water level in cm with respect to normal amsterdam level in surface water;J;WATHTE;NVT;NVT;10;NAP;I;cm;sea_surface_height; sea_surface_height;SDN:P01::ASLVNPZZ;;;
4;Soil height in cm with respect to normal amsterdam level in surface/sediment;N;BODHTE;NVT;NVT;40;NAP;I;cm;;;;;;
12;High tide day in cm with respect to normal amsterdam level in surface water;N;HOOGWTDG;NVT;NVT;10;NAP;I;cm;;;;;;
13;Low-tide day in cm with respect to normal amsterdam level in surface water;N;LAAGWTDG;NVT;NVT;10;NAP;I;cm;;;;;;
15;Tidal extreme code in surface water;N;GETETCDE;NVT;NVT;10;NVT;T;DIMSLS;;;;;;
16;Extreme code in surface water;N;EXTCDE;NVT;NVT;10;NVT;T;DIMSLS;;;;;;
17;Water level in cm with respect to local reference surface in surface water;N;WATHTE;NVT;NVT;10;PLAATSLR;I;cm;;;;;;
18;Water height calculated in cm with respect to normal amsterdam level in surface water;N;WATHTBRKD;NVT;NVT;10;NAP;I;cm;;;;;;
19;Water scheme calculated in cm in surface water;N;WATOZBRKD;NVT;NVT;10;NVT;I;cm;;;;;;
20;Average water height in cm with respect to normal amsterdam level in surface water;N;GEM_WTHTE;NVT;NVT;10;NAP;F;cm;;;;;;
21;Tidal advance calculated in min in surface water;N;GETVVGBRKD;NVT;NVT;10;NVT;I;min;;;;;;
22;Significant wave height from energy spectrum of 30-500 mhz in cm in surface water;J;Hm0;NVT;NVT;10;NVT;I;cm;sea_surface_wave_significant_height;sea_surface_height;SDN:P01::GTDHZZ01;;0;
23;Average direction of wave direction spectra 30-500 mhz (with respect to kaartnrdn) in graad with respect to map north in surface water;J;Th0;NVT;NVT;10;KAARTNDN;I;graad;sea_surface_wave_from_direction; sea_surface_wave_from_direction;SDN:P01::GWDRZZ01;;;
24;Average wave period from spectral moments m0+m2 from 30-500 mhz in s in surface water;J;Tm02;NVT;NVT;10;NVT;F;s;sea_surface_wind_wave_mean_period_from_variance_spectral_density_second_frequency_moment; sea_surface_wind_wave_tm02;SDN:P01::GTZAM2ZZ;;0;
25;Total energy from energy density spectrum of 30-100 mhz in cm2 in surface water;N;TE3;NVT;NVT;10;NVT;I;cm2;;;;;;
26;Average direction of wave direction spectra 30-100 mhz (with respect to kaartnrdn) in graad with respect to map north in surface water;N;Th3;NVT;NVT;10;KAARTNDN;I;graad;;;;;;
27;Current speed in m/s in surface water;N;STROOMSHD;NVT;NVT;10;NVT;F;m/s;;;;;;
28;Current direction in graad with respect to map north in surface water;N;STROOMRTG;NVT;NVT;10;KAARTNDN;F;graad;;;;;;
29;Flow in m3/s in surface water;J;Q;NVT;NVT;10;NVT;F;m3/s;water_volume_transport_into_sea_water_from_rivers;discharge;SDN:P01::RFDSCH01;;0;
30;Average debit in m3/s in surface water;N;GEM_Q;NVT;NVT;10;NVT;F;m3/s;;;;;;
31;Stuwregeling in surface water;N;STUWRGLG;NVT;NVT;10;NVT;T;DIMSLS;;;;;;
32;Average distribution of the direction from the direction spectrum in graad in surface water;N;SObh;NVT;NVT;10;NVT;I;graad;;;;;;
33;Precipitation in mm in air;N;NEERSG;NVT;NVT;80;NVT;F;mm;;;;;;
34;Temperature in oC in air;N;T;NVT;NVT;80;NVT;E;oC;;;;;;
35;Average temperature in oC in air;N;GEM_T;NVT;NVT;80;NVT;E;oC;;;;;;
37;Maximum wind speed in m/s in air;N;MAX_WSHD;NVT;NVT;80;NVT;F;m/s;;;;;;
38;Wind speed in m/s in air;N;WINDSHD;NVT;NVT;80;NVT;F;m/s;;;;;;
39;Wind direction in graad with respect to map north in air;N;WINDRTG;NVT;NVT;80;KAARTNDN;F;graad;;;;;;
41;Wind direction in graad with respect to true north in air;N;WINDRTG;NVT;NVT;80;WARNDN;F;graad;;;;;;
43;Average temperature in oC in surface water;N;GEM_T;NVT;NVT;10;NVT;E;oC;;;;;-4;100
