Kustvak	Metrering	X-coordinaat	Y-coordinaat	Raaihoek, in .01 graden
3	46000	17255300	60367100	22590
3	46200	17241400	60381500	22590
3	46400	17227500	60395900	22590
3	46600	17213700	60410300	22590
3	46800	17199800	60424700	22590
3	47000	17185900	60439100	22590
3	47200	17172000	60453500	22590
3	47400	17158200	60467900	22590
3	47600	17144300	60482300	22590
3	47800	17130400	60496800	22590
3	48000	17116500	60511200	22590
3	48200	17102700	60525600	22590
3	48400	17088800	60540000	22590
3	48600	17074900	60554400	22590
3	48800	17061000	60568800	22590
3	49000	17047200	60583200	22590
3	49010	17047200	60583200	23220
3	49020	17047200	60583200	23850
3	49160	17038900	60596900	23850
3	49280	17032400	60607500	23850
3	49410	17025900	60618200	23850
3	49530	17019400	60628900	23850
3	49660	17012900	60639500	23850
3	1000	17006400	60650200	23940
3	1010	17006400	60650200	24750
3	1020	17006400	60650200	25560
3	1030	17006400	60650200	26280
3	1040	17006400	60650200	27000
3	1200	17007100	60670200	27180
3	1400	17007800	60690200	27180
3	2000	17008400	60706200	27000
3	2010	17008400	60706200	28080
3	2020	17008400	60706200	29160
3	2030	17008400	60706200	30060
3	2040	17008400	60706200	30960
3	2200	17021600	60721600	31050
3	2400	17034600	60736900	31050
3	2600	17047700	60752100	31050
3	2800	17060900	60767500	31050
3	3000	17072600	60781200	31230
3	3010	17072600	60781200	31770
3	3020	17072600	60781200	32580
3	3030	17072600	60781200	33480
3	3040	17072600	60781200	34110
3	3200	17089500	60786900	34110
3	3400	17106800	60792800	34110
3	3600	17125700	60799100	34200
3	3800	17146500	60806200	34110
3	4000	17167600	60813300	34110
3	4010	17167600	60813300	34920
3	4020	17167600	60813300	35640
3	4200	17187400	60814500	35640
3	4400	17207400	60815700	35640
3	4600	17227300	60816800	35640
3	4800	17247400	60818000	35640
3	5000	17267400	60819200	35820
3	5200	17288500	60819300	0
3	5400	17308200	60819300	0
3	5600	17327700	60819300	0
3	5800	17347800	60819300	0
3	6000	17367600	60819300	35910
3	6200	17387800	60819900	35820
3	6400	17407800	60820500	35820
3	6600	17427800	60821100	35820
3	6800	17447800	60821700	35820
3	7000	17467800	60822300	35820
3	7200	17488300	60823700	35640
3	7400	17508300	60825100	35640
3	7600	17528200	60826400	35640
3	7800	17548200	60827800	35640
3	8000	17568100	60829100	35730
3	8200	17587800	60829400	35910
3	8400	17607800	60829700	35910
3	8600	17627900	60830000	35910
3	8800	17647900	60830200	35910
3	9000	17667800	60830500	35910
3	9200	17687800	60830800	35910
3	9400	17707800	60831100	35910
3	9600	17727900	60831400	35910
3	9800	17747800	60831700	35910
3	10000	17767900	60832000	35910
3	10200	17790200	60832300	35910
3	10400	17810200	60832600	35910
3	10600	17829900	60832900	35910
3	10800	17849900	60833100	35910
3	11000	17869900	60833400	35730
3	11200	17889400	60835100	35550
3	11400	17907800	60836700	35460
3	11600	17927700	60838400	35460
3	11800	17947800	60840100	35460
3	12000	17967600	60841800	35460
3	12200	17987600	60843500	35550
3	12400	18007400	60845200	35550
3	12600	18027500	60846900	35550
3	12800	18047100	60848600	35460
3	13000	18067000	60850300	35460
3	13200	18087000	60852000	35550
3	13400	18106900	60853700	35550
3	13600	18126900	60855400	35460
3	13800	18146700	60857100	35460
3	14000	18166800	60858800	35460
3	14200	18186800	60860500	35550
3	14400	18207100	60862200	35550
3	14600	18226600	60863900	35550
3	14800	18246500	60865600	35460
3	15000	18266600	60867300	35460
3	15200	18286600	60869000	35550
3	15400	18306400	60870700	35460
3	15600	18326400	60872400	35550
3	15800	18346400	60874100	35550
3	16000	18366300	60875800	35460
3	16200	18386100	60877600	35460
3	16400	18406100	60879500	35460
