Code, FullName, CodeName, 
5396, Aan actief kool geabsorbeerd organisch gebonden halogeen in ug/l uitgedrukt in chloride / na filtratie in oppervlaktewater, 5396%7CAan+actief+kool+geabsorbeerd+organisch+gebonden+halogeen+in+ug%2Fl+uitgedrukt+in+chloride+%2F+na+filtratie+in+oppervlaktewater            , 
256, Aan actief kool geabsorbeerd organisch gebonden halogeen in ug/l uitgedrukt in chloride in oppervlaktewater               , 256%7CAan+actief+kool+geabsorbeerd+organisch+gebonden+halogeen+in+ug%2Fl+uitgedrukt+in+chloride+in+oppervlaktewater                              , 
6818, Aantal fecale coliformen in /l natgewicht in vlees                                                                        , 6818%7CAantal+fecale+coliformen+in+%2Fl+natgewicht+in+vlees                                                                                      , 
3504, Abamectine in ug/l in oppervlaktewater                                                                                    , 3504%7CAbamectine+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
8210, Accumulatieduur in d in oppervlaktewater                                                                                  , 8210%7CAccumulatieduur+in+d+in+oppervlaktewater                                                                                                  , 
603, Acenafteen in mg/kg drooggewicht in bodem/sediment                                                                        , 603%7CAcenafteen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                     , 
604, Acenafteen in mg/kg drooggewicht in zwevende stof                                                                         , 604%7CAcenafteen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                        , 
250, Acenafteen in ug/l in oppervlaktewater                                                                                    , 250%7CAcenafteen+in+ug%2Fl+in+oppervlaktewater                                                                                                   , 
605, Acenaftyleen in mg/kg drooggewicht in bodem/sediment                                                                      , 605%7CAcenaftyleen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                   , 
606, Acenaftyleen in mg/kg drooggewicht in zwevende stof                                                                       , 606%7CAcenaftyleen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                      , 
1005, Acenaftyleen in ug/l in oppervlaktewater                                                                                  , 1005%7CAcenaftyleen+in+ug%2Fl+in+oppervlaktewater                                                                                                , 
1247, Acetofenon in ug/l in oppervlaktewater                                                                                    , 1247%7CAcetofenon+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
3161, Aceton in ug/l in oppervlaktewater                                                                                        , 3161%7CAceton+in+ug%2Fl+in+oppervlaktewater                                                                                                      , 
5143, Acridine in ug/l in oppervlaktewater                                                                                      , 5143%7CAcridine+in+ug%2Fl+in+oppervlaktewater                                                                                                    , 
259, Adenosine-trifosfaat in ug/l in oppervlaktewater                                                                          , 259%7CAdenosine-trifosfaat+in+ug%2Fl+in+oppervlaktewater                                                                                         , 
945, Alachloor in ug/l in oppervlaktewater                                                                                     , 945%7CAlachloor+in+ug%2Fl+in+oppervlaktewater                                                                                                    , 
927, Aldicarb in ug/l in oppervlaktewater                                                                                      , 927%7CAldicarb+in+ug%2Fl+in+oppervlaktewater                                                                                                     , 
929, Aldicarbsulfon in ug/l in oppervlaktewater                                                                                , 929%7CAldicarbsulfon+in+ug%2Fl+in+oppervlaktewater                                                                                               , 
928, Aldicarbsulfoxide in ug/l in oppervlaktewater                                                                             , 928%7CAldicarbsulfoxide+in+ug%2Fl+in+oppervlaktewater                                                                                            , 
611, Aldrin in ug/kg drooggewicht in bodem/sediment                                                                            , 611%7CAldrin+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                         , 
