DEPRECATION_ID,DEPRECATION_DATE,CHANGE_ID,OBJECT_TABLE_NAME,OBJECT_CODE,REPLACED_BY,DEPRECATION_REASON
2,15-08-2001,2001.223,Coordinate_Operation,8563,1670,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
3,15-08-2001,2001.222,Coordinate_Operation,8457,1676,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
4,15-08-2001,2001.222,Coordinate_Operation,8236,1675,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
5,15-08-2001,2001.222,Coordinate_Operation,8183,1677,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
6,15-08-2001,2001.222,Coordinate_Operation,8195,1680,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
7,15-08-2001,2001.222,Coordinate_Operation,8199,1679,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
8,15-08-2001,2001.222,Coordinate_Operation,8234,1673,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
9,15-08-2001,2001.222,Coordinate_Operation,8567,1681,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
10,15-08-2001,2001.222,Coordinate_Operation,8572,1672,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
11,15-08-2001,2001.222,Coordinate_Operation,8573,1671,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
12,15-08-2001,2001.222,Coordinate_Operation,8580,1678,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
13,15-08-2001,2001.221,Coordinate_Operation,8396,1665,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
14,15-08-2001,2001.221,Coordinate_Operation,8400,1666,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
15,15-08-2001,2001.221,Coordinate_Operation,8576,1667,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
16,15-08-2001,2001.221,Coordinate_Operation,8577,1668,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
17,15-08-2001,2001.221,Coordinate_Operation,8194,1669,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
18,15-08-2001,2001.221,Coordinate_Operation,8190,1665,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
19,15-08-2001,2001.221,Coordinate_Operation,8192,15789,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
20,15-08-2001,2001.221,Coordinate_Operation,8398,8576,State transformation republished by federal authority with minor changes in parameter values. Application gives result differences which are sub-metre.
21,15-08-2001,2001.221,Coordinate_Operation,8408,8578,State grid absorbed into regional grid.
22,15-08-2001,2001.221,Coordinate_Operation,8453,15786,Replaced this two-step concat tfm which includes a step giving zero coordinate change with a single tfm. The AGD66 to GDA94 state tfm 1506 upon which this tfm is based has been absorbed into national tfm 1803 from which 15786 is copied.
23,15-08-2001,2001.221,Coordinate_Operation,8454,15786,Replaced this two-step concat tfm which includes a step giving zero coordinate change with a single tfm. The AGD66 to GDA94 state tfm 1507 upon which this tfm is based has been absorbed into national tfm 1803 from which 15786 is copied.
24,15-08-2001,2001.221,Coordinate_Operation,8560,8579,Withdrawn and replaced by info source because 8-bit binary grid file format inconsistent with NTv2 16-bit format.
25,15-08-2001,2001.221,Coordinate_Operation,8578,1665,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
26,15-08-2001,2001.221,Coordinate_Operation,8579,15785,Replaced this two-step concat tfm which includes a step giving zero coordinate change wyth a single tfm. The AGD66 to GDA94 state tfm 1593 upon which this tfm is based has been absorbed into national tfm 1804 from which 15785 is copied.
27,04-10-2001,2001.121,Coordinate_Operation,1510,1766,Information source has reduced precision with which it quotes parameter values for this tfm.
28,04-10-2001,2001.45,Coordinate_Operation,14100,15302,Error in parameter values for easting and northing at grid origin.
29,04-10-2001,2001.45,Coordinate_Operation,11631,15303,Error in parameter value for latitude of 2nd standard parallel.
30,28-08-2001,2001.37,Coordinate_Operation,1508,1753,Incorrect unit assigned to scale difference parameter value.
32,05-06-2001,2001.07,Ellipsoid,7035,7047,"Changed from general ""Sphere"" to specific ""GRS 1980 Authalic Sphere""."
33,25-06-2001,2001.19,Ellipsoid,7047,7048,Incorrect radius (semi-major and semi-minor axes).
34,21-06-2001,2001.07,Datum,6035,6047,"Name changed to reflect use of specific ""GRS 1980 Authalic Sphere"" rather than general ""Sphere""."
35,13-11-1997,1997.372,Datum,5107,5118,Replace this general name with specific.
39,28-08-2001,2001.32,Coordinate Reference System,2156,2195,ProjCRS 2156 invalid as linked to projection in wrong hemisphere and has wrong name.
40,28-08-2001,2001.32,Coordinate_Operation,15300,15301,Longitude of natural origin has incorrect value (wrong hemisphere).
41,28-08-2001,2001.3,Coordinate Reference System,2291,2292,Base geogCRS code is in error.
42,05-06-2001,2001.07,Coordinate Reference System,4035,4047,"Changed from general ""Sphere"" to specific ""GRS 1980 Authalic Sphere""."
43,28-08-2001,2001.47,Datum,6226,6142,Does not exist except as an alias of 6142 and 6143.
44,05-06-2001,2001.11,Coordinate Reference System,4226,4142,Does not exist except as an alias of 4142 and 4143.
45,05-06-2001,2001.181,Coordinate Reference System,31461,,ProjCRS zone not used.
46,05-06-2001,2001.181,Coordinate Reference System,31462,31466,ProjCRS related to inappropriate coordinate system resulting in incorrect axes and name.
47,05-06-2001,2001.181,Coordinate Reference System,31463,31467,ProjCRS related to inappropriate coordinate system resulting in incorrect axes and name.
48,05-06-2001,2001.181,Coordinate Reference System,31464,31468,ProjCRS related to inappropriate coordinate system resulting in incorrect axes and name.
49,05-06-2001,2001.181,Coordinate Reference System,31465,31469,ProjCRS related to inappropriate coordinate system resulting in incorrect axes and name.
50,05-06-2001,2001.18,Coordinate Reference System,31265,31275,ProjCRS related to inappropriate projection (coordinate operation) and CS resulting in incorrect scale factor and axes order and abbreviation.
51,05-06-2001,2001.18,Coordinate Reference System,31266,31276,ProjCRS related to inappropriate projection (coordinate operation) and CS resulting in incorrect scale factor and axes order and abbreviation.
52,15-08-2001,2001.227,Coordinate_Operation,8564,1691,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
53,15-08-2001,2001.227,Coordinate_Operation,8404,1692,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
