SUPERSESSION_ID,OBJECT_TABLE_NAME,OBJECT_CODE,SUPERSEDED_BY,SUPERSESSION_TYPE,SUPERSESSION_YEAR,REMARKS
1,Coordinate_Operation,1026,1027,Retirement,,Replacement has better accuracy.
2,Coordinate_Operation,1026,1028,Retirement,,Replacement has better accuracy.
3,Coordinate_Operation,1036,1039,Retirement,2002,Replacement has better accuracy.
4,Coordinate_Operation,1112,1672,Retirement,,New parameter values derived at a different station set referenced to ETRS89.
5,Coordinate_Operation,1154,1304,Retirement,1997,Recalculation of parameter values.
6,Coordinate_Operation,1232,1305,Retirement,1997,Recalculation of parameter values.
7,Coordinate_Operation,1236,1280,Retirement,,Provisional transformation replaced by authoritative one.
8,Coordinate_Operation,1236,1669,Retirement,,Provisional transformation replaced by authoritative one.
9,Coordinate_Operation,1297,1298,Retirement,,Replacement has better accuracy.
10,Coordinate_Operation,1297,1299,Retirement,,Replacement has better accuracy.
11,Coordinate_Operation,1297,1300,Retirement,,Replacement has better accuracy.
12,Coordinate_Operation,1297,1301,Retirement,,Replacement has better accuracy.
13,Coordinate_Operation,1312,1462,Retirement,1997,Uses method which has been replaced by improved NTv2 algorithm with different file format.
14,Coordinate_Operation,1312,1313,Retirement,1997,Uses method which has been replaced by improved NTv2 algorithm with different file format.
15,Coordinate_Operation,1320,1326,Retirement,1994,Replacement has improved determination.
16,Coordinate_Operation,1321,1324,Retirement,1992,Supersession applies only to block 7; it does not apply to blocks 8 and 24 or to WGC spec data.
17,Coordinate_Operation,1322,1324,Retirement,1992,Replacement derived in area of applicability.
18,Coordinate_Operation,1324,1327,Retirement,1994,"Supersession applies only to blocks 3, 7 and 17; it does not apply to block 15."
19,Coordinate_Operation,1325,1327,Retirement,1994,Improved determination.
21,Coordinate_Operation,1330,1557,Retirement,1990,Replacement has improved determination.
22,Coordinate_Operation,1437,1895,Retirement,2001,Replacement has improved determination.
23,Coordinate_Operation,1450,1590,Retirement,1997,Change of tfm bounding north side.
24,Coordinate_Operation,1450,1612,Retirement,2001,Replacement uses frequently-implemented method more suitable for real-time calculations.
25,Coordinate_Operation,1451,1575,Retirement,1997,Uses method which has been replaced by improved NTv2 algorithm with different file format.
26,Coordinate_Operation,1459,1594,Retirement,2000,State transformation republished by federal authority with minor changes in parameter values. Application gives result differences which are sub-metre.
27,Coordinate_Operation,1462,1573,Retirement,1997,Uses method which has been replaced by improved NTv2 algorithm with different file format.
28,Coordinate_Operation,1464,1596,Retirement,,State transformation included within regional transformation.
29,Coordinate_Operation,1506,1803,Retirement,2001,State transformation included within national transformation.
30,Coordinate_Operation,1507,1803,Retirement,2001,State transformation included within national transformation.
31,Coordinate_Operation,1559,1593,Retirement,2001,Withdrawn and replaced by info source because 8-bit binary grid file format inconsistent with NTv2 16-bit format.
32,Coordinate_Operation,1590,1612,Retirement,2001,Replacement uses transformation method which is usually implemented in industry applications and more appropriate for real-time calculations.
33,Coordinate_Operation,1593,1804,Retirement,2001,State transformation included in national transformation.
34,Coordinate_Operation,1596,1803,Retirement,2001,Regional transformation included within national transformation.
35,Coordinate_Operation,1655,1997,Retirement,2001,Replacement derived at more stations having better coordinates and is therefore more accurate.
36,Coordinate_Operation,1657,1992,Retirement,,Replacement derived at more stations having better coordinates and is therefore more accurate.
37,Coordinate_Operation,1674,1775,Retirement,2001,Replacement is of better accuracy. Replacement applies only within Mecklenburg-Vorpommern and Sachsen-Anhalt.
