UOM_CODE,UNIT_OF_MEAS_NAME,UNIT_OF_MEAS_TYPE,TARGET_UOM_CODE,FACTOR_B,FACTOR_C,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,DEPRECATED
1024,bin,scale,9201,1,1,,OGP,OGP,14-07-2012,2011.106,FALSE
1025,millimetre,length,9001,1,1000,,ISO 1000.,IOGP,25-11-2015,2013.021 2015.062,FALSE
1026,metres per second,length,1026,1,1,Length rate.,OGP,IOGP,25-11-2015,2013.021 2015.062,FALSE
1027,millimetres per year,length,1026,1,31556925445,Year taken to be IUGS definition of 31556925.445 seconds; see UoM code 1029.,ISO 1000.,OGP,02-09-2013,2013.021 2013.042,FALSE
1028,parts per billion,scale,9201,1,1000000000,"Billion is internationally ambiguous, in different languages being 1E+9 and 1E+12. One billion taken here to be 1E+9.",OGP,OGP,29-05-2013,2013.021,FALSE
1029,year,time,1040,31556925.45,1,,"International Union of Geological Sciences (IUGS) and International Union of Pure and Applied Chemistry (IUPAC). Pure Appl. Chem., Vol. 83, No. 5, pp. 1159?1162, 2011.",OGP,28-05-2013,2013.021,FALSE
1030,parts per billion per year,scale,1036,1,3.15569E+16,"Year taken to be IUGS definition of 31556925.445 seconds; see UoM code 1029. Billion is internationally ambiguous, in different languages being 1E+9 and 1E+12. One billion taken here to be 1E+9.",ISO 1000.,IOGP,24-06-2015,2013.021 2013.042 2013.067 2015.036,FALSE
1031,milliarc-second,angle,9101,3.141592654,648000000,= ((pi/180) / 3600 / 1000) radians,,IOGP,25-11-2015,2013.021 2015.062,FALSE
1032,milliarc-seconds per year,angle,1035,3.141592654,2.04489E+16,= ((pi/180) / 3600 / 1000) radians per year. Year taken to be IUGS definition of 31556925.445 seconds; see UoM code 1029.,,OGP,02-09-2013,2013.021 2013.042,FALSE
1033,centimetre,length,9001,1,100,,ISO 1000.,IOGP,25-11-2015,2013.021 2015.062,FALSE
1034,centimetres per year,length,1026,1,3155692545,Year taken to be IUGS definition of 31556925.445 seconds; see UoM code 1029.,ISO 1000.,OGP,02-09-2013,2013.021 2013.042,FALSE
1035,radians per second,angle,1035,1,1,Angle rate.,OGP,IOGP,25-11-2015,2013.021 2015.062,FALSE
1036,unity per second,scale,1036,1,1,Scale rate.,OGP,OGP,29-05-2013,2013.021,FALSE
1040,second,time,1040,1,1,Not to be confused with the angle unit arc-second.,ISO 1000.,IOGP,25-11-2015,2013.021 2015.062,FALSE
1041,parts per million per year,scale,1036,1,3.15569E+13,Year taken to be IUGS definition of 31556925.445 seconds; see UoM code 1029.,,OGP,02-09-2013,2013.021 2013.037 2013.042,FALSE
1042,metres per year,length,1026,1,31556925.45,Year taken to be IUGS definition of 31556925.445 seconds; see UoM code 1029.,OGP,OGP,02-09-2013,2013.021 2013.042,FALSE
1043,arc-seconds per year,angle,1035,3.141592654,2.04489E+13,=((pi/180) / 3600) radians per year. Year taken to be IUGS definition of 31556925.445 seconds; see UoM code 1029.,,IOGP,06-03-2015,2013.021 2013.042 2015.014,FALSE
9001,metre,length,9001,1,1,Also known as International metre. SI standard unit.,ISO 1000.,IOGP,25-11-2015,2015.062,FALSE
9002,foot,length,9001,0.3048,1,,ISO 1000; 1958,IOGP,25-11-2015,2015.062,FALSE
9003,US survey foot,length,9001,12,39.37,Used in USA.,OGP,IOGP,25-11-2015,1999.990 2015.062,FALSE
9005,Clarke's foot,length,9001,0.304797265,1,"Assumes Clarke's 1865 ratio of 1 British foot = 0.3047972654 French legal metres applies to the international metre.   Used in older Australian, southern African & British West Indian mapping.",Australian Land Information Group  www.auslig.gov.au,IOGP,25-11-2015,1997.233 1999.990 2000.050 2005.370 2005.460 2015.062,FALSE
9014,fathom,length,9001,1.8288,1,= 6 feet.,,IOGP,25-11-2015,2015.062,FALSE
9030,nautical mile,length,9001,1852,1,,,IOGP,25-11-2015,1996.240 2015.062,FALSE
9031,German legal metre,length,9001,1.000013597,1,Used in Namibia.,Chief Directorate Surveys and Land Information; Mowbray; South Africa,IOGP,25-11-2015,2015.062,FALSE
9033,US survey chain,length,9001,792,39.37,Used in USA primarily for public lands cadastral work.,Bureau of Land Management technical bulletin 6 (1973) and Standard Field Tables 8th edition (1956).,IOGP,25-11-2015,1999.990 2015.062,FALSE
9034,US survey link,length,9001,7.92,39.37,Used in USA primarily for public lands cadastral work.,Bureau of Land Management technical bulletin 6 (1973) and Standard Field Tables 8th edition (1956).,IOGP,25-11-2015,1999.990 2015.062,FALSE
9035,US survey mile,length,9001,63360,39.37,Used in USA primarily for public lands cadastral work.,Bureau of Land Management technical bulletin 6 (1973) and Standard Field Tables 8th edition (1956).,IOGP,25-11-2015,1999.990 2015.062,FALSE
9036,kilometre,length,9001,1000,1,,ISO 1000.,IOGP,25-11-2015,2015.062,FALSE
