ALIAS CODE,OBJECT_TABLE_NAME,OBJECT_CODE,NAMING_SYSTEM_CODE,"ALIAS",REMARKS
2321,Coordinate Reference System,4930,7302,"AAD98",NaN
2327,Coordinate Reference System,4931,7302,"AAD98",NaN
1295,Coordinate Reference System,4176,7302,"AAD98",NaN
2121,Coordinate Reference System,61766413,7302,"AAD98 (3D deg)",NaN
2122,Coordinate Reference System,4339,7302,"AAD98 (3D)",NaN
2123,Coordinate Reference System,61766405,7302,"AAD98 (deg)",NaN
2124,Coordinate Reference System,4340,7302,"AAD98 (geocentric)",NaN
194,Coordinate Reference System,2043,7302,"Abidjan 87 / UTM 29N",NaN
192,Coordinate Reference System,2041,7302,"Abidjan 87 / UTM 30N",NaN
4407,Coordinate Reference System,2136,7302,"Accra / Ghana Nat. Grid",NaN
4496,Coordinate Reference System,2318,7302,"Ain el Abd / Aramco Lamb",NaN
5537,Coordinate Reference System,20436,7302,"Ain el Abd / UTM 36N",NaN
851,Coordinate Reference System,20437,7302,"Ain el Abd / UTM 37N",NaN
852,Coordinate Reference System,20438,7302,"Ain el Abd / UTM 38N",NaN
853,Coordinate Reference System,20439,7302,"Ain el Abd / UTM 39N",NaN
5538,Coordinate Reference System,20440,7302,"Ain el Abd / UTM 40N",NaN
4631,Coordinate Reference System,2462,7302,"Albanian 1987 / GK zn 4",NaN
5135,Coordinate Reference System,3102,7302,"American Samoa 62 /  LCC",NaN
4484,Coordinate Reference System,2296,7302,"Ammassalik 58 / GRL 7 E",NaN
856,Coordinate Reference System,21291,7302,"Barbados 1938 / BWI Grid",NaN
857,Coordinate Reference System,21292,7302,"Barbados National Grid",NaN
14980,Coordinate Reference System,5330,7302,"Batavia (Jkt) / NEIEZ",NaN
855,Coordinate Reference System,21100,7302,"Batavia / NEIEZ",NaN
239,Coordinate Reference System,4215,7302,"BD 50",NaN
243,Coordinate Reference System,4809,7302,"BD 50 (Brussels)",NaN
2131,Coordinate Reference System,68096405,7302,"BD 50 (Brussels) (deg)",NaN
2130,Coordinate Reference System,62156405,7302,"BD 50 (deg)",NaN
241,Coordinate Reference System,4313,7302,"BD 72",NaN
2132,Coordinate Reference System,63136405,7302,"BD 72 (deg)",NaN
4293,Coordinate Reference System,31370,7302,"BD 72 / LB72",NaN
170,Coordinate Reference System,2000,7302,"Anguilla 1957 / BWI Grid",NaN
171,Coordinate Reference System,2001,7302,"Antigua 1943 / BWI Grid",NaN
993,Coordinate Reference System,27500,7302,"ATF / Nord de Guerre",NaN
228,Coordinate Reference System,2294,7302,"ATS77 / MTM NS zone 4",NaN
229,Coordinate Reference System,2295,7302,"ATS77 / MTM NS zone 5",NaN
225,Coordinate Reference System,2200,7302,"ATS77 / NB Stereographic",NaN
226,Coordinate Reference System,2290,7302,"ATS77 / PEI Stereo",NaN
4415,Coordinate Reference System,2189,7302,"Azores Cen. 48 / UTM 26N",NaN
869,Coordinate Reference System,21473,7302,"Beijing / Gauss 13N",NaN
870,Coordinate Reference System,21474,7302,"Beijing / Gauss 14N",NaN
871,Coordinate Reference System,21475,7302,"Beijing / Gauss 15N",NaN
872,Coordinate Reference System,21476,7302,"Beijing / Gauss 16N",NaN
873,Coordinate Reference System,21477,7302,"Beijing / Gauss 17N",NaN
874,Coordinate Reference System,21478,7302,"Beijing / Gauss 18N",NaN
875,Coordinate Reference System,21479,7302,"Beijing / Gauss 19N",NaN
876,Coordinate Reference System,21480,7302,"Beijing / Gauss 20N",NaN
877,Coordinate Reference System,21481,7302,"Beijing / Gauss 21N",NaN
878,Coordinate Reference System,21482,7302,"Beijing / Gauss 22N",NaN
879,Coordinate Reference System,21483,7302,"Beijing / Gauss 23N",NaN
858,Coordinate Reference System,21413,7302,"Beijing / GK zone 13",NaN
859,Coordinate Reference System,21414,7302,"Beijing / GK zone 14",NaN
860,Coordinate Reference System,21415,7302,"Beijing / GK zone 15",NaN
861,Coordinate Reference System,21416,7302,"Beijing / GK zone 16",NaN
862,Coordinate Reference System,21417,7302,"Beijing / GK zone 17",NaN
863,Coordinate Reference System,21418,7302,"Beijing / GK zone 18",NaN
864,Coordinate Reference System,21419,7302,"Beijing / GK zone 19",NaN
865,Coordinate Reference System,21420,7302,"Beijing / GK zone 20",NaN
866,Coordinate Reference System,21421,7302,"Beijing / GK zone 21",NaN
867,Coordinate Reference System,21422,7302,"Beijing / GK zone 22",NaN
868,Coordinate Reference System,21423,7302,"Beijing / GK zone 23",NaN
4600,Coordinate Reference System,2431,7302,"Beijing 1954 / 3GK 102E",NaN
4601,Coordinate Reference System,2432,7302,"Beijing 1954 / 3GK 105E",NaN
4602,Coordinate Reference System,2433,7302,"Beijing 1954 / 3GK 108E",NaN
4603,Coordinate Reference System,2434,7302,"Beijing 1954 / 3GK 111E",NaN
4604,Coordinate Reference System,2435,7302,"Beijing 1954 / 3GK 114E",NaN
4605,Coordinate Reference System,2436,7302,"Beijing 1954 / 3GK 117E",NaN
4606,Coordinate Reference System,2437,7302,"Beijing 1954 / 3GK 120E",NaN
4607,Coordinate Reference System,2438,7302,"Beijing 1954 / 3GK 123E",NaN
4608,Coordinate Reference System,2439,7302,"Beijing 1954 / 3GK 126E",NaN
4609,Coordinate Reference System,2440,7302,"Beijing 1954 / 3GK 129E",NaN
4610,Coordinate Reference System,2441,7302,"Beijing 1954 / 3GK 132E",NaN
4611,Coordinate Reference System,2442,7302,"Beijing 1954 / 3GK 135E",NaN
4591,Coordinate Reference System,2422,7302,"Beijing 1954 / 3GK 75E",NaN
4592,Coordinate Reference System,2423,7302,"Beijing 1954 / 3GK 78E",NaN
4593,Coordinate Reference System,2424,7302,"Beijing 1954 / 3GK 81E",NaN
4594,Coordinate Reference System,2425,7302,"Beijing 1954 / 3GK 84E",NaN
4595,Coordinate Reference System,2426,7302,"Beijing 1954 / 3GK 87E",NaN
4596,Coordinate Reference System,2427,7302,"Beijing 1954 / 3GK 90E",NaN
4597,Coordinate Reference System,2428,7302,"Beijing 1954 / 3GK 93E",NaN
4598,Coordinate Reference System,2429,7302,"Beijing 1954 / 3GK 96E",NaN
4599,Coordinate Reference System,2430,7302,"Beijing 1954 / 3GK 99E",NaN
4570,Coordinate Reference System,2401,7302,"Beijing 1954 / 3GK zn 25",NaN
4571,Coordinate Reference System,2402,7302,"Beijing 1954 / 3GK zn 26",NaN
4572,Coordinate Reference System,2403,7302,"Beijing 1954 / 3GK zn 27",NaN
4573,Coordinate Reference System,2404,7302,"Beijing 1954 / 3GK zn 28",NaN
4574,Coordinate Reference System,2405,7302,"Beijing 1954 / 3GK zn 29",NaN
4575,Coordinate Reference System,2406,7302,"Beijing 1954 / 3GK zn 30",NaN
4576,Coordinate Reference System,2407,7302,"Beijing 1954 / 3GK zn 31",NaN
4577,Coordinate Reference System,2408,7302,"Beijing 1954 / 3GK zn 32",NaN
4578,Coordinate Reference System,2409,7302,"Beijing 1954 / 3GK zn 33",NaN
4579,Coordinate Reference System,2410,7302,"Beijing 1954 / 3GK zn 34",NaN
4580,Coordinate Reference System,2411,7302,"Beijing 1954 / 3GK zn 35",NaN
4581,Coordinate Reference System,2412,7302,"Beijing 1954 / 3GK zn 36",NaN
4582,Coordinate Reference System,2413,7302,"Beijing 1954 / 3GK zn 37",NaN
4583,Coordinate Reference System,2414,7302,"Beijing 1954 / 3GK zn 38",NaN
4584,Coordinate Reference System,2415,7302,"Beijing 1954 / 3GK zn 39",NaN
4585,Coordinate Reference System,2416,7302,"Beijing 1954 / 3GK zn 40",NaN
4586,Coordinate Reference System,2417,7302,"Beijing 1954 / 3GK zn 41",NaN
4587,Coordinate Reference System,2418,7302,"Beijing 1954 / 3GK zn 42",NaN
4588,Coordinate Reference System,2419,7302,"Beijing 1954 / 3GK zn 43",NaN
4589,Coordinate Reference System,2420,7302,"Beijing 1954 / 3GK zn 44",NaN
4590,Coordinate Reference System,2421,7302,"Beijing 1954 / 3GK zn 45",NaN
5545,Coordinate Reference System,21458,7302,"Beijing 1954 / GK CM 105E",NaN
5546,Coordinate Reference System,21459,7302,"Beijing 1954 / GK CM 111E",NaN
5547,Coordinate Reference System,21460,7302,"Beijing 1954 / GK CM 117E",NaN
5548,Coordinate Reference System,21461,7302,"Beijing 1954 / GK CM 123E",NaN
5549,Coordinate Reference System,21462,7302,"Beijing 1954 / GK CM 129E",NaN
5550,Coordinate Reference System,21463,7302,"Beijing 1954 / GK CM 135E",NaN
5540,Coordinate Reference System,21453,7302,"Beijing 1954 / GK CM 75E",NaN
5541,Coordinate Reference System,21454,7302,"Beijing 1954 / GK CM 81E",NaN
5542,Coordinate Reference System,21455,7302,"Beijing 1954 / GK CM 87E",NaN
5543,Coordinate Reference System,21456,7302,"Beijing 1954 / GK CM 93E",NaN
5544,Coordinate Reference System,21457,7302,"Beijing 1954 / GK CM 99E",NaN
880,Coordinate Reference System,21500,7302,"Belge Lambert 50",NaN
3981,Coordinate Reference System,3770,7302,"BNG2000",NaN
885,Coordinate Reference System,21893,7302,"Bogota / Colombia 3E",NaN
2813,Coordinate Reference System,21898,7302,"Bogota / Colombia 3E",NaN
2814,Coordinate Reference System,21896,7302,"Bogota / Colombia 3W",NaN
883,Coordinate Reference System,21891,7302,"Bogota / Colombia 3W",NaN
886,Coordinate Reference System,21894,7302,"Bogota / Colombia 6E",NaN
2812,Coordinate Reference System,21899,7302,"Bogota / Colombia 6E",NaN
2811,Coordinate Reference System,21897,7302,"Bogota / Colombia Bogota",NaN
884,Coordinate Reference System,21892,7302,"Bogota / Colombia Bogota",NaN
5551,Coordinate Reference System,21818,7302,"Bogota 1975 / UTM 18N",NaN
5527,Coordinate Reference System,5607,7302,"Bora Bora 2001 height",NaN
1002,Coordinate Reference System,27700,7302,"British National Grid",NaN
887,Coordinate Reference System,22191,7302,"C Inchauspe / Argentina 1",NaN
888,Coordinate Reference System,22192,7302,"C Inchauspe / Argentina 2",NaN
889,Coordinate Reference System,22193,7302,"C Inchauspe / Argentina 3",NaN
890,Coordinate Reference System,22194,7302,"C Inchauspe / Argentina 4",NaN
891,Coordinate Reference System,22195,7302,"C Inchauspe / Argentina 5",NaN
892,Coordinate Reference System,22196,7302,"C Inchauspe / Argentina 6",NaN
893,Coordinate Reference System,22197,7302,"C Inchauspe / Argentina 7",NaN
4494,Coordinate Reference System,2315,7302,"C Inchauspe / UTM 19S",NaN
4495,Coordinate Reference System,2316,7302,"C Inchauspe / UTM 20S",NaN
7812,Coordinate Reference System,4474,7302,"Cadastre 1997 / UTM 38S",NaN
25496,Coordinate Reference System,5879,7302,"Cadastre 1997 / UTM 38S",NaN
8081,Coordinate Reference System,4479,7302,"CGCS2000",NaN
8084,Coordinate Reference System,4480,7302,"CGCS2000",NaN
8215,Coordinate Reference System,4490,7302,"CGCS2000",NaN
8409,Coordinate Reference System,4543,7302,"CGCS2000 / 3GK CM 102E",NaN
8412,Coordinate Reference System,4544,7302,"CGCS2000 / 3GK CM 105E",NaN
8415,Coordinate Reference System,4545,7302,"CGCS2000 / 3GK CM 108E",NaN
8418,Coordinate Reference System,4546,7302,"CGCS2000 / 3GK CM 111E",NaN
8421,Coordinate Reference System,4547,7302,"CGCS2000 / 3GK CM 114E",NaN
8424,Coordinate Reference System,4548,7302,"CGCS2000 / 3GK CM 117E",NaN
8427,Coordinate Reference System,4549,7302,"CGCS2000 / 3GK CM 120E",NaN
8430,Coordinate Reference System,4550,7302,"CGCS2000 / 3GK CM 123E",NaN
8433,Coordinate Reference System,4551,7302,"CGCS2000 / 3GK CM 126E",NaN
8436,Coordinate Reference System,4552,7302,"CGCS2000 / 3GK CM 129E",NaN
8439,Coordinate Reference System,4553,7302,"CGCS2000 / 3GK CM 132E",NaN
