CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
1996139,2-6-1996,2-6-1996,EPSG,Version 2.1 release,NaN,NaN,NaN,NaN
19963,12-12-1996,12-12-1996,EPSG,Version 3.0 release,NaN,NaN,NaN,NaN
1997149,11-4-1997,11-4-1997,EPSG,Version 3.1 release,NaN,NaN,NaN,NaN
199733,28-8-1997,18-8-1997,EPSG,Version 3.2 release,NaN,NaN,NaN,NaN
199808,24-3-1998,1-4-1998,EPSG,Version 4.0 release,NaN,NaN,NaN,NaN
199823,29-9-1998,29-9-1998,EPSG,Version 4.1 release,NaN,NaN,NaN,Version 4.1 release.
199826,10-10-1998,11-11-1998,EPSG,Correct source GeogCS code in ProjCS report,NaN,NaN,NaN,New reports included in v4.2.
199847,25-11-1998,25-11-1998,EPSG,Version 4.2 release,NaN,NaN,NaN,NaN
199907,3-3-1999,22-4-1999,EPSG,Add Oman horizontal and vertical data,NaN,NaN,NaN,Added geod_datum 6134; geogCS 4134; projCS 3439 and 3440; non_poly transformations 1438 and 1439; geod_trf 8370 and 8371; vert_datum 5123 5124; vertCS 5724 5725.
199909,23-3-1999,22-4-1999,EPSG,Add Israel data,NaN,NaN,NaN,Added non_poly transformations 18201 and 18202; projCS 28191 and 28192.
1999091,22-4-1999,20-10-1999,EPSG,Add new Israel data,NaN,NaN,NaN,Added projections 18203 and 18204; geodetic datum 6141; GeogCS 4141; ProjCS 239 and 28193.
199914,22-4-1999,20-10-1999,EPSG,Add US HARNS and transformations,NaN,NaN,NaN,Add non_poly tfm 1474-1503; tfm_path 8819-8847 and 8860-89; geod_tfm 8419-8417 and 8460-89.
1999151,22-4-1999,23-6-2000,EPSG,Add Venezuela grids,NaN,NaN,NaN,Added proj 18260-63; projCS 2101-04.  For v5 only added local datums 9301-11; local CS 5801-03 and 5808-16.
199929,22-4-1999,7-3-2000,EPSG,Amend reports to show DDDMMSSsss conventionally,NaN,NaN,NaN,Implemented in v5 forms and reports.
199932,10-5-1999,24-5-1999,EPSG,Update NADCON tranformations for individual source datums other than NAD27 covered within NADCON,NaN,NaN,NaN,Added Geod_datum 6135-6138; HorizCS 4135-4138;  geod_trf 8385-8392 & 8401-2; trf_path 8785-8792 & 8801-2; trf_nonpoly 1454-1457 & 1461.
199934,24-5-1999,24-5-1999,EPSG,Add regional similarity transformations for Australia from government website,NaN,NaN,NaN,Added trf_nonpoly 1458-1460; trf_path 8795-8800; geod_trf 8395-8400.
200233,19-4-2002,18-7-2002,EPSG,Add Libya data,NaN,NaN,NaN,Added tfm 1859-63.
2002391,19-9-2002,19-9-2002,EPSG,Add missing transformations to WGS84,NaN,NaN,NaN,Added tfm 1881-94; concatenated tfm 8636-45.
200242,22-6-2002,22-6-2002,EPSG,Amend operation parameter value subforms.,NaN,NaN,NaN,Amended browse tfm param value subforms to show dms units.
2002431,21-6-2002,19-9-2002,EPSG,Add Niger Point 58 data,NaN,NaN,NaN,"Added area 2790, datum 6620, geogCRS 4620, tfm 1880. Added remarks to datum 6201 and geogCRS 4201."
200245,28-6-2002,28-6-2002,EPSG,Add Qatar data.,NaN,NaN,NaN,"Added datum 6614, geogCRS 4614, projCRS 2932, tfm 1840."
2002482,13-7-2002,7-1-2004,EPSG,Add Swedish SWEREF projCRS data,NaN,NaN,NaN,Added area 2833-44; proj 17321-33; projCRS 3006-3018.
199942,27-7-1999,19-10-2000,EPSG,Additional Syria systems,NaN,NaN,NaN,Added proj 19948-9 and projCS 22770 22780.  Added aliases to geod datum 6227; geogCs 4227 and projCS 22700.  Added geodetic transformations 1584-87 and concatenated transformation 8568.
1999861,2-12-1999,7-3-2000,EPSG,Add Guinea Bissau data,NaN,NaN,NaN,Added geodetic datum 6165; geogCS 4165; projCS 2095; non-poly tfm 1547; trf_path 8361; geod_trf 8539.
200034,7-3-2000,7-3-2000,EPSG,Add International metre alias,NaN,NaN,NaN,Added unit of measure alias 9091 (version 5 only).
200035,7-3-2000,7-3-2000,EPSG,Add Trinidad and Tobago data,NaN,NaN,NaN,Added geod_datums 6157-58; geogCS 4157-58; projCS 2066-67.
200036,7-3-2000,7-3-2000,EPSG,Add Egypt transformation data.,NaN,NaN,NaN,Added tfm 1545-46; tfm path 8362-64; single_geod_tfm 8536 8538; concat geod tfm 8537.
2000453,23-6-2000,6-11-2001,EPSG,Move v5 Area table ISO fields to Alias table,NaN,NaN,NaN,Retained in v6.1 Area table.
200064,19-10-2000,18-1-2002,EPSG,Allow forms and reports to include alias within filtering by name,NaN,NaN,NaN,Completed on reports v6.1 but not possible on subforms.
200065,19-10-2000,5-6-2001,EPSG,Add facility for user logo on forms and reports,NaN,NaN,NaN,Fully implemented in v5.2 and v6.0.
2000661,19-10-2000,19-10-2000,EPSG,Add Canada maritime province interpolation tfms,NaN,NaN,NaN,Added tfm method 9634; trfm parameter 8665; geodetic tfms 1603-08.
200067,19-10-2000,15-8-2001,EPSG,Replace concatenation of ITRF-based CRS to WGS84,NaN,NaN,NaN,See change records 2001.221-2001.228
2000701,19-10-2000,19-10-2000,EPSG,Add New Zealand GD2000 and transformations,NaN,NaN,NaN,Added geodetic datum 6167 and geogCS 4167.  Added transformations 1564-1568 and 8563.
2000703,19-10-2000,19-10-2000,EPSG,Add New Zealand meridional circuits,NaN,NaN,NaN,Added proj 17901-28 and 17931-58; projCS 2105-2132 and 27205-27232.
2000704,19-10-2000,19-10-2000,EPSG,Add New Zealand offshore UTM CS,NaN,NaN,NaN,Added projCS 2133-2135 and 27258-27260.
200073,19-10-2000,19-10-2000,EPSG,Add French RGF93 CS,NaN,NaN,NaN,Added geodetic datum 6171; geogCS 4171; geod tfm 1591; concat tfm 8573; proj 18085; projCS 2154
200075,19-10-2000,19-10-2000,EPSG,Add Argentina POSGAR data,NaN,NaN,NaN,Added geodetic datum 6172; geogCS 4172; geod tfm 1598
200079,19-10-2000,19-10-2000,EPSG,Repair form for edit/add coordinate system (compound) to remove duplicate axes when ProjCS or VertCS is used in more than one compound coorinate system,NaN,NaN,NaN,"Changed sql statement from ""select..."" to ""select distinct..."""
200081,19-10-2000,19-10-2000,EPSG,Add European vertical datums,NaN,NaN,NaN,Added vertical datum 5129; vertical CS 5730; compound CS 7409.
2000862,12-1-2001,5-6-2001,EPSG,Order alias by naming system.,NaN,NaN,NaN,NaN
200109,18-5-2001,6-11-2001,EPSG,Add transformation methods,NaN,NaN,NaN,Added proj methods 9821-23 and 9825; tfm method 9635; proj 19968; projCRS 32662.
2001091,5-6-2001,5-6-2001,EPSG,Add UTM zoned systems,NaN,NaN,NaN,Added coord operation parameters 8830-31; proj method 9824; proj 16000 and 16100; CRS 32600 and 32700.
2001201,11-6-2001,11-6-2001,EPSG,Version 5.2 release,NaN,NaN,NaN,NaN
2001202,25-6-2001,25-6-2001,EPSG,Version 5.2.1 release,NaN,NaN,NaN,NaN
200228,22-2-2002,22-2-2002,EPSG,Version 5.3 and v6.1 release.,NaN,NaN,NaN,NaN
200253,31-7-2002,31-7-2002,EPSG,Version 6.2 release,NaN,NaN,NaN,NaN
200255,12-8-2002,13-8-2002,EPSG,Complete change record 2002.33 action.,NaN,NaN,NaN,Added action to record in this table.
20026,20-8-2002,5-9-2002,EPSG,Fix VBA compilation errors.,NaN,NaN,NaN,Amended VBA code behind all form controls.
200265,13-9-2002,19-9-2002,EPSG,Add Iran vertical CRS data,NaN,NaN,NaN,Added datum 5149-50; vertCRS 5751-52.
200266,13-9-2002,13-9-2002,EPSG,Add Angola Cabinda transformation,NaN,NaN,NaN,Provenance of data not proven. No action taken.
