COORD_OP_CODE,COORD_OP_NAME,COORD_OP_TYPE,SOURCE_CRS_CODE,TARGET_CRS_CODE,COORD_TFM_VERSION,COORD_OP_VARIANT,AREA_OF_USE_CODE,COORD_OP_SCOPE,COORD_OP_ACCURACY,COORD_OP_METHOD_CODE,UOM_CODE_SOURCE_COORD_DIFF,UOM_CODE_TARGET_COORD_DIFF,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,SHOW_OPERATION,DEPRECATED
16001,UTM zone 1N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16002,UTM zone 2N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16010,UTM zone 10N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16011,UTM zone 11N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16012,UTM zone 12N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16013,UTM zone 13N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16014,UTM zone 14N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16015,UTM zone 15N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16016,UTM zone 16N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16017,UTM zone 17N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16018,UTM zone 18N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16019,UTM zone 19N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16020,UTM zone 20N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16021,UTM zone 21N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16022,UTM zone 22N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16023,UTM zone 23N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16024,UTM zone 24N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16025,UTM zone 25N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16026,UTM zone 26N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16027,UTM zone 27N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16028,UTM zone 28N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16029,UTM zone 29N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16030,UTM zone 30N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16031,UTM zone 31N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16032,UTM zone 32N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16033,UTM zone 33N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16034,UTM zone 34N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16035,UTM zone 35N,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16101,UTM zone 1S,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16102,UTM zone 2S,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16110,UTM zone 10S,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16111,UTM zone 11S,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16112,UTM zone 12S,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16113,UTM zone 13S,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16114,UTM zone 14S,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16115,UTM zone 15S,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16116,UTM zone 16S,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16117,UTM zone 17S,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
16118,UTM zone 18S,conversion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9807,NaN,NaN,NaN,NaN,EPSG,2-12-1995,1995.280,1,0
