COORD_OP_METHOD_CODE,COORD_OP_METHOD_NAME,REVERSE_OP,"FORMULA",EXAMPLE,REMARKS,"INFORMATION_SOURCE",DATA_SOURCE,REVISION_DATE,CHANGE_ID,DEPRECATED
1025,Geographic3D to GravityRelatedHeight (EGM2008),0,"This transformation involves the application of a geoid-ellipsoid separation value interpolated from a geoid model. The model provides separation values at the nodes on a regular grid of latitude and longitude intersection points. The geodetic latitude and longitude used to interpolate within the grid are not affected by this transformation.

The grid is referenced to a specific geographic CRS (the source CRS) and interpolation must be made in this system.

Calculation of the separation is achieved through a bi-linear interpolation of the grid, using the latitude and longitude of the point. This step provides the geoid-ellipsoid separation (N) above the ellipsoid of the source Geographic 3D CRS.

Then:
           H = h - N

where h = the height above the ellipsoid in the source geographic 3D CRS
and   H = the gravity-related height in the target vertical CRS.",(none),"For earlier EGM84 and EGM96 models see Geographic3D to GravityRelatedHeight (EGM), method code 9661.","EPSG guidance note #7-2, http://www.epsg.org",EPSG,15-12-2016,2008.097 2016.050,0
1030,Geographic3D to GravityRelatedHeight (NZgeoid),0,"This transformation involves the application of a geoid-ellipsoid separation value interpolated from a quasigeoid model. The model provides separation values at the nodes on a regular grid of latitude and longitude intersection points. The geodetic latitude and longitude used to interpolate within the grid are not affected by this transformation.

The grid is referenced to a specific geographic CRS (the source CRS) and interpolation must be made in this system.

Calculation of the separation is achieved through a bi-linear interpolation of the grid, using the latitude and longitude of the point. This step provides the geoid-ellipsoid separation (N) above the ellipsoid of the source Geographic 3D CRS.

Then:
           H = h - N

where h = the height above the ellipsoid in the source geographic 3D CRS
and   H = the gravity-related height in the target vertical CRS.",(none),"EPSG initially gave this method the name ""Geographic3D to GravityRelatedHeight (NZgeoid2009)"". As the same file format was retained for the 2016 geoid, date removed from the method name.","EPSG guidance note #7-2, http://www.epsg.org",EPSG,15-12-2016,2009.081 2016.031,0
1031,Geocentric translations (geocentric domain),1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.

Xt = Xs + dX;  Yt = Ys + dY;  Zt = Zs + dZ","Given a three parameter datum shift from WGS 84 to ED50 for this North Sea area is given as 
dX = +84.87m, dY = +96.49m, dZ = +116.95m. 

The given WGS 84 geocentric values are:

   XA = 3771 793.97m
   YA =   140 253.34m
   ZA = 5124 304.35m

Applying the three geocentric translations to these source CRS coordinates we obtain new geocentric values now related to the target CRS ED50:

   XB = 3771 878.84m
   YB =   140 349.83m
   ZB = 5124 421.30m",This method allows calculation of geocentric coords in the target system by adding the parameter values to the corresponding coordinates of the point in the source system. See methods 1035 and 9603 for similar tfms operating between other CRSs types.,"EPSG guidance note #7-2, http://www.epsg.org",EPSG,17-11-2009,2009.083,0
1032,Coordinate Frame rotation (geocentric domain),1,"<<<<<This text is continued from the description of the Position Vector transformation formula>>>>>

Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.

Although being common practice particularly in the European E&P industry, the Position Vector transformation sign convention is not universally accepted.  A variation on this formula is also used, particularly in the USA E&P industry.  That formula is based on the same definition of translation and scale parameters, but a different definition of the rotation parameters.  The associated convention is known as the ""Coordinate Frame rotation"" convention. 
The formula is:

   (Xt)          (  1      +rZ      -rY)    (Xs)     (tX)
   (Yt)  =  M *  ( -rZ       1      +rX)  * (Ys)  +  (tY)
   (Zt)          ( +rY     -rX       1 )    (Zs)     (tZ)

and the parameters are defined as:

(tX, tY, tZ): Translation vector, to be added to the point's position vector in the source coordinate reference system in order to transform from source coordinate reference system to target coordinate reference system; also: the coordinates of the origin of source coordinate reference system in the target frame.

(rX, rY, rZ): Rotations to be applied to the coordinate reference frame.  The sign convention is such that a positive rotation of the frame about an axis is defined as a clockwise rotation of the coordinate reference frame when viewed from the origin of the Cartesian coordinate reference system in the positive direction of that axis, that is a positive rotation about the Z-axis only from source coordinate reference system to target coordinate reference system will result in a smaller longitude value for the point in the target coordinate reference system. Although rotation angles may be quoted in any angular unit of measure, the formula as given here requires the angles to be provided in radians.

M: Multiplication factor to be applied to the position vector in the source coordinate reference system in order to obtain the correct scale of the target coordinate reference system. M = (1+dS) where dS is the scale difference. When dS is expressed in parts per million, M = (1+dS*10^-6). When dS is the scale difference expressed in parts per billion, M = (1+dS*10^-9).

In the absence of rotations the two formulas are identical; the difference is solely in the rotations. The name of the second method reflects this.

Note that the same rotation that is defined as positive in the first method is consequently negative in the second and vice versa.  It is therefore crucial that the convention underlying the definition of the rotation parameters is clearly understood and is communicated when exchanging datum transformation parameters, so that the parameters may be associated with the correct coordinate transformation method (algorithm).","The same example as for the Position Vector transformation (coordinate operation method 1033) can be calculated, however the following transformation parameters have to be applied to achieve the same input and output in terms of coordinate values:

Transformation parameters for the Coordinate Frame rotation convention:
tX (m) = 0.000 
tY (m) = 0.000 
tZ (m) = +4.5 
rX ("") = 0.000
rY ("") = 0.000
rZ ("") = -0.554 = -0.000002685868 radians
dS (ppm) = +0.219

M = 1 + dS = 1.000000219

Please note that only the rotation has changed sign as compared to the Position Vector transformation.",This method is a specific case of the Molodensky-Badekas (CF) method (code 1034) in which the evaluation point is at the geocentre with coordinate values of zero. Note the analogy with the Position Vector method (code 1033) but beware of the differences!,"EPSG guidance note #7-2, http://www.epsg.org",EPSG,21-2-2019,2009.083 2013.021 2014.039 2018.001 2019.006,0
1035,Geocentric translations (geog3D domain),1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.

Transformation of coordinates from one geographic coordinate reference system into another is often carried out as a concatenation of the following operations:

  (geographical to geocentric) + (geocentric to geocentric) + (geocentric to geographic)

The Coordinate Frame Rotation (geog2D domain) transformation has 3 steps:

(i) geographic 3D coordinates are converted to geocentric coordinates using EPSG coordinate operation method code 9602;

(ii) the middle step of the concatenated transformation, from geocentric coordinates to geocentric coordinates, uses the Geocentric translations(geocentric domain) method, EPSG method code 1031;

(iii) finally the geocentric coordinates are converted to geographic 3D using EPSG coordinate operation method code 9602.","(For the geocentric step only). Given a three parameter datum shift from WGS 84 to ED50 for this North Sea area is given as 
dX = +84.87m, dY = +96.49m, dZ = +116.95m. 

The WGS84 geographical coordinates convert to the following WGS 84 geocentric values using 
the above formulas for X, Y, Z:

   XA = 3771 793.97m
   YA =   140 253.34m
   ZA = 5124 304.35m

Applying the given datum shifts to these, we obtain new geocentric values now related 
to ED50:

   XB = 3771 878.84m
   YB =   140 349.83m
   ZB = 5124 421.30m",See methods 1031 and 9603 for similar tfms operating between other CRSs types.,"EPSG guidance note #7-2, http://www.epsg.org",EPSG,13-1-2021,2009.083 2020.125,0
1038,Coordinate Frame rotation (geog3D domain),1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.

Transformation of coordinates from one geographic coordinate reference system into another is often carried out as a concatenation of the following operations:

  (geographical to geocentric) + (geocentric to geocentric) + (geocentric to geographic)

The Coordinate Frame rotation (geog3D domain) transformation has 3 steps:

(i) geographic 3D coordinates are converted to geocentric coordinates using EPSG coordinate operation method code 9602;

(ii) the middle step of the concatenated transformation, from geocentric coordinates to geocentric coordinates, uses the Coordinate Frame rotation (geocentric domain) method, EPSG method code 1032;

(iii) finally the geocentric coordinates are converted to geographic 3D using EPSG coordinate operation method code 9602.","The same example as for the Position Vector transformation (coordinate operation method 1037) can be calculated, however the following transformation parameters have to be applied to achieve the same input and output in terms of coordinate values:

Transformation parameters Coordinate Frame rotation convention:
tX (m) = 0.000 
tY (m) = 0.000 
tZ (m) = 4.5 
rX ("") = 0.000
rY ("") = 0.000
rZ ("") = -0.554 = -0.000002685868 radians
dS (ppm) = 0.219

from which M = 1.000000219

Please note that only the rotation has changed sign as compared to the Position Vector transformation.",Note the analogy with the Position Vector tfm (code 1037) but beware of the differences!  The Position Vector convention is used by IAG and recommended by ISO 19111. See methods 1032 and 9607 for similar tfms operating between other CRS types.,"EPSG guidance note #7-2, http://www.epsg.org",EPSG,21-2-2019,2009.083 2013.021 2018.001 2019.006,0
1045,Geographic3D to GravityRelatedHeight (OSGM02-Ire),0,"This transformation involves the application of a height difference interpolated from a height correction model. The model provides height difference values at the nodes on a regular grid of latitude and longitude intersection points. The geodetic latitude and longitude used to interpolate within the grid are not affected by this transformation.

The grid is referenced to a specific geographic CRS (the source CRS) and interpolation must be made in this system.

Calculation of the height difference is achieved through a bi-linear interpolation of the grid, using the latitude and longitude of the point. This step provides the height correction (C) of the target datum above the ellipsoid of the source Geographic 3D CRS. C differs from the geoid-ellipsoid separation N because a vertical datum is a realisation of the geoid surface, not the geoid itself.

Then:
           H = h - C

where h = the height above the ellipsoid in the source geographic 3D CRS
and     H = the gravity-related height in the target vertical CRS.",(none),Transformation of the vertical component of a Geographic 3D CRS to a Vertical CRS.,"EPSG guidance note #7-2, http://www.epsg.org",EPSG,14-1-2011,2010.104,0
1047,Geographic3D to GravityRelatedHeight (Gravsoft),0,"This transformation involves the application of a geoid-ellipsoid separation value interpolated from a quasigeoid model. The model provides separation values at the nodes on a regular grid of latitude and longitude intersection points. The geodetic latitude and longitude used to interpolate within the grid are not affected by this transformation.

The grid is referenced to a specific geographic CRS (the source CRS) and interpolation must be made in this system.

Calculation of the separation is achieved through a bi-linear interpolation of the grid, using the latitude and longitude of the point. This step provides the geoid-ellipsoid separation (N) above the ellipsoid of the source Geographic 3D CRS.

Then:
           H = h - N

where h = the height above the ellipsoid in the source geographic 3D CRS
and   H = the gravity-related height in the target vertical CRS.",(none),NaN,"EPSG guidance note #7-2, http://www.epsg.org",EPSG,15-12-2016,2011.083 2016.050,0
1050,Geographic3D to GravityRelatedHeight (CI),0,"This transformation involves the application of a geoid-ellipsoid separation value interpolated from a quasigeoid model. The model provides separation values at the nodes on a regular grid of latitude and longitude intersection points. The geodetic latitude and longitude used to interpolate within the grid are not affected by this transformation.

The grid is referenced to a specific geographic CRS (the source CRS) and interpolation must be made in this system.

Calculation of the separation is achieved through a bi-linear interpolation of the grid, using the latitude and longitude of the point. This step provides the geoid-ellipsoid separation (N) above the ellipsoid of the source Geographic 3D CRS. In this method the separation is given in feet.

Then:
           H = (h/0.3048) - N

where h = the height above the ellipsoid in the source geographic 3D CRS (in metres)
and   H = the gravity-related height in the target vertical CRS.",(none),NaN,"EPSG guidance note #7-2, http://www.epsg.org",EPSG,16-10-2017,2012.095 2016.050 2014.027,0
1052,Colombia Urban,1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.

The forward conversion from latitude and longitude to easting and northing is:

E = FE + A * nu * cos(lat) * (lon – lonO)
N = FN + G * rhoO * [(lat – latO) + {B *(lon – lonO)^2 * nu^2 * cos^2(lat)}] 

where
latO, lonO and hO are the latitude, longitude and height of the projection origin,

rho is the radius of curvature of the ellipsoid in the plane of the meridian at latitude lat, rhoO at latitude latO, and rhoM at mid-latitude (latO + lat)/2; rho = a(1 – e^2)/(1 – e^2 * sin^2(lat))^1.5 for  lat, latO and latM

nu is the radius of curvature of the ellipsoid perpendicular to the meridian at latitude lat with nuO at latitude latO; nu = a /(1 – e^2 * sin^2(lat))^0.5 for lat and latO

e is the eccentricity of the ellipsoid and e^2 = (a^2 – b^2)/a^2 = 2f – f^2
a is the ellipsoidal semi-major and 1/f is the inverse flattening

A = 1 + hO/nuO
B = tan(latO) / 2 * rhoO * nuO
G = 1 + hO/latM

The reverse conversion from easting and northing to latitude and longitude is: 

lat = latO + [(N – FN) / D]  – B [(E–FE) / C]^2
lon = lonO + (E – FE) / C *nu * cos(lat)

where
B is as in the forward conversion,
C = 1 + hO/a
D = rhoO * (1 + hO/a(1-e^2))","For Projected Coordinate Reference System: MAGNA-SIRGAS / Bogota urban grid
Parameters:
Ellipsoid:	GRS 1980	a = 6378137.0 metres		1/f = 298.2572221
	then 	e^2 = 0.006694380		
			
Latitude of natural origin = 4°40'49.75""N = 0.081689893 rad
Longitude of natural origin = 74°08'47.73""W = -1.294102154 rad
False easting = 92334.879 metres	
False northing = 109320.965 metres	
Height of projection origin = 2550.000	metres	


Forward calculation for: 
Latitude	= 4°48'00.000""N = 0.083775804 rad
Longitude	= 74°15'00.000""W = -1.295906970 rad

First calculate constants for the projection:

rho_O = 6335862.944
nu_O = 6378279.154
A = 1.000399794	
B = 1.012970E-15
C = 1.000399803
D = 6338413.114

Then
nu = 6378286.489
G = 1.000402470	
and then
E =  80859.033m
N = 122543.174m
 
Reverse calculation for the same Easting and Northing (80859.033E, 122543.174N) first gives:
	
Latitude	= 4°48'00.000""N
then nu =	6378286.489
and Longitude = 74°15'00.000""W",NaN,"EPSG guidance note #7-2, http://www.epsg.org",EPSG,20-5-2013,2012.044,0
