COORD_REF_SYS_CODE,"COORD_REF_SYS_NAME",AREA_OF_USE_CODE,COORD_REF_SYS_KIND,COORD_SYS_CODE,DATUM_CODE,BASE_CRS_CODE,PROJECTION_CONV_CODE,CMPD_HORIZCRS_CODE,CMPD_VERTCRS_CODE,CRS_SCOPE,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,SHOW_CRS,DEPRECATED
32201,"WGS 72 / UTM zone 1N",NaN,projected,4400,NaN,4322,16001,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32210,"WGS 72 / UTM zone 10N",NaN,projected,4400,NaN,4322,16010,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32211,"WGS 72 / UTM zone 11N",NaN,projected,4400,NaN,4322,16011,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32212,"WGS 72 / UTM zone 12N",NaN,projected,4400,NaN,4322,16012,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32213,"WGS 72 / UTM zone 13N",NaN,projected,4400,NaN,4322,16013,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32214,"WGS 72 / UTM zone 14N",NaN,projected,4400,NaN,4322,16014,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32215,"WGS 72 / UTM zone 15N",NaN,projected,4400,NaN,4322,16015,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32216,"WGS 72 / UTM zone 16N",NaN,projected,4400,NaN,4322,16016,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32217,"WGS 72 / UTM zone 17N",NaN,projected,4400,NaN,4322,16017,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32218,"WGS 72 / UTM zone 18N",NaN,projected,4400,NaN,4322,16018,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32219,"WGS 72 / UTM zone 19N",NaN,projected,4400,NaN,4322,16019,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32220,"WGS 72 / UTM zone 20N",NaN,projected,4400,NaN,4322,16020,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32221,"WGS 72 / UTM zone 21N",NaN,projected,4400,NaN,4322,16021,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32222,"WGS 72 / UTM zone 22N",NaN,projected,4400,NaN,4322,16022,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32223,"WGS 72 / UTM zone 23N",NaN,projected,4400,NaN,4322,16023,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32224,"WGS 72 / UTM zone 24N",NaN,projected,4400,NaN,4322,16024,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32225,"WGS 72 / UTM zone 25N",NaN,projected,4400,NaN,4322,16025,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32226,"WGS 72 / UTM zone 26N",NaN,projected,4400,NaN,4322,16026,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32227,"WGS 72 / UTM zone 27N",NaN,projected,4400,NaN,4322,16027,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32228,"WGS 72 / UTM zone 28N",NaN,projected,4400,NaN,4322,16028,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32301,"WGS 72 / UTM zone 1S",NaN,projected,4400,NaN,4322,16101,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
