DEPRECATION_ID,DEPRECATION_DATE,CHANGE_ID,OBJECT_TABLE_NAME,OBJECT_CODE,REPLACED_BY,"DEPRECATION_REASON"
621,7-1-2004,2003.39,Coordinate Reference System,61436405,4143,"EPSG no longer supports this system."
651,7-1-2004,2003.39,Coordinate Reference System,61686405,4168,"EPSG no longer supports this system."
652,7-1-2004,2003.39,Coordinate Reference System,61696405,4169,"EPSG no longer supports this system."
676,7-1-2004,2003.39,Coordinate Reference System,61916405,4191,"EPSG no longer supports this system."
681,7-1-2004,2003.39,Coordinate Reference System,61966405,4196,"EPSG no longer supports this system."
686,7-1-2004,2003.39,Coordinate Reference System,62016405,4201,"EPSG no longer supports this system."
687,7-1-2004,2003.39,Coordinate Reference System,62026405,4202,"EPSG no longer supports this system."
688,7-1-2004,2003.39,Coordinate Reference System,62036405,4203,"EPSG no longer supports this system."
689,7-1-2004,2003.39,Coordinate Reference System,62046405,4204,"EPSG no longer supports this system."
690,7-1-2004,2003.39,Coordinate Reference System,62056405,4205,"EPSG no longer supports this system."
691,7-1-2004,2003.39,Coordinate Reference System,62066405,4206,"EPSG no longer supports this system."
693,7-1-2004,2003.39,Coordinate Reference System,62086405,4208,"EPSG no longer supports this system."
694,7-1-2004,2003.39,Coordinate Reference System,62096405,4209,"EPSG no longer supports this system."
772,7-1-2004,2003.39,Coordinate Reference System,62896405,4289,"EPSG no longer supports this system."
816,7-1-2004,2003.39,Coordinate Reference System,66006405,4600,"EPSG no longer supports this system."
817,7-1-2004,2003.39,Coordinate Reference System,66016405,4601,"EPSG no longer supports this system."
597,7-1-2004,2003.39,Coordinate Reference System,61226405,4122,"EPSG no longer supports this system."
661,7-1-2004,2003.39,Coordinate Reference System,61766405,4176,"EPSG no longer supports this system."
662,7-1-2004,2003.39,Coordinate Reference System,61766413,4176,"EPSG no longer supports this system."
668,7-1-2004,2003.39,Coordinate Reference System,61826405,4182,"EPSG no longer supports this system."
669,7-1-2004,2003.39,Coordinate Reference System,61836405,4183,"EPSG no longer supports this system."
670,7-1-2004,2003.39,Coordinate Reference System,61846405,4184,"EPSG no longer supports this system."
695,7-1-2004,2003.39,Coordinate Reference System,62106405,4210,"EPSG no longer supports this system."
696,7-1-2004,2003.39,Coordinate Reference System,62116405,4211,"EPSG no longer supports this system."
697,7-1-2004,2003.39,Coordinate Reference System,62126405,4212,"EPSG no longer supports this system."
698,7-1-2004,2003.39,Coordinate Reference System,62136405,4213,"EPSG no longer supports this system."
699,7-1-2004,2003.39,Coordinate Reference System,62146405,4214,"EPSG no longer supports this system."
876,7-1-2004,2003.39,Coordinate Reference System,66646405,4664,"EPSG no longer supports this system."
877,7-1-2004,2003.39,Coordinate Reference System,66656405,4665,"EPSG no longer supports this system."
889,7-1-2004,2003.39,Coordinate Reference System,68136405,4813,"EPSG no longer supports this system."
647,7-1-2004,2003.39,Coordinate Reference System,61656405,4165,"EPSG no longer supports this system."
700,7-1-2004,2003.39,Coordinate Reference System,62156405,4215,"EPSG no longer supports this system."
701,7-1-2004,2003.39,Coordinate Reference System,62166405,4216,"EPSG no longer supports this system."
