ELLIPSOID_CODE,ELLIPSOID_NAME,SEMI_MAJOR_AXIS,UOM_CODE,INV_FLATTENING,SEMI_MINOR_AXIS,ELLIPSOID_SHAPE,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,DEPRECATED
1024,CGCS2000,6378137,9001,298.257222101,NaN,1,"Defining parameters semi-major axis, flattening and angular velocity are same as for GRS 1980 (ellipsoid code 7019); GM = 3986004.4e8 m*m*m/s/s (from NASA 1986 Lageos determination).",Chinese Academy of Surveying and Mapping.,EPSG,12-11-2009,2009.084,0
1025,GSK-2011,6378136.5,9001,298.2564151,NaN,1,NaN,"Parametry Zemli 1990 Reference Document, Military Topgraphic Department (VTU) of the General Staff of Armed Forces of the Russian Federation.",EPSG,25-1-2016,2015.055,0
1026,Zach 1812,6376045,9001,310,NaN,1,"Defined as log a = 6.5266022 Klafter (Austrian fathom, Kl), log b = 6.5251990 Kl. a=10^6.526 6022 = 3362035 Kl. Then using the Austro-Hungarian 1871 KL/m legal ratio of 1.89648384, a = 6376045m","Land Survey Office (ZU), Prague, www.cuzk.cz/zu. See also Georg Strasser ""Ellipsoidiche Parameter der Erdfigur 1800-1950"".",EPSG,24-5-2017,2017.007,0
7001,Airy 1830,6377563.396,9001,299.3249646,NaN,1,"Original definition is a=20923713, b=20853810 feet of 1796. 1/f is given to 7 decimal places. For the 1936 retriangulation OSGB defines the relationship of 10 feet of 1796 to the International metre through ([10^0.48401603]/10) exactly = 0.3048007491...",Ordnance Survey of Great Britain.,EPSG,27-11-2006,1998.321 1998.340 2006.932,0
7002,Airy Modified 1849,6377340.189,9001,299.3249646,NaN,1,OSGB Airy 1830 figure (ellipsoid code 7001) rescaled by 0.999965 to best fit the scale of the 19th century primary triangulation of Ireland.,"""The Irish Grid - A Description of the Co-ordinate Reference System"" published by Ordnance Survey of Ireland, Dublin and Ordnance Survey of Northern Ireland, Belfast.",EPSG,27-6-2003,1998.321 2002.622,0
7003,Australian National Spheroid,6378160,9001,298.25,NaN,1,Based on the GRS 1967 figure but with 1/f taken to 2 decimal places exactly.  The dimensions are also used as the GRS 1967 Modified ellipsoid (see code 7050).,"Australian Map Grid Technical Manual"; National Mapping Council of Australia Special Publication #7; 1972,EPSG,11-8-2008,2002.500 2008.017,0
7004,Bessel 1841,6377397.155,9001,299.1528128,NaN,1,Original Bessel definition is a=3272077.14 and b=3261139.33 toise. This used a weighted mean of values from several authors but did not account for differences in the length of the various toise: the "Bessel toise" is therefore of uncertain length.,US Army Map Service Technical Manual; 1943.,EPSG,22-4-1999,1998.321 1998.340,0
7005,Bessel Modified,6377492.018,9001,299.1528128,NaN,1,Used in Norway and also in Sweden with a 1mm increase in semi-major axis.,NaN,EPSG,22-4-1999,1998.321,0
7006,Bessel Namibia,6377483.865,9001,299.1528128,NaN,1,a = 6377397.155 German legal metres. This is the same value as the Bessel 1841 figure (code 7004) but in different units.  Used in Namibia.,"Chief Directorate: Surveys and Mapping, Mowbray, South Africa.",EPSG,22-4-1999,1997.160,1
7007,Clarke 1858,20926348,9005,NaN,20855233,1,Clarke's 1858/II solution. Derived parameters: a = 6378293.645m using his 1865 ratio of 0.3047972654 feet per metre; 1/f = 294.26068…  In Australia and Amoco Trinidad 1/f taken to two decimal places (294.26 exactly); elsewhere a and b used to derive 1/f.,"Ellipsoidisch Parameter der Erdfigur (1800-1950)" by Georg Strasser.,EPSG,14-8-2005,1999.700 2005.370,0
