SUPERSESSION_ID,OBJECT_TABLE_NAME,OBJECT_CODE,SUPERSEDED_BY,SUPERSESSION_TYPE,SUPERSESSION_YEAR,"REMARKS"
1237,Datum,5139,1164,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1239,Datum,5141,1164,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1238,Datum,5146,1164,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1240,Datum,5143,1164,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1242,Datum,5142,1164,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1241,Datum,5145,1164,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1152,Coordinate Reference System,5712,5711,Supersession,2018,"With introduction of GDA2020 geoid model in September 2017, AHD (Tasmania) considered to be an integral part of AHD."
1243,Coordinate Reference System,5741,7707,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1245,Coordinate Reference System,5743,7707,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1244,Coordinate Reference System,5748,7707,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1186,Coordinate Reference System,2280,3560,Supersession,2020,"Change in State legislation from international foot to US survey foot."
1187,Coordinate Reference System,2281,3566,Supersession,2020,"Change in State legislation from international foot to US survey foot."
1188,Coordinate Reference System,2282,3567,Supersession,2020,"Change in State legislation from international foot to US survey foot."
1189,Coordinate Reference System,2921,3568,Supersession,2020,"Change in State legislation from international foot to US survey foot."
1190,Coordinate Reference System,2922,3569,Supersession,2020,"Change in State legislation from international foot to US survey foot."
1191,Coordinate Reference System,2923,3570,Supersession,2020,"Change in State legislation from international foot to US survey foot."
1042,Coordinate Reference System,6094,6351,Supersession,2013,"Geodetic CRS superseded before OGP Guidance Note 373-20 published."
1054,Coordinate Reference System,6095,6352,Supersession,2013,"Geodetic CRS superseded before OGP Guidance Note 373-20 published."
1055,Coordinate Reference System,6096,6353,Supersession,2013,"Geodetic CRS superseded before OGP Guidance Note 373-20 published."
1056,Coordinate Reference System,6097,6354,Supersession,2013,"Geodetic CRS superseded before OGP Guidance Note 373-20 published."
1192,Coordinate Reference System,3676,3677,Supersession,2020,"Change in State legislation from international foot to US survey foot."
1194,Coordinate Reference System,3679,3680,Supersession,2020,"Change in State legislation from international foot to US survey foot."
1195,Coordinate Reference System,3682,3683,Supersession,2020,"Change in State legislation from international foot to US survey foot."
1051,Coordinate Reference System,3764,3793,Supersession,2011,"Withdrawn and replaced by NZGD200 / CITM2000 before being utilised."
1246,Coordinate Reference System,5745,7707,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1248,Coordinate Reference System,5744,7707,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1247,Coordinate Reference System,5747,7707,Supersession,2015,"Poorly defined datum, replaced by improved mean sea level determination through OSGM15."
1052,Coordinate_Operation,17959,17965,Supersession,2011,"Withdrawn and replaced by Chatham Islands TM2000 before being utilised."
1197,Coordinate_Operation,15362,15297,Supersession,2020,"Change in State legislation from international foot to US survey foot."
1212,Coordinate_Operation,15363,15298,Supersession,2020,"Change in State legislation from international foot to US survey foot."
1213,Coordinate_Operation,15364,15299,Supersession,2020,"Change in State legislation from international foot to US survey foot."
143,Coordinate_Operation,1066,15740,Supersession,2004,"New parameter values derived at a different set of stations."
1057,Coordinate_Operation,1108,6905,Supersession,2014,"Later determination."
7,Coordinate_Operation,1236,1280,Supersession,NaN,"Provisional transformation replaced by authoritative one."
8,Coordinate_Operation,1236,1669,Supersession,NaN,"Provisional transformation replaced by authoritative one."
1255,Coordinate_Operation,1458,5827,NaN,2012,"Improved determination derived locally."
26,Coordinate_Operation,1459,1594,Supersession,2000,"State transformation republished by federal authority with minor changes in parameter values. Application gives result differences which are sub-metre."
28,Coordinate_Operation,1464,1596,Supersession,NaN,"State transformation included within regional transformation."
29,Coordinate_Operation,1506,1803,Supersession,2001,"State transformation included within national transformation."
30,Coordinate_Operation,1507,1803,Supersession,2001,"State transformation included within national transformation."
31,Coordinate_Operation,1559,1593,Supersession,2001,"Withdrawn and replaced by info source because 8-bit binary grid file format inconsistent with NTv2 16-bit format."
33,Coordinate_Operation,1593,1804,Supersession,2001,"State transformation included in national transformation."
34,Coordinate_Operation,1596,1803,Supersession,2001,"Regional transformation included within national transformation."
142,Coordinate_Operation,1751,15739,Supersession,2004,"Replacement has improved determination."
