VERSION_HISTORY_CODE,VERSION_DATE,VERSION_NUMBER,"VERSION_REMARKS",SUPERCEDED_BY,SUPERCEDES
1,1-6-1994,1.0,"Version 1.0 release.  Excel v2.",NaN,NaN
2,2-6-1996,2.1,"Version 2.1 release.  Excel v4.",3.0,NaN
3,12-12-1996,3.0,"Version 3.0 release.  Access v2.",3.1,2.1
4,11-4-1997,3.1,"Version 3.1 release.",3.2,3.0
5,28-8-1997,3.2,"Version 3.2 release.",4.0,3.1
6,24-3-1998,4.0,"Version 4.0 release.  Access v7.",4.1,3.2
7,29-9-1998,4.1,"Version 4.1 release.",4.2,4.0
8,25-11-1998,4.2,"Version 4.2 release.",4.3,4.1
9,26-7-1999,4.3,"Version 4.3 release.",4.4,4.2
10,19-11-1999,4.4,"Version 4.4 release.",4.5,4.3
11,29-6-2000,4.5,"Version 4.5 release.",5.1,4.4
12,29-6-2000,5.0,"Version 5.0 release.  Access97",5.01,4.4
13,9-7-2000,5.01,"Version 5.01 release.",5.1,5.0
14,31-12-2000,5.1,"Version 5.1 release.",5.2,4.5  5.01
15,11-6-2001,5.2,"Version 5.2 release.",5.21,5.1
16,26-6-2001,5.21,"Version 5.21 release.",6.1,5.2
17,21-2-2002,5.3,"Version 5.3 release. Same data as v6.1.",6.1,5.21
18,3-9-2001,6.02,"v6.02 release to EPSG wg and ISO 19127 project team.",6.1,NaN
19,25-2-2002,6.1,"Version 6.1 release. ISO 19111 compliant data model and terminology.",6.2,5.21  6.02
20,31-7-2002,6.2,"Version 6.2 release.",6.2.1,5.3  6.1
21,5-9-2002,6.2.1,"v6.2 data; purged redundant Visual Basic code behind forms.",6.2.2,6.2
22,16-9-2002,6.2.2,"v6.2 data; purged further redundant Visual Basic code behind forms.",6.3,6.2.1
23,26-2-2003,6.3,"Version 6.3 release.",6.4,6.2.2
24,15-10-2003,6.4,"Version 6.4 release.",6.5,6.3
25,13-1-2004,6.5,"Version 6.5 release.",6.6,6.4
26,9-4-2004,6.5.1,"Version 6.5.1. VBA module for creating SQL DDL updated. No other change.",6.6,6.5
27,27-4-2004,6.5.2,"Version 6.5.2. Further update to VBA module for creating SQL DDL. Data exactly as v6.5.",6.6,6.5.1
28,29-6-2004,6.5.3,"Version 6.5.3. Further update to VBA module for creating SQL DDL. Data exactly as v6.5.",6.6,6.5.2
29,23-10-2004,6.6,"Version 6.6 release.",6.7,6.5.3
30,31-5-2005,6.7,"Version 6.7 release.",6.8,6.6
31,10-10-2005,6.8,"Version 6.8 release.",6.9,6.7
32,20-2-2006,6.9,"Version 6.9 release.",6.10,6.8
33,7-4-2006,6.10,"Version 6.10 release.",6.10.1,6.9
34,23-5-2006,6.10.1,"Version 6.10.1 release. SQL script modified to amend date format. Same data as v6.10.",6.10.2,6.10
35,8-6-2006,6.10.2,"Version 6.10.2 release. SQL script modified to remove unique constraint. Same data as v6.10.",6.11,6.10.1
36,9-8-2006,6.11,"Version 6.11 release.",6.11.1,6.10.2
37,4-10-2006,6.11.1,"Version 6.11.1 release.",6.11.2,6.11
38,23-10-2006,6.11.2,"Version 6.11.2 release.",6.12,6.11.1
39,8-2-2007,6.12,"Version 6.12 release.",6.13,6.11.2
40,16-7-2007,6.13,"Version 6.13 release.",6.14,6.12
41,2-9-2007,6.14,"Version 6.14 release.",6.15,6.13
42,15-4-2008,6.15,"Version 6.15 release.",6.16,6.14
44,27-6-2008,6.16,"Version 6.16 release.",6.16.1,6.15
45,27-6-2008,6.16.1,"Registry software upgrade v1.1.2.",6.16.2,6.16
46,5-7-2008,6.16.2,"Registry software upgrade v1.1.3.",6.17,6.16.1
47,14-7-2008,6.17,"Version 6.17 release.",6.17.1,6.16.2
48,5-8-2008,6.17.1,"Version 6.17.1 registry interim data release and software upgrade v1.1.4.",6.18,6.17
49,12-11-2008,6.18,"Version 6.18 release. Access and SQL only.",6.18.1,6.17.1
50,20-1-2009,6.18.1,"Version 6.18.1 registry interim data release.",6.18.3,6.18
51,10-2-2009,6.18.3,"Version 6.18.3 registry interim data release.",7.1,6.18.1
52,2-6-2009,7.1,"Version 7.1 marks the transition of the master dataset from the Access database to the online Registry. It also marks a change in the version of MS Access in which the database is distributed, from v97 to v2000.",7.1.1,6.18.3
53,7-6-2009,7.1.1,"Registry interim release. Registry software v1.2.5 loaded. Change requests 2009.023 and 2009.039 released.",7.1.2,7.1
54,30-6-2009,7.1.2,"Version 7.1.2 registry interim data release.",7.1.3,7.1.1
55,1-7-2009,7.1.3,"Version 7.1.3 registry interim data release.",7.1.4,7.1.2
56,3-7-2009,7.1.4,"Version 7.1.4 registry interim data release.",7.1.5,7.1.3
57,4-7-2009,7.1.5,"Version 7.1.5 registry interim data release.",7.1.6,7.1.4
58,22-7-2009,7.1.6,"Version 7.1.6 registry interim data release.",7.1.7,7.1.5
59,29-7-2009,7.1.7,"Version 7.1.7 registry interim data release.",7.1.8,7.1.6
60,5-9-2009,7.1.8,"Version 7.1.8 registry interim data release.",7.1.9,7.1.7
