# Station : DIEPPE
# Longitude : 1.08449
# Latitude : 49.92917
# Organisme fournisseur de données : Shom, Port de Dieppe
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
01/07/2019 00:00:00;5.359;4
01/07/2019 01:00:00;4.024;4
01/07/2019 02:00:00;2.826;4
01/07/2019 03:00:00;2.003;4
01/07/2019 04:00:00;1.756;4
01/07/2019 05:00:00;2.33;4
01/07/2019 06:00:00;4.043;4
01/07/2019 07:00:00;6.06;4
01/07/2019 08:00:00;7.546;4
01/07/2019 09:00:00;8.451;4
01/07/2019 10:00:00;8.336;4
01/07/2019 11:00:00;7.239;4
01/07/2019 12:00:00;5.912;4
01/07/2019 13:00:00;4.536;4
01/07/2019 14:00:00;3.2;4
01/07/2019 15:00:00;2.178;4
01/07/2019 16:00:00;1.665;4
01/07/2019 17:00:00;1.857;4
01/07/2019 18:00:00;3.214;4
01/07/2019 19:00:00;5.409;4
01/07/2019 20:00:00;7.278;4
01/07/2019 21:00:00;8.449;4
01/07/2019 22:00:00;8.828;4
01/07/2019 23:00:00;7.912;4
02/07/2019 00:00:00;6.529;4
02/07/2019 01:00:00;5.095;4
02/07/2019 02:00:00;3.679;4
02/07/2019 03:00:00;2.449;4
02/07/2019 04:00:00;1.662;4
02/07/2019 05:00:00;1.472;4
02/07/2019 06:00:00;2.191;4
02/07/2019 07:00:00;4.186;4
02/07/2019 08:00:00;6.359;4
02/07/2019 09:00:00;7.865;4
02/07/2019 10:00:00;8.716;4
02/07/2019 11:00:00;8.381;4
02/07/2019 12:00:00;7.036;4
02/07/2019 13:00:00;5.558;4
02/07/2019 14:00:00;4.095;4
02/07/2019 15:00:00;2.726;4
02/07/2019 16:00:00;1.717;4
02/07/2019 17:00:00;1.3;4
02/07/2019 18:00:00;1.689;4
02/07/2019 19:00:00;3.459;4
02/07/2019 20:00:00;5.861;4
02/07/2019 21:00:00;7.695;4
02/07/2019 22:00:00;8.82;4
02/07/2019 23:00:00;8.928;4
03/07/2019 00:00:00;7.706;4
03/07/2019 01:00:00;6.17;4
