X	Graphic Profile 1
0.000	-2.307
1.000	-2.282
2.000	-2.259
3.000	-2.249
3.999	-2.256
4.999	-2.266
5.999	-2.279
6.999	-2.296
7.999	-2.317
8.999	-2.283
9.998	-2.232
10.998	-2.164
11.998	-2.090
12.998	-2.030
13.998	-1.983
14.998	-1.949
15.997	-1.913
16.997	-1.869
17.997	-1.820
18.997	-1.758
19.997	-1.663
20.997	-1.589
21.996	-1.553
22.996	-1.526
23.996	-1.509
24.996	-1.501
25.996	-1.502
26.996	-1.511
27.995	-1.476
28.995	-1.434
29.995	-1.399
30.995	-1.370
31.995	-1.347
32.995	-1.331
33.994	-1.312
34.994	-1.276
35.994	-1.242
36.994	-1.208
37.994	-1.175
38.994	-1.143
39.993	-1.112
40.993	-1.083
41.993	-1.053
42.993	-1.020
43.993	-0.976
44.993	-0.939
45.992	-0.909
46.992	-0.889
47.992	-0.870
48.992	-0.849
49.992	-0.825
50.992	-0.799
51.991	-0.784
52.991	-0.773
53.991	-0.758
54.991	-0.740
55.991	-0.719
56.991	-0.694
57.990	-0.667
58.990	-0.636
59.990	-0.618
60.990	-0.603
61.990	-0.585
62.990	-0.564
63.989	-0.540
64.989	-0.513
65.989	-0.486
66.989	-0.476
67.989	-0.474
68.989	-0.460
69.988	-0.433
70.988	-0.394
71.988	-0.342
72.988	-0.272
73.988	-0.202
74.988	-0.136
75.987	-0.097
76.987	-0.058
77.987	-0.019
78.987	0.031
79.987	0.078
80.987	0.109
81.986	0.124
82.986	0.134
83.986	0.205
84.986	0.242
85.986	0.299
86.986	0.352
87.985	0.398
88.985	0.440
89.985	0.476
90.985	0.518
91.985	0.645
92.985	0.735
93.984	0.792
94.984	0.815
95.984	0.806
96.984	0.763
97.984	0.734
98.984	0.806
99.983	0.881
100.983	0.955
101.983	1.025
102.983	1.094
103.983	1.160
104.983	1.236
105.982	1.317
106.982	1.404
107.982	1.482
108.982	1.555
109.982	1.623
110.982	1.685
111.981	1.752
112.981	1.824
113.981	1.902
114.981	1.987
115.981	2.083
116.981	2.183
117.980	2.299
118.980	2.418
119.980	2.538
120.980	2.659
121.980	2.782
122.980	2.913
123.979	3.438
124.979	4.740
125.979	6.789
126.979	9.584
127.979	13.125
128.979	17.412
129.978	23.585
130.978	32.611
131.978	39.971
132.978	47.347
133.978	54.739
134.978	62.147
135.977	69.571
136.977	71.497
137.977	72.645
138.977	73.805
139.977	74.832
140.977	75.878
141.976	76.940
142.976	78.092
143.976	79.352
144.976	80.641
145.976	81.960
146.976	83.282
147.975	84.231
148.975	85.093
149.975	85.414
150.975	85.687
151.975	85.914
152.975	86.094
153.974	86.227
154.974	86.313
155.974	86.377
156.974	86.449
157.974	86.524
158.974	86.601
159.973	86.681
160.973	86.763
161.973	86.852
162.973	86.947
163.973	87.036
164.973	87.122
165.972	87.206
166.972	87.286
167.972	87.363
168.972	87.425
169.972	87.479
170.972	87.526
171.971	87.583
172.971	87.643
173.971	87.704
174.971	87.770
175.971	87.836
176.971	87.893
177.970	87.942
178.970	87.981
179.970	87.989
180.970	87.995
181.970	88.007
182.970	88.027

