X	M	Z
	0	-20.39
	111	-20.366
	222	-19.967
0.03	333	-19.254
0.029	444	-18.862
0.028	555	-18.65
0.027	666	-18.452
0.026	777	-18.557
0.025	888	-18.892
0.024	999	-19.31
0.023	1110	-19.53
0.022	1221	-19.593
0.021	1332	-19.446
0.02	1443	-19.255
0.019	1554	-19.011
0.018	1665	-18.775
0.017	1776	-18.655
0.016	1887	-18.547
0.015	1998	-18.179
0.014	2109	-17.506
0.013	2220	-16.705
0.012	2331	-16.061
0.011	2442	-15.772
0.01	2553	-15.876
0.009	2664	-16.239
0.008	2775	-16.357
0.007	2886	-15.895
0.006	2997	-14.837
0.005	3108	-11.897
0.004	3219	-6.271
0.003	3330	-8.236
0.002	3441	-2.307
0.001	3442	-2.282
0	3443	-2.259
	3444	-2.249
	3445	-2.256
	3446	-2.266
	3447	-2.279
	3448	-2.296
	3449	-2.317
	3450	-2.283
	3451	-2.232
	3452	-2.164
	3453	-2.09
	3454	-2.03
	3455	-1.983
	3456	-1.949
	3457	-1.913
	3458	-1.869
	3459	-1.82
	3460	-1.758
	3461	-1.663
	3462	-1.589
	3463	-1.553
	3464	-1.526
	3465	-1.509
	3466	-1.501
	3467	-1.502
	3468	-1.511
	3469	-1.476
	3470	-1.434
	3471	-1.399
	3472	-1.37
	3473	-1.347
	3474	-1.331
	3475	-1.312
	3476	-1.276
	3477	-1.242
	3478	-1.208
	3479	-1.175
	3480	-1.143
	3481	-1.112
	3482	-1.083
	3483	-1.053
	3484	-1.02
	3485	-0.976
	3486	-0.939
	3487	-0.909
	3488	-0.889
	3489	-0.87
	3490	-0.849
	3491	-0.825
	3492	-0.799
	3493	-0.784
	3494	-0.773
	3495	-0.758
	3496	-0.74
	3497	-0.719
	3498	-0.694
	3499	-0.667
	3500	-0.636
	3501	-0.618
	3502	-0.603
	3503	-0.585
	3504	-0.564
	3505	-0.54
	3506	-0.513
	3507	-0.486
	3508	-0.476
	3509	-0.474
	3510	-0.46
	3511	-0.433
	3512	-0.394
	3513	-0.342
	3514	-0.272
	3515	-0.202
	3516	-0.136
	3517	-0.097
	3518	-0.058
	3519	-0.019
	3520	0.031
	3521	0.078
	3522	0.109
	3523	0.124
	3524	0.134
	3525	0.205
	3526	0.242
	3527	0.299
	3528	0.352
	3529	0.398
	3530	0.44
	3531	0.476
	3532	0.518
	3533	0.645
	3534	0.735
	3535	0.792
	3536	0.815
	3537	0.806
	3538	0.763
	3539	0.734
	3540	0.806
	3541	0.881
	3542	0.955
	3543	1.025
	3544	1.094
	3545	1.16
	3546	1.236
	3547	1.317
	3548	1.404
	3549	1.482
	3550	1.555
	3551	1.623
	3552	1.685
	3553	1.752
	3554	1.824
	3555	1.902
	3556	1.987
	3557	2.083
	3558	2.183
	3559	2.299
	3560	2.418
	3561	2.538
	3562	2.659
	3563	2.782
	3564	2.913
	3565	3.438
	3566	4.74
	3567	6.789
	3568	9.584
	3569	13.125
	3570	17.412
	3571	23.585
	3572	32.611
	3573	39.971
	3574	47.347
	3575	54.739
	3576	62.147
	3577	69.571
	3578	71.497
	3579	72.645
	3580	73.805
	3581	74.832
	3582	75.878
	3583	76.94
	3584	78.092
	3585	79.352
	3586	80.641
	3587	81.96
	3588	83.282
	3589	84.231
	3590	85.093
	3591	85.414
	3592	85.687
	3593	85.914
	3594	86.094
	3595	86.227
	3596	86.313
	3597	86.377
	3598	86.449
	3599	86.524
	3600	86.601
	3601	86.681
	3602	86.763
	3603	86.852
	3604	86.947
	3605	87.036
	3606	87.122
	3607	87.206
	3608	87.286
	3609	87.363
	3610	87.425
	3611	87.479
	3612	87.526
	3613	87.583
	3614	87.643
	3615	87.704
	3616	87.77
	3617	87.836
	3618	87.893
	3619	87.942
	3620	87.981
	3621	87.989
	3622	87.995
	3623	88.007
	3624	88.027
