M,Z
0,-13.554
1.245,-13.552
2.491,-13.549
3.736,-13.547
4.981,-13.545
6.226,-13.543
7.472,-13.541
8.717,-13.539
9.962,-13.537
11.208,-13.534
12.453,-13.532
13.698,-13.53
14.943,-13.528
16.189,-13.526
17.434,-13.524
18.679,-13.522
19.925,-13.52
21.17,-13.518
22.415,-13.516
23.66,-13.514
24.906,-13.512
26.151,-13.51
27.396,-13.508
28.642,-13.506
29.887,-13.504
31.132,-13.502
32.377,-13.5
33.623,-13.498
34.868,-13.496
36.113,-13.495
37.358,-13.493
38.604,-13.491
39.849,-13.489
41.094,-13.487
42.34,-13.485
43.585,-13.484
44.83,-13.482
46.075,-13.48
47.321,-13.476
48.566,-13.47
49.811,-13.463
51.057,-13.457
52.302,-13.45
53.547,-13.442
54.792,-13.434
56.038,-13.426
57.283,-13.419
58.528,-13.411
59.774,-13.403
61.019,-13.395
62.264,-13.387
63.509,-13.38
64.755,-13.372
66,-13.364
67.245,-13.357
68.491,-13.349
69.736,-13.342
70.981,-13.334
72.226,-13.327
73.472,-13.319
74.717,-13.312
75.962,-13.305
77.208,-13.297
78.453,-13.29
79.698,-13.283
80.943,-13.276
82.189,-13.268
83.434,-13.261
84.679,-13.254
85.925,-13.247
87.17,-13.24
88.415,-13.233
89.66,-13.226
90.906,-13.219
92.151,-13.212
93.396,-13.205
94.642,-13.199
95.887,-13.192
97.132,-13.185
98.377,-13.178
99.623,-13.172
100.868,-13.165
102.113,-13.158
103.358,-13.152
104.604,-13.145
105.849,-13.139
107.094,-13.132
108.34,-13.126
109.585,-13.119
110.83,-13.113
112.075,-13.106
113.321,-13.1
114.566,-13.094
115.811,-13.088
117.057,-13.081
118.302,-13.075
119.547,-13.069
120.792,-13.063
122.038,-13.057
123.283,-13.051
124.528,-13.045
125.774,-13.039
127.019,-13.033
128.264,-13.027
129.509,-13.021
130.755,-13.015
132,-13.009
133.245,-13.004
134.491,-12.998
135.736,-12.992
136.981,-12.986
138.226,-12.981
139.472,-12.975
140.717,-12.97
141.962,-12.964
143.208,-12.959
144.453,-12.953
145.698,-12.948
146.943,-12.942
148.189,-12.937
149.434,-12.932
150.679,-12.926
151.925,-12.921
153.17,-12.916
154.415,-12.911
155.66,-12.906
156.906,-12.9
158.151,-12.895
159.396,-12.89
160.641,-12.885
161.887,-12.88
163.132,-12.875
164.377,-12.87
165.623,-12.865
166.868,-12.861
168.113,-12.856
169.358,-12.851
170.604,-12.846
171.849,-12.842
173.094,-12.837
174.34,-12.832
175.585,-12.828
176.83,-12.823
178.075,-12.819
179.321,-12.814
180.566,-12.81
181.811,-12.805
183.057,-12.801
184.302,-12.796
185.547,-12.792
186.792,-12.788
188.038,-12.783
189.283,-12.779
190.528,-12.775
191.774,-12.771
193.019,-12.767
194.264,-12.763
195.509,-12.756
196.755,-12.745
198,-12.735
199.245,-12.724
200.491,-12.713
201.736,-12.702
202.981,-12.69
204.226,-12.679
205.472,-12.668
206.717,-12.656
207.962,-12.645
209.208,-12.633
210.453,-12.621
211.698,-12.609
212.943,-12.597
214.189,-12.585
215.434,-12.573
216.679,-12.561
217.925,-12.549
219.17,-12.536
220.415,-12.524
221.66,-12.511
222.906,-12.498
224.151,-12.486
225.396,-12.473
226.641,-12.46
227.887,-12.447
229.132,-12.434
230.377,-12.42
231.623,-12.407
232.868,-12.394
234.113,-12.38
235.358,-12.367
236.604,-12.353
237.849,-12.338
239.094,-12.323
240.34,-12.307
241.585,-12.292
242.83,-12.277
244.075,-12.262
245.321,-12.246
246.566,-12.231
247.811,-12.216
249.057,-12.2
250.302,-12.185
251.547,-12.169
252.792,-12.154
254.038,-12.138
255.283,-12.122
256.528,-12.107
257.774,-12.091
259.019,-12.075
260.264,-12.059
261.509,-12.043
262.755,-12.028
264,-12.012
265.245,-11.996
266.491,-11.98
267.736,-11.963
268.981,-11.947
270.226,-11.931
271.472,-11.915
272.717,-11.899
273.962,-11.882
275.208,-11.866
276.453,-11.85
277.698,-11.833
278.943,-11.817
280.189,-11.8
281.434,-11.784
282.679,-11.767
283.925,-11.75
285.17,-11.734
286.415,-11.717
287.66,-11.7
288.906,-11.683
290.151,-11.666
291.396,-11.649
292.641,-11.633
293.887,-11.616
295.132,-11.598
296.377,-11.581
297.623,-11.564
298.868,-11.547
300.113,-11.53
301.358,-11.513
302.604,-11.495
303.849,-11.478
305.094,-11.461
306.34,-11.443
307.585,-11.426
308.83,-11.408
310.075,-11.391
311.321,-11.373
312.566,-11.355
313.811,-11.338
315.057,-11.32
316.302,-11.302
317.547,-11.284
318.792,-11.266
320.038,-11.248
321.283,-11.23
322.528,-11.212
323.774,-11.194
325.019,-11.176
326.264,-11.158
327.509,-11.14
328.755,-11.122
330,-11.104
331.245,-11.085
332.491,-11.067
333.736,-11.048
334.981,-11.03
336.226,-11.012
337.472,-10.993
338.717,-10.98
339.962,-10.971
341.208,-10.962
342.453,-10.954
343.698,-10.945
344.943,-10.937
346.189,-10.928
347.434,-10.92
348.679,-10.912
349.924,-10.904
351.17,-10.897
352.415,-10.889
353.66,-10.881
354.906,-10.874
356.151,-10.867
357.396,-10.86
358.641,-10.853
359.887,-10.846
361.132,-10.839
362.377,-10.832
363.623,-10.826
364.868,-10.819
366.113,-10.813
367.358,-10.807
368.604,-10.801
369.849,-10.795
371.094,-10.789
372.34,-10.784
373.585,-10.778
374.83,-10.773
376.075,-10.767
377.321,-10.762
378.566,-10.757
379.811,-10.752
381.057,-10.748
382.302,-10.743
383.547,-10.738
384.792,-10.734
386.038,-10.73
387.283,-10.726
388.528,-10.722
389.774,-10.718
391.019,-10.714
392.264,-10.71
393.509,-10.707
394.755,-10.704
396,-10.7
397.245,-10.697
398.491,-10.694
399.736,-10.691
400.981,-10.689
402.226,-10.686
403.472,-10.683
404.717,-10.681
405.962,-10.679
407.208,-10.677
408.453,-10.675
409.698,-10.673
410.943,-10.671
412.189,-10.67
413.434,-10.668
414.679,-10.667
415.924,-10.665
417.17,-10.664
418.415,-10.663
419.66,-10.662
420.906,-10.662
422.151,-10.661
423.396,-10.661
424.641,-10.66
425.887,-10.66
427.132,-10.661
428.377,-10.662
429.623,-10.664
430.868,-10.665
432.113,-10.666
433.358,-10.668
434.604,-10.669
435.849,-10.67
437.094,-10.672
438.34,-10.673
439.585,-10.674
440.83,-10.676
442.075,-10.677
443.321,-10.678
444.566,-10.679
445.811,-10.681
447.057,-10.682
448.302,-10.683
449.547,-10.685
450.792,-10.686
452.038,-10.687
453.283,-10.689
454.528,-10.69
455.774,-10.691
457.019,-10.693
458.264,-10.694
459.509,-10.695
460.755,-10.697
462,-10.698
463.245,-10.699
464.491,-10.7
465.736,-10.702
466.981,-10.703
468.226,-10.704
469.472,-10.706
470.717,-10.707
471.962,-10.708
473.208,-10.71
474.453,-10.711
475.698,-10.712
476.943,-10.714
478.189,-10.715
479.434,-10.716
480.679,-10.718
481.924,-10.71
483.17,-10.7
484.415,-10.69
485.66,-10.68
486.906,-10.669
488.151,-10.659
489.396,-10.648
490.641,-10.637
491.887,-10.626
493.132,-10.615
494.377,-10.604
495.623,-10.592
496.868,-10.581
498.113,-10.569
499.358,-10.557
500.604,-10.545
501.849,-10.533
503.094,-10.521
504.34,-10.508
505.585,-10.495
506.83,-10.483
508.075,-10.47
509.321,-10.457
510.566,-10.443
511.811,-10.43
513.057,-10.417
514.302,-10.403
515.547,-10.389
516.792,-10.375
518.038,-10.361
519.283,-10.347
520.528,-10.332
521.774,-10.318
523.019,-10.303
524.264,-10.288
525.509,-10.273
526.755,-10.258
528,-10.243
529.245,-10.228
530.491,-10.212
531.736,-10.196
532.981,-10.18
534.226,-10.164
535.472,-10.148
536.717,-10.132
537.962,-10.115
539.207,-10.099
540.453,-10.082
541.698,-10.065
542.943,-10.048
544.189,-10.031
545.434,-10.014
546.679,-9.996
547.924,-9.979
549.17,-9.961
550.415,-9.943
551.66,-9.925
552.906,-9.907
554.151,-9.888
555.396,-9.87
556.641,-9.851
557.887,-9.832
559.132,-9.813
560.377,-9.794
