X	Graphic Profile 1
0.000	17.554
1.245	17.552
2.491	17.549
3.736	17.547
4.981	17.545
6.226	17.543
7.472	17.541
8.717	17.539
9.962	17.537
11.208	17.534
12.453	17.532
13.698	17.530
14.943	17.528
16.189	17.526
17.434	17.524
18.679	17.522
19.925	17.520
21.170	17.518
22.415	17.516
23.660	17.514
24.906	17.512
26.151	17.510
27.396	17.508
28.642	17.506
29.887	17.504
31.132	17.502
32.377	17.500
33.623	17.498
34.868	17.496
36.113	17.495
37.358	17.493
38.604	17.491
39.849	17.489
41.094	17.487
42.340	17.485
43.585	17.484
44.830	17.482
46.075	17.480
47.321	17.476
48.566	17.470
49.811	17.463
51.057	17.457
52.302	17.450
53.547	17.442
54.792	17.434
56.038	17.426
57.283	17.419
58.528	17.411
59.774	17.403
61.019	17.395
62.264	17.387
63.509	17.380
64.755	17.372
66.000	17.364
67.245	17.357
68.491	17.349
69.736	17.342
70.981	17.334
72.226	17.327
73.472	17.319
74.717	17.312
75.962	17.305
77.208	17.297
78.453	17.290
79.698	17.283
80.943	17.276
82.189	17.268
83.434	17.261
84.679	17.254
85.925	17.247
87.170	17.240
88.415	17.233
89.660	17.226
90.906	17.219
92.151	17.212
93.396	17.205
94.642	17.199
95.887	17.192
97.132	17.185
98.377	17.178
99.623	17.172
100.868	17.165
102.113	17.158
103.358	17.152
104.604	17.145
105.849	17.139
107.094	17.132
108.340	17.126
109.585	17.119
110.830	17.113
112.075	17.106
113.321	17.100
114.566	17.094
115.811	17.088
117.057	17.081
118.302	17.075
119.547	17.069
120.792	17.063
122.038	17.057
123.283	17.051
124.528	17.045
125.774	17.039
127.019	17.033
128.264	17.027
129.509	17.021
130.755	17.015
132.000	17.009
133.245	17.004
134.491	16.998
135.736	16.992
136.981	16.986
138.226	16.981
139.472	16.975
140.717	16.970
141.962	16.964
143.208	16.959
144.453	16.953
145.698	16.948
146.943	16.942
148.189	16.937
149.434	16.932
150.679	16.926
151.925	16.921
153.170	16.916
154.415	16.911
155.660	16.906
156.906	16.900
158.151	16.895
159.396	16.890
160.641	16.885
161.887	16.880
163.132	16.875
164.377	16.870
165.623	16.865
166.868	16.861
168.113	16.856
169.358	16.851
170.604	16.846
171.849	16.842
173.094	16.837
174.340	16.832
175.585	16.828
176.830	16.823
178.075	16.819
179.321	16.814
180.566	16.810
181.811	16.805
183.057	16.801
184.302	16.796
185.547	16.792
186.792	16.788
188.038	16.783
189.283	16.779
190.528	16.775
191.774	16.771
193.019	16.767
194.264	16.763
195.509	16.756
196.755	16.745
198.000	16.735
199.245	16.724
200.491	16.713
201.736	16.702
202.981	16.690
204.226	16.679
205.472	16.668
206.717	16.656
207.962	16.645
209.208	16.633
210.453	16.621
211.698	16.609
212.943	16.597
214.189	16.585
215.434	16.573
216.679	16.561
217.925	16.549
219.170	16.536
220.415	16.524
221.660	16.511
222.906	16.498
224.151	16.486
225.396	16.473
226.641	16.460
227.887	16.447
229.132	16.434
230.377	16.420
231.623	16.407
232.868	16.394
234.113	16.380
235.358	16.367
236.604	16.353
237.849	16.338
239.094	16.323
240.340	16.307
241.585	16.292
242.830	16.277
244.075	16.262
245.321	16.246
246.566	16.231
247.811	16.216
249.057	16.200
250.302	16.185
251.547	16.169
252.792	16.154
254.038	16.138
255.283	16.122
256.528	16.107
257.774	16.091
259.019	16.075
260.264	16.059
261.509	16.043
262.755	16.028
264.000	16.012
265.245	15.996
266.491	15.980
267.736	15.963
268.981	15.947
270.226	15.931
271.472	15.915
272.717	15.899
273.962	15.882
275.208	15.866
276.453	15.850
277.698	15.833
278.943	15.817
280.189	15.800
281.434	15.784
282.679	15.767
283.925	15.750
285.170	15.734
286.415	15.717
287.660	15.700
288.906	15.683
290.151	15.666
291.396	15.649
292.641	15.633
293.887	15.616
295.132	15.598
296.377	15.581
297.623	15.564
298.868	15.547
300.113	15.530
301.358	15.513
302.604	15.495
303.849	15.478
305.094	15.461
306.340	15.443
307.585	15.426
308.830	15.408
310.075	15.391
311.321	15.373
312.566	15.355
313.811	15.338
315.057	15.320
316.302	15.302
317.547	15.284
318.792	15.266
320.038	15.248
321.283	15.230
322.528	15.212
323.774	15.194
325.019	15.176
326.264	15.158
327.509	15.140
328.755	15.122
330.000	15.104
331.245	15.085
332.491	15.067
333.736	15.048
334.981	15.030
336.226	15.012
337.472	14.993
338.717	14.980
339.962	14.971
341.208	14.962
342.453	14.954
343.698	14.945
344.943	14.937
346.189	14.928
347.434	14.920
348.679	14.912
349.924	14.904
351.170	14.897
352.415	14.889
353.660	14.881
354.906	14.874
356.151	14.867
357.396	14.860
358.641	14.853
359.887	14.846
361.132	14.839
362.377	14.832
363.623	14.826
364.868	14.819
366.113	14.813
367.358	14.807
368.604	14.801
369.849	14.795
371.094	14.789
372.340	14.784
373.585	14.778
374.830	14.773
376.075	14.767
377.321	14.762
378.566	14.757
379.811	14.752
381.057	14.748
382.302	14.743
383.547	14.738
384.792	14.734
386.038	14.730
387.283	14.726
388.528	14.722
389.774	14.718
391.019	14.714
392.264	14.710
393.509	14.707
394.755	14.704
396.000	14.700
397.245	14.697
398.491	14.694
399.736	14.691
400.981	14.689
402.226	14.686
403.472	14.683
404.717	14.681
405.962	14.679
407.208	14.677
408.453	14.675
409.698	14.673
410.943	14.671
412.189	14.670
413.434	14.668
414.679	14.667
415.924	14.665
417.170	14.664
418.415	14.663
419.660	14.662
420.906	14.662
422.151	14.661
423.396	14.661
424.641	14.660
425.887	14.660
427.132	14.661
428.377	14.662
429.623	14.664
430.868	14.665
432.113	14.666
433.358	14.668
434.604	14.669
435.849	14.670
437.094	14.672
438.340	14.673
439.585	14.674
440.830	14.676
442.075	14.677
443.321	14.678
444.566	14.679
445.811	14.681
447.057	14.682
448.302	14.683
449.547	14.685
450.792	14.686
452.038	14.687
453.283	14.689
454.528	14.690
455.774	14.691
457.019	14.693
458.264	14.694
459.509	14.695
460.755	14.697
462.000	14.698
463.245	14.699
464.491	14.700
465.736	14.702
466.981	14.703
468.226	14.704
469.472	14.706
470.717	14.707
471.962	14.708
473.208	14.710
474.453	14.711
475.698	14.712
476.943	14.714
478.189	14.715
479.434	14.716
480.679	14.718
481.924	14.710
483.170	14.700
484.415	14.690
485.660	14.680
486.906	14.669
488.151	14.659
489.396	14.648
490.641	14.637
491.887	14.626
493.132	14.615
494.377	14.604
495.623	14.592
496.868	14.581
498.113	14.569
499.358	14.557
500.604	14.545
501.849	14.533
503.094	14.521
504.340	14.508
505.585	14.495
506.830	14.483
508.075	14.470
509.321	14.457
510.566	14.443
511.811	14.430
513.057	14.417
514.302	14.403
515.547	14.389
516.792	14.375
518.038	14.361
519.283	14.347
520.528	14.332
521.774	14.318
523.019	14.303
524.264	14.288
525.509	14.273
526.755	14.258
528.000	14.243
529.245	14.228
530.491	14.212
531.736	14.196
532.981	14.180
534.226	14.164
535.472	14.148
536.717	14.132
537.962	14.115
539.207	14.099
540.453	14.082
541.698	14.065
542.943	14.048
544.189	14.031
545.434	14.014
546.679	13.996
547.924	13.979
549.170	13.961
550.415	13.943
551.660	13.925
552.906	13.907
554.151	13.888
555.396	13.870
556.641	13.851
557.887	13.832
559.132	13.813
560.377	13.794
561.623	13.775
562.868	13.755
564.113	13.736
565.358	13.716
566.604	13.696
567.849	13.676
569.094	13.656
570.340	13.636
571.585	13.615
572.830	13.595
574.075	13.574
575.321	13.553
576.566	13.532
577.811	13.511
579.057	13.490
580.302	13.468
581.547	13.447
582.792	13.425
584.038	13.403
585.283	13.381
586.528	13.359
587.774	13.336
589.019	13.314
590.264	13.291
591.509	13.268
592.755	13.245
594.000	13.222
595.245	13.199
596.491	13.176
597.736	13.152
598.981	13.128
600.226	13.105
601.472	13.081
602.717	13.056
603.962	13.032
605.207	13.008
606.453	12.983
607.698	12.958
608.943	12.934
610.189	12.909
611.434	12.883
612.679	12.858
613.924	12.833
615.170	12.807
616.415	12.785
617.660	12.766
618.906	12.748
620.151	12.731
621.396	12.713
622.641	12.695
623.887	12.678
625.132	12.674
626.377	12.670
627.623	12.666
628.868	12.661
630.113	12.657
631.358	12.653
632.604	12.648
633.849	12.643
635.094	12.639
636.340	12.634
637.585	12.629
638.830	12.624
640.075	12.619
641.321	12.614
642.566	12.608
643.811	12.603
645.057	12.597
646.302	12.592
647.547	12.586
648.792	12.580
650.038	12.574
651.283	12.568
652.528	12.562
653.774	12.556
655.019	12.550
656.264	12.544
657.509	12.537
658.755	12.531
660.000	12.524
661.245	12.517
662.491	12.510
663.736	12.503
664.981	12.496
666.226	12.489
667.472	12.482
668.717	12.475
669.962	12.467
671.207	12.460
672.453	12.452
673.698	12.445
674.943	12.437
676.189	12.429
677.434	12.421
678.679	12.413
679.924	12.405
681.170	12.396
682.415	12.388
683.660	12.380
684.906	12.371
686.151	12.362
687.396	12.354
688.641	12.345
689.887	12.336
691.132	12.327
692.377	12.318
693.623	12.309
694.868	12.299
696.113	12.290
697.358	12.280
698.604	12.271
699.849	12.261
701.094	12.251
702.340	12.242
703.585	12.232
704.830	12.222
706.075	12.211
707.321	12.201
708.566	12.191
709.811	12.180
711.057	12.170
712.302	12.159
713.547	12.148
714.792	12.138
716.038	12.127
717.283	12.116
718.528	12.105
719.774	12.093
721.019	12.082
722.264	12.071
723.509	12.059
724.755	12.048
726.000	12.036
727.245	12.024
728.490	12.012
729.736	12.000
730.981	11.988
732.226	11.976
733.472	11.964
734.717	11.952
735.962	11.939
737.207	11.927
738.453	11.914
739.698	11.901
740.943	11.888
742.189	11.876
743.434	11.863
744.679	11.849
745.924	11.836
747.170	11.823
748.415	11.810
749.660	11.796
750.906	11.783
752.151	11.769
753.396	11.755
754.641	11.741
755.887	11.727
757.132	11.713
758.377	11.699
759.623	11.685
760.868	11.671
762.113	11.656
763.358	11.642
764.604	11.627
765.849	11.612
767.094	11.596
768.340	11.574
769.585	11.551
770.830	11.529
772.075	11.506
773.321	11.484
774.566	11.461
775.811	11.438
777.057	11.416
778.302	11.393
779.547	11.370
780.792	11.347
782.038	11.324
783.283	11.301
784.528	11.277
785.774	11.254
787.019	11.231
788.264	11.207
789.509	11.184
790.755	11.160
792.000	11.136
793.245	11.113
794.490	11.089
795.736	11.065
796.981	11.041
798.226	11.017
799.472	10.993
800.717	10.969
801.962	10.944
803.207	10.920
804.453	10.896
805.698	10.871
806.943	10.855
808.189	10.838
809.434	10.820
810.679	10.803
811.924	10.786
813.170	10.768
814.415	10.751
815.660	10.733
816.906	10.715
818.151	10.697
819.396	10.679
820.641	10.661
821.887	10.643
823.132	10.625
824.377	10.606
825.623	10.588
826.868	10.569
828.113	10.551
829.358	10.532
830.604	10.513
831.849	10.494
833.094	10.475
834.340	10.455
835.585	10.436
836.830	10.417
838.075	10.397
839.321	10.378
840.566	10.358
841.811	10.338
843.057	10.318
844.302	10.298
845.547	10.278
846.792	10.258
848.038	10.237
849.283	10.217
850.528	10.196
851.774	10.176
853.019	10.155
854.264	10.134
855.509	10.113
856.755	10.092
858.000	10.071
859.245	10.049
860.490	10.028
861.736	10.007
862.981	9.985
864.226	9.963
865.472	9.942
866.717	9.920
867.962	9.898
869.207	9.875
870.453	9.853
871.698	9.831
872.943	9.809
874.189	9.786
875.434	9.763
876.679	9.741
877.924	9.718
879.170	9.695
880.415	9.672

