X	Graphic Profile 1
0.000	-2.362
0.999	-2.323
1.998	-2.284
2.997	-2.261
3.996	-2.290
4.995	-2.337
5.994	-2.333
6.993	-2.291
7.992	-2.251
8.991	-2.269
9.990	-2.288
10.989	-2.306
11.988	-2.325
12.987	-2.339
13.986	-2.320
14.985	-2.227
15.984	-2.266
16.983	-2.244
17.982	-2.242
18.981	-2.236
19.980	-2.238
20.979	-2.238
21.978	-2.249
22.977	-2.201
23.976	-1.740
24.975	-1.629
25.974	-1.880
26.973	-2.111
27.972	-2.126
28.971	-2.160
29.970	-2.157
30.969	-2.034
31.968	-2.000
32.967	-2.170
33.966	-2.197
34.965	-2.147
35.964	-2.067
36.963	-1.799
37.962	-2.157
38.961	-2.254
39.960	-2.272
40.959	-2.265
41.958	-2.180
42.957	-2.148
43.956	-2.229
44.955	-2.150
45.954	-2.026
46.953	-2.035
47.952	-2.229
48.951	-2.126
49.950	-1.981
50.949	-1.711
51.948	-1.864
52.947	-1.677
53.946	-1.461
54.945	-1.481
55.944	-0.867
56.943	-0.647
57.942	-1.002
58.941	-1.926
59.940	-1.503
60.939	-1.714
61.938	-1.335
62.937	-1.399
63.936	-1.875
64.935	-1.714
65.934	-1.562
66.933	-1.698
67.932	-1.731
68.931	-1.705
69.930	-1.707
70.929	-1.605
71.928	-1.519
72.927	-1.467
73.926	-1.393
74.925	-1.362
75.924	-0.988
76.923	-1.116
77.922	-1.207
78.921	-1.168
79.920	-1.117
80.919	-1.136
81.918	-1.128
82.917	-1.148
83.916	-0.986
84.915	-1.087
85.914	-1.123
86.913	-1.098
87.912	-1.071
88.911	-1.005
89.910	-1.043
90.909	-0.997
91.908	-0.984
92.907	-0.621
93.906	-0.451
94.905	-0.402
95.904	-0.914
96.903	-0.919
97.902	-0.913
98.901	-0.833
99.900	-0.794
100.899	-0.783
101.898	-0.711
102.897	-0.708
103.896	-0.708
104.895	-0.693
105.894	-0.694
106.893	-0.683
107.892	-0.610
108.891	-0.400
109.890	-0.345
110.889	-0.293
111.888	-0.399
112.887	-0.228
113.886	-0.102
114.885	-0.050
115.884	0.019
116.883	0.029
117.882	0.029
118.881	0.030
119.880	0.107
120.879	0.152
121.878	0.187
122.877	0.217
123.876	0.252
124.875	0.221
125.874	0.230
126.873	0.297
127.872	0.347
128.871	0.392
129.870	0.355
130.869	0.367
131.868	0.382
132.867	0.395
133.866	0.393
134.865	0.384
135.864	0.408
136.863	0.423
137.862	0.496
138.861	0.552
139.860	0.530
140.859	0.524
141.858	0.589
142.857	0.654
143.856	0.611
144.855	0.623
145.854	0.648
146.853	0.680
147.852	0.678
148.851	0.675
149.850	0.692
150.849	0.718
151.848	0.722
152.847	0.746
153.846	0.766
154.845	0.799
155.844	0.822
156.843	0.835
157.842	0.873
158.841	0.895
159.840	0.904
160.839	0.908
161.838	0.900
162.837	0.917
163.836	0.953
164.835	1.028
165.834	1.075
166.833	1.043
167.832	1.067
168.831	1.079
169.830	1.086
170.829	1.175
171.828	1.217
172.827	1.295
173.826	1.375
174.825	1.417
175.824	1.605
176.823	1.794
177.822	1.962
178.821	2.099
179.820	2.154
180.819	2.222
181.818	2.337
182.817	2.446
183.816	2.523
184.815	2.643
185.814	2.754
186.813	2.858
187.812	2.958
188.811	3.110
189.810	3.224
190.809	3.419
191.808	3.629
192.807	3.830
193.806	3.972
194.805	4.226
195.804	4.370
196.803	4.440
197.802	4.507
198.801	4.659
199.800	4.799
200.799	4.938
201.798	5.144
202.797	5.378
203.796	5.374
204.795	5.344
205.794	5.392
206.793	5.522
207.792	5.695
208.791	6.034
209.790	6.316
210.789	6.433
211.788	6.431
212.787	6.388
213.786	6.440
214.785	6.525
215.784	6.645
216.783	6.815
217.782	7.277
218.781	7.836
219.780	7.852
220.779	8.053
221.778	8.420
222.777	8.818
223.776	9.397
224.775	9.900
225.774	10.515
226.773	11.415
227.772	13.448
228.771	15.489
229.770	17.272
230.769	20.038
231.768	21.864
232.767	23.700
233.766	24.861
234.765	26.331
235.764	27.868
236.763	29.248
237.762	30.344
238.761	31.089
239.760	31.940
240.759	32.768
241.758	33.351
242.757	34.168
243.756	35.022
244.755	35.691
245.754	36.551
246.753	37.378
247.752	37.958
248.751	38.655
249.750	39.636
250.749	40.762
251.748	41.670
252.747	44.255
253.746	57.085
254.745	60.914
255.744	66.168
256.743	73.099
257.742	78.479
258.741	80.166
259.740	81.165
260.739	82.884
261.738	85.185
262.737	86.632
263.736	88.307
264.735	90.154
265.734	94.215
266.733	100.317
267.732	99.644
268.731	104.374
269.730	104.609
270.729	104.522
271.728	105.311
272.727	106.780
273.726	108.284
274.725	109.537
275.724	110.920
276.723	112.566
277.722	113.919
278.721	114.892
279.720	115.969
280.719	117.103
281.718	118.170
282.717	118.578
283.716	118.810
284.715	118.934
285.714	118.929
286.713	118.877
287.712	118.734
288.711	118.767
289.710	118.768
290.709	118.606
291.708	118.703
292.707	118.689
293.706	118.573
294.705	118.488
295.704	118.653
296.703	118.827
297.702	118.801
298.701	118.894
299.700	118.957
300.699	118.966
301.698	118.855
302.697	118.968
303.696	119.059
304.695	119.051
305.694	119.016
306.693	118.928
307.692	118.897
308.691	118.687
309.690	118.997
310.689	118.956
311.688	119.037
312.687	119.112
313.686	119.166
314.685	119.148
315.684	119.138
316.683	119.129
317.682	119.059
318.681	119.311
319.680	119.387
320.679	119.376
321.678	119.417
322.677	119.321
323.676	119.393
324.675	119.495
325.674	119.509
326.673	119.434
327.672	119.349
328.671	119.439
329.670	119.433
330.669	119.573
331.668	119.597
332.667	119.543
333.666	119.540
334.665	119.563
335.664	119.516
336.663	119.248
337.662	119.621
338.661	119.708
339.660	119.658
340.659	119.645
341.658	119.722
342.657	119.765
343.656	119.745
344.655	119.732
345.654	119.585
346.653	119.620
347.652	119.685
348.651	119.795
349.650	119.775
350.649	119.729
351.648	119.724
352.647	119.655
353.646	119.793
354.645	119.833
355.644	119.738
356.643	119.473
357.642	119.535
358.641	119.787
359.640	119.595
360.639	119.705
361.638	119.852
362.637	119.690
363.636	119.508
364.635	119.487
365.634	119.622
366.633	119.930
367.632	119.824
368.631	120.023
369.630	120.000
370.629	120.019
371.628	120.031
372.627	120.069
373.626	120.069
374.625	120.158
375.624	120.134
376.623	120.117
377.622	120.124
378.621	120.177
379.620	120.262
380.619	120.213
381.618	120.169
382.617	120.108
383.616	120.152
384.615	120.147
385.614	120.226
386.613	120.329
387.612	120.372
388.611	120.355
389.610	120.112
390.609	120.063
391.608	120.220
392.607	120.311
393.606	120.407
394.605	120.379
395.604	120.216
396.603	120.450
397.602	120.090
398.601	120.335
399.600	120.418
400.599	120.507
401.598	120.537
402.597	120.548
403.596	120.571
404.595	120.581
405.594	120.563
406.593	120.565
407.592	120.610
408.591	120.594
409.590	120.393
410.589	120.203
411.588	120.133
412.587	120.128
413.586	120.174
414.585	120.351
415.584	120.565
416.583	120.716
417.582	120.652
418.581	120.575
419.580	120.478
420.579	120.567
421.578	120.674
422.577	120.769
423.576	120.803
424.575	120.592
425.574	120.662
426.573	120.570
427.572	120.292
428.571	120.484
429.570	120.564
430.569	120.592
431.568	120.608
432.567	120.605
433.566	120.618
434.565	120.723
435.564	120.755
436.563	120.723
437.562	120.624
438.561	120.857
439.560	120.822
440.559	120.661
441.558	120.768
442.557	120.847
443.556	120.874
444.555	120.952
445.554	120.953
446.553	120.964
447.552	120.920
448.551	120.981
449.550	120.982
450.549	121.057
451.548	121.064
452.547	121.065
453.546	121.085

