M,Z
0,-16.057
1,-16.055
2,-16.054
3,-16.052
4,-16.051
5,-16.049
6,-16.047
7,-16.046
8,-16.044
9,-16.042
10,-16.04
11,-16.038
12,-16.036
13,-16.034
14,-16.031
15,-16.029
16,-16.027
16.999,-16.024
17.999,-16.022
18.999,-16.019
19.999,-16.016
20.999,-16.013
21.999,-16.011
22.999,-16.007
23.999,-16
24.999,-15.994
25.999,-15.987
26.999,-15.981
27.999,-15.974
28.999,-15.968
29.999,-15.961
30.999,-15.955
31.999,-15.948
32.999,-15.942
33.999,-15.935
34.999,-15.928
35.999,-15.922
36.999,-15.915
37.999,-15.908
38.999,-15.902
39.999,-15.895
40.999,-15.888
41.999,-15.882
42.999,-15.875
43.999,-15.868
44.999,-15.861
45.999,-15.855
46.999,-15.848
47.999,-15.841
48.999,-15.834
49.999,-15.827
50.998,-15.82
51.998,-15.814
52.998,-15.807
53.998,-15.8
54.998,-15.793
55.998,-15.786
56.998,-15.783
57.998,-15.781
58.998,-15.778
59.998,-15.775
60.998,-15.773
61.998,-15.77
62.998,-15.768
63.998,-15.766
64.998,-15.763
65.998,-15.761
66.998,-15.759
67.998,-15.756
68.998,-15.754
69.998,-15.752
70.998,-15.75
71.998,-15.748
72.998,-15.745
73.998,-15.743
74.998,-15.741
75.998,-15.739
76.998,-15.737
77.998,-15.735
78.998,-15.734
79.998,-15.732
80.998,-15.73
81.998,-15.728
82.998,-15.727
83.998,-15.725
84.997,-15.723
85.997,-15.722
86.997,-15.72
87.997,-15.718
88.997,-15.717
89.997,-15.716
90.997,-15.714
91.997,-15.713
92.997,-15.711
93.997,-15.71
94.997,-15.709
95.997,-15.707
96.997,-15.706
97.997,-15.705
98.997,-15.704
99.997,-15.703
100.997,-15.702
101.997,-15.701
102.997,-15.7
103.997,-15.699
104.997,-15.698
105.997,-15.697
106.997,-15.696
107.997,-15.695
108.997,-15.694
109.997,-15.694
110.997,-15.693
111.997,-15.692
112.997,-15.692
113.997,-15.691
114.997,-15.69
115.997,-15.69
116.997,-15.689
117.997,-15.689
118.996,-15.689
119.996,-15.688
120.996,-15.688
121.996,-15.687
122.996,-15.687
123.996,-15.687
124.996,-15.687
125.996,-15.687
126.996,-15.686
127.996,-15.686
128.996,-15.686
129.996,-15.686
130.996,-15.686
131.996,-15.686
132.996,-15.686
133.996,-15.687
134.996,-15.687
135.996,-15.687
136.996,-15.687
137.996,-15.687
138.996,-15.688
139.996,-15.688
140.996,-15.688
141.996,-15.688
142.996,-15.688
143.996,-15.688
144.996,-15.688
145.996,-15.687
146.996,-15.687
147.996,-15.687
148.996,-15.687
149.996,-15.686
150.996,-15.686
151.996,-15.685
152.995,-15.685
153.995,-15.685
154.995,-15.684
155.995,-15.684
156.995,-15.683
157.995,-15.683
158.995,-15.682
159.995,-15.682
160.995,-15.681
161.995,-15.681
162.995,-15.68
163.995,-15.679
164.995,-15.679
165.995,-15.678
166.995,-15.678
167.995,-15.677
168.995,-15.676
169.995,-15.676
170.995,-15.675
171.995,-15.674
172.995,-15.673
173.995,-15.673
174.995,-15.672
175.995,-15.671
176.995,-15.67
177.995,-15.669
178.995,-15.669
179.995,-15.668
180.995,-15.667
181.995,-15.666
182.995,-15.665
183.995,-15.664
184.995,-15.663
185.995,-15.662
186.994,-15.661
187.994,-15.66
188.994,-15.659
189.994,-15.658
190.994,-15.657
191.994,-15.656
192.994,-15.655
193.994,-15.654
194.994,-15.652
195.994,-15.651
196.994,-15.65
197.994,-15.649
198.994,-15.648
199.994,-15.647
200.994,-15.643
201.994,-15.638
202.994,-15.634
203.994,-15.63
204.994,-15.625
205.994,-15.621
206.994,-15.616
207.994,-15.612
208.994,-15.608
209.994,-15.603
210.994,-15.599
211.994,-15.594
212.994,-15.59
213.994,-15.585
214.994,-15.581
215.994,-15.577
216.994,-15.572
217.994,-15.568
218.994,-15.563
219.994,-15.559
220.993,-15.554
221.993,-15.55
222.993,-15.545
223.993,-15.541
224.993,-15.536
225.993,-15.532
226.993,-15.527
227.993,-15.523
228.993,-15.518
229.993,-15.514
230.993,-15.509
231.993,-15.505
232.993,-15.5
233.993,-15.495
234.993,-15.491
235.993,-15.486
236.993,-15.482
237.993,-15.477
238.993,-15.473
239.993,-15.468
240.993,-15.463
241.993,-15.459
242.993,-15.454
243.993,-15.45
244.993,-15.445
245.993,-15.44
246.993,-15.436
247.993,-15.431
248.993,-15.426
249.993,-15.422
250.993,-15.417
251.993,-15.412
252.993,-15.408
253.992,-15.403
254.992,-15.398
255.992,-15.394
256.992,-15.389
257.992,-15.384
258.992,-15.38
259.992,-15.375
260.992,-15.371
261.992,-15.367
262.992,-15.363
263.992,-15.36
264.992,-15.356
265.992,-15.352
266.992,-15.349
267.992,-15.345
268.992,-15.341
269.992,-15.338
270.992,-15.334
271.992,-15.331
272.992,-15.327
273.992,-15.324
274.992,-15.32
275.992,-15.317
276.992,-15.313
277.992,-15.31
278.992,-15.306
279.992,-15.303
280.992,-15.299
281.992,-15.296
282.992,-15.293
283.992,-15.29
284.992,-15.286
285.992,-15.283
286.992,-15.28
287.991,-15.277
288.991,-15.274
289.991,-15.27
290.991,-15.267
291.991,-15.264
292.991,-15.261
293.991,-15.258
294.991,-15.255
295.991,-15.252
296.991,-15.249
297.991,-15.246
298.991,-15.243
299.991,-15.24
300.991,-15.237
301.991,-15.234
302.991,-15.232
303.991,-15.229
304.991,-15.226
305.991,-15.223
306.991,-15.22
307.991,-15.218
308.991,-15.215
309.991,-15.212
310.991,-15.21
311.991,-15.207
312.991,-15.204
313.991,-15.202
314.991,-15.199
315.991,-15.197
316.991,-15.194
317.991,-15.192
318.991,-15.189
319.991,-15.187
320.991,-15.184
321.99,-15.182
322.99,-15.18
323.99,-15.177
324.99,-15.175
325.99,-15.173
326.99,-15.17
327.99,-15.168
328.99,-15.166
329.99,-15.164
330.99,-15.161
331.99,-15.159
332.99,-15.157
333.99,-15.155
334.99,-15.153
335.99,-15.151
336.99,-15.149
337.99,-15.147
338.99,-15.145
339.99,-15.143
340.99,-15.141
341.99,-15.139
342.99,-15.137
343.99,-15.135
344.99,-15.133
345.99,-15.13
346.99,-15.128
347.99,-15.125
348.99,-15.122
349.99,-15.12
350.99,-15.117
351.99,-15.114
352.99,-15.111
353.99,-15.108
354.99,-15.105
355.989,-15.102
356.989,-15.099
357.989,-15.095
358.989,-15.092
359.989,-15.088
360.989,-15.085
361.989,-15.081
362.989,-15.078
363.989,-15.074
364.989,-15.07
365.989,-15.067
366.989,-15.063
367.989,-15.059
368.989,-15.055
369.989,-15.051
370.989,-15.047
371.989,-15.043
372.989,-15.038
373.989,-15.034
374.989,-15.03
375.989,-15.025
376.989,-15.021
377.989,-15.016
378.989,-15.012
379.989,-15.01
380.989,-15.009
381.989,-15.007
382.989,-15.005
383.989,-15.004
384.989,-15.002
385.989,-15.001
386.989,-14.999
387.989,-14.998
388.989,-14.997
389.988,-14.996
390.988,-14.994
391.988,-14.993
392.988,-14.992
393.988,-14.991
394.988,-14.99
395.988,-14.989
396.988,-14.988
397.988,-14.988
398.988,-14.987
399.988,-14.986
400.988,-14.985
401.988,-14.985
402.988,-14.984
403.988,-14.984
404.988,-14.983
405.988,-14.983
406.988,-14.983
407.988,-14.982
408.988,-14.982
409.988,-14.982
410.988,-14.982
411.988,-14.982
412.988,-14.982
413.988,-14.982
414.988,-14.982
415.988,-14.982
416.988,-14.982
417.988,-14.983
418.988,-14.983
419.988,-14.983
420.988,-14.984
421.988,-14.984
422.988,-14.985
423.987,-14.985
424.987,-14.986
425.987,-14.986
426.987,-14.987
427.987,-14.988
428.987,-14.989
429.987,-14.99
430.987,-14.99
431.987,-14.991
432.987,-14.992
433.987,-14.994
434.987,-14.995
435.987,-14.996
436.987,-14.997
437.987,-14.998
438.987,-15
439.987,-15.001
440.987,-15.003
441.987,-15.004
442.987,-15.006
443.987,-15.007
444.987,-15.009
445.987,-15.011
446.987,-15.012
447.987,-15.014
448.987,-15.016
449.987,-15.018
450.987,-15.02
451.987,-15.022
452.987,-15.024
453.987,-15.026
454.987,-15.028
455.987,-15.031
456.986,-15.033
457.986,-15.035
458.986,-15.038
459.986,-15.04
460.986,-15.043
461.986,-15.045
462.986,-15.048
463.986,-15.051
464.986,-15.053
465.986,-15.056
466.986,-15.059
467.986,-15.062
468.986,-15.065
469.986,-15.068
470.986,-15.071
471.986,-15.074
472.986,-15.077
473.986,-15.08
474.986,-15.083
475.986,-15.087
476.986,-15.09
477.986,-15.093
478.986,-15.097
479.986,-15.1
480.986,-15.104
481.986,-15.107
482.986,-15.111
483.986,-15.115
484.986,-15.119
485.986,-15.122
486.986,-15.126
487.986,-15.13
488.986,-15.133
489.986,-15.134
490.985,-15.134
491.985,-15.135
492.985,-15.136
493.985,-15.137
494.985,-15.137
495.985,-15.138
496.985,-15.139
497.985,-15.137
498.985,-15.134
499.985,-15.13
500.985,-15.127
501.985,-15.123
502.985,-15.12
503.985,-15.116
504.985,-15.113
505.985,-15.109
506.985,-15.106
507.985,-15.102
508.985,-15.099
509.985,-15.095
510.985,-15.092
511.985,-15.088
512.985,-15.085
513.985,-15.081
514.985,-15.078
515.985,-15.075
516.985,-15.071
517.985,-15.068
518.985,-15.064
519.985,-15.061
520.985,-15.057
521.985,-15.054
522.985,-15.05
523.985,-15.047
524.984,-15.043
525.984,-15.04
526.984,-15.036
527.984,-15.033
528.984,-15.03
529.984,-15.026
530.984,-15.023
531.984,-15.019
532.984,-15.016
533.984,-15.012
534.984,-15.009
535.984,-15.005
536.984,-15.002
537.984,-14.998
538.984,-14.995
539.984,-14.991
540.984,-14.988
541.984,-14.984
542.984,-14.981
543.984,-14.977
544.984,-14.974
545.984,-14.971
546.984,-14.967
547.984,-14.964
548.984,-14.96
549.984,-14.957
550.984,-14.953
551.984,-14.95
552.984,-14.946
553.984,-14.943
554.984,-14.939
555.984,-14.936
556.984,-14.932
557.984,-14.929
558.983,-14.925
559.983,-14.922
560.983,-14.919
561.983,-14.915
562.983,-14.912
563.983,-14.908
564.983,-14.905
565.983,-14.901
566.983,-14.898
567.983,-14.894
568.983,-14.891
569.983,-14.887
570.983,-14.884
571.983,-14.88
572.983,-14.877
573.983,-14.873
574.983,-14.87
575.983,-14.866
576.983,-14.863
577.983,-14.86
578.983,-14.856
579.983,-14.853
580.983,-14.849
581.983,-14.846
582.983,-14.842
583.983,-14.839
584.983,-14.835
585.983,-14.832
586.983,-14.828
587.983,-14.825
588.983,-14.821
589.983,-14.818
590.983,-14.814
591.983,-14.811
592.982,-14.808
593.982,-14.804
594.982,-14.801
595.982,-14.797
596.982,-14.794
597.982,-14.79
598.982,-14.787
599.982,-14.783
600.982,-14.78
601.982,-14.776
602.982,-14.773
603.982,-14.769
604.982,-14.766
605.982,-14.762
606.982,-14.759
607.982,-14.756
608.982,-14.752
609.982,-14.749
610.982,-14.745
611.982,-14.742
612.982,-14.738
613.982,-14.735
614.982,-14.731
615.982,-14.728
616.982,-14.724
617.982,-14.721
618.982,-14.718
619.982,-14.715
620.982,-14.712
621.982,-14.709
622.982,-14.706
623.982,-14.703
624.982,-14.7
625.982,-14.698
626.981,-14.695
627.981,-14.693
628.981,-14.69
629.981,-14.688
630.981,-14.686
631.981,-14.684
632.981,-14.683
