X	Graphic Profile 1
0.000	8.268
0.999	8.335
1.999	8.394
2.998	8.435
3.998	8.445
4.997	8.461
5.997	8.486
6.996	8.481
7.996	8.448
8.995	8.400
9.994	8.337
10.994	8.242
11.993	8.150
12.993	8.065
13.992	8.019
14.992	7.989
15.991	7.971
16.990	7.965
17.990	8.030
18.989	8.110
19.989	8.164
20.988	8.122
21.988	8.043
22.987	7.926
23.987	7.771
24.986	7.589
25.985	7.421
26.985	7.260
27.984	7.113
28.984	6.995
29.983	6.905
30.983	6.844
31.982	6.810
32.982	6.769
33.981	6.726
34.980	6.678
35.980	6.619
36.979	6.549
37.979	6.468
38.978	6.376
39.978	6.312
40.977	6.334
41.976	6.442
42.976	6.533
43.975	6.609
44.975	6.668
45.974	6.712
46.974	6.750
47.973	6.845
48.973	7.003
49.972	7.189
50.971	7.404
51.971	7.647
52.970	7.918
53.970	8.229
54.969	8.731
55.969	9.275
56.968	9.827
57.968	10.387
58.967	10.954
59.966	11.529
60.966	12.111
61.965	13.051
62.965	14.242
63.964	15.613
64.964	17.164
65.963	18.896
66.962	20.808
67.962	22.901
68.961	25.045
69.961	26.949
70.960	28.751
71.960	30.451
72.959	32.050
73.959	33.547
74.958	34.935
75.957	35.999
76.957	36.297
77.956	36.617
78.956	36.959
79.955	37.322
80.955	37.708
81.954	38.134
82.954	38.691
83.953	39.262
84.952	39.861
85.952	40.497
86.951	41.168
87.951	41.877
88.950	42.645
89.950	43.530
90.949	44.634
91.948	45.813
92.948	46.936
93.947	48.004
94.947	49.016
95.946	50.007
96.946	51.091
97.945	52.352
98.945	53.840
99.944	55.280
100.943	56.670
101.943	58.010
102.942	59.189
103.942	60.337
104.941	61.547
105.941	62.975
106.940	64.419
107.940	65.870
108.939	67.329
109.938	68.455
110.938	69.465
111.937	70.475
112.937	71.433
113.936	72.407
114.936	73.432
115.935	74.509
116.934	75.451
117.934	76.340
118.933	77.196
119.933	77.854
120.932	78.185
121.932	78.496
122.931	78.791
123.931	79.397
124.930	79.993
125.929	80.579
126.929	81.156
127.928	81.733
128.928	82.287
129.927	82.842
130.927	83.528
131.926	84.216
132.925	84.905
133.925	85.595
134.924	86.269
135.924	86.939
136.923	87.610
137.923	88.281
138.922	88.963
139.922	89.656
140.921	90.362
141.920	91.083
142.920	91.815
143.919	92.269
144.919	92.343
145.918	92.425
146.918	92.516
147.917	92.614
148.917	92.723
149.916	92.846
150.915	92.915
151.915	92.937
152.914	92.959
153.914	92.981
154.913	93.002
155.913	93.023
156.912	93.042
157.911	93.060
158.911	93.075
159.910	93.087
160.910	93.097
161.909	93.105
162.909	93.110
163.908	93.136
164.908	93.213
165.907	93.287
166.906	93.351
167.906	93.406
168.905	93.450
169.905	93.485
170.904	93.506
171.904	93.516
172.903	93.531
173.903	93.551
174.902	93.576
175.901	93.607
176.901	93.642
177.900	93.679
178.900	93.570
179.899	93.472
180.899	93.399
181.898	93.349
182.897	93.324
183.897	93.322
184.896	93.338
185.896	93.321
186.895	93.341
187.895	93.419
188.894	93.556
189.894	93.752
190.893	94.007
191.892	94.285
192.892	94.480
193.891	94.611
194.891	94.728
195.890	94.830
196.890	94.918
197.889	94.992
198.889	95.168
199.888	95.510
200.887	95.844
201.887	96.152
202.886	96.437
203.886	96.697
204.885	96.933
205.885	97.184
206.884	97.478
207.883	97.853
208.883	98.238
209.882	98.603
210.882	98.946
211.881	99.268
212.881	99.382
213.880	99.435
214.880	99.485
215.879	99.530
216.878	99.566
217.878	99.595
218.877	99.614
219.877	99.571
220.876	99.525
221.876	99.485
222.875	99.445
223.875	99.411
224.874	99.383
225.873	99.361
226.873	99.347
227.872	99.333
228.872	99.319
229.871	99.301
230.871	99.282
231.870	99.264
232.869	99.249
233.869	99.241
234.868	99.235
235.868	99.233
236.867	99.228
237.867	99.218
238.866	99.209
239.866	99.198
240.865	99.181
241.864	99.169
242.864	99.162
243.863	99.159
244.863	99.150
245.862	99.139
246.862	99.129
247.861	99.120
248.861	99.108
249.860	99.093
250.859	99.073
251.859	99.057
252.858	99.040
253.858	99.022
254.857	99.002
255.857	98.983
256.856	98.964
257.855	98.946
258.855	98.936
259.854	98.932
260.854	98.945
261.853	98.969
262.853	98.997
263.852	99.031
264.852	99.068
265.851	99.112
266.850	99.159
267.850	99.214
268.849	99.262
269.849	99.300
270.848	99.327
271.848	99.344
272.847	99.350
273.847	99.356
274.846	99.368
275.845	99.384
276.845	99.403
277.844	99.426
278.844	99.451
279.843	99.480
280.843	99.516
281.842	99.534
282.841	99.543
283.841	99.542
284.840	99.530
285.840	99.509
286.839	99.478
287.839	99.459
288.838	99.490
289.838	99.519
290.837	99.546
291.836	99.571
292.836	99.595
293.835	99.616
294.835	99.644
295.834	99.694
296.834	99.740
297.833	99.782
298.833	99.820
299.832	99.854
300.831	99.884
301.831	99.909
302.830	99.932
303.830	99.954
304.829	99.976
305.829	99.997
306.828	100.019
307.827	100.041
308.827	100.080
309.826	100.132
310.826	100.190
311.825	100.256
312.825	100.328
313.824	100.406
314.824	100.492
315.823	100.484
316.822	100.430
317.822	100.364
318.821	100.304
319.821	100.249
320.820	100.200
321.820	100.157
322.819	100.175
323.819	100.190
324.818	100.222
325.817	100.251
326.817	100.274
327.816	100.290
328.816	100.299
329.815	100.319
330.815	100.332
331.814	100.343
332.813	100.356
333.813	100.365
334.812	100.373
335.812	100.384
336.811	100.422
337.811	100.465
338.810	100.511
339.810	100.553
340.809	100.579
341.808	100.590
342.808	100.592
343.807	100.615
344.807	100.652
345.806	100.704
346.806	100.766
347.805	100.819
348.805	100.861
349.804	100.881
350.803	100.882
351.803	100.878
352.802	100.867
353.802	100.856
354.801	100.854
355.801	100.859
356.800	100.874
357.799	100.891
358.799	100.907
359.798	100.920
360.798	100.932
361.797	100.940
362.797	100.943
363.796	100.963
364.796	100.978
365.795	100.980
366.794	100.969
367.794	100.944
368.793	100.970
369.793	100.999
370.792	101.060
371.792	101.121
372.791	101.178
373.790	101.232
374.790	101.281
375.789	101.328
376.789	101.379
377.788	101.426
378.788	101.463
379.787	101.491
380.787	101.509
381.786	101.518
382.785	101.514
383.785	101.507
384.784	101.500
385.784	101.501
386.783	101.509
387.783	101.524
388.782	101.546
389.782	101.575
390.781	101.581
391.780	101.601
392.780	101.638
393.779	101.693
394.779	101.766
395.778	101.856
396.778	101.963
397.777	102.061
398.776	102.120
399.776	102.180
400.775	102.242
401.775	102.305
402.774	102.369
403.774	102.434
404.773	102.443
405.773	102.394
406.772	102.350
407.771	102.312
408.771	102.278
409.770	102.250
410.770	102.227
411.769	102.201
412.769	102.164
413.768	102.130
