M,Z
0,-17.04
1,-17.04
2,-17.04
3,-17.04
4,-17.04
5,-17.04
6,-17.04
7,-17.04
8,-17.04
8.999,-17.04
9.999,-17.04
10.999,-17.04
11.999,-17.04
12.999,-17.04
13.999,-17.04
14.999,-17.04
15.999,-17.04
16.999,-17.04
17.999,-17.04
18.999,-17.04
19.999,-17.04
20.999,-17.04
21.999,-17.04
22.999,-17.04
23.999,-17.04
24.998,-17.04
25.998,-17.04
26.998,-17.04
27.998,-17.04
28.998,-17.04
29.998,-17.04
30.998,-17.04
31.998,-17.04
32.998,-17.04
33.998,-17.04
34.998,-17.04
35.998,-17.04
36.998,-17.04
37.998,-17.04
38.998,-17.04
39.998,-17.04
40.997,-17.04
41.997,-17.04
42.997,-17.04
43.997,-17.04
44.997,-17.04
45.997,-17.04
46.997,-17.04
47.997,-17.04
48.997,-17.04
49.997,-17.04
50.997,-17.04
51.997,-17.04
52.997,-17.04
53.997,-17.04
54.997,-17.041
55.997,-17.041
56.996,-17.042
57.996,-17.042
58.996,-17.042
59.996,-17.043
60.996,-17.043
61.996,-17.044
62.996,-17.044
63.996,-17.045
64.996,-17.045
65.996,-17.046
66.996,-17.046
67.996,-17.046
68.996,-17.047
69.996,-17.047
70.996,-17.047
71.996,-17.048
72.995,-17.048
73.995,-17.049
74.995,-17.049
75.995,-17.049
76.995,-17.049
77.995,-17.05
78.995,-17.05
79.995,-17.05
80.995,-17.051
81.995,-17.051
82.995,-17.051
83.995,-17.052
84.995,-17.052
85.995,-17.052
86.995,-17.052
87.995,-17.052
88.994,-17.053
89.994,-17.053
90.994,-17.053
91.994,-17.053
92.994,-17.053
93.994,-17.054
94.994,-17.054
95.994,-17.054
96.994,-17.054
97.994,-17.054
98.994,-17.054
99.994,-17.055
100.994,-17.055
101.994,-17.055
102.994,-17.055
103.994,-17.055
104.993,-17.055
105.993,-17.055
106.993,-17.055
107.993,-17.055
108.993,-17.055
109.993,-17.055
110.993,-17.055
111.993,-17.055
112.993,-17.055
113.993,-17.055
114.993,-17.055
115.993,-17.055
116.993,-17.055
117.993,-17.055
118.993,-17.055
119.993,-17.055
120.992,-17.055
121.992,-17.055
122.992,-17.055
123.992,-17.055
124.992,-17.055
125.992,-17.055
126.992,-17.055
127.992,-17.055
128.992,-17.054
129.992,-17.054
130.992,-17.054
131.992,-17.054
132.992,-17.054
133.992,-17.054
134.992,-17.054
135.992,-17.053
136.991,-17.053
137.991,-17.053
138.991,-17.053
139.991,-17.053
140.991,-17.052
141.991,-17.052
142.991,-17.052
143.991,-17.052
144.991,-17.051
145.991,-17.051
146.991,-17.051
147.991,-17.051
148.991,-17.05
149.991,-17.05
150.991,-17.05
151.991,-17.049
152.99,-17.049
153.99,-17.05
154.99,-17.051
155.99,-17.052
156.99,-17.052
157.99,-17.053
158.99,-17.054
159.99,-17.055
160.99,-17.056
161.99,-17.056
162.99,-17.057
163.99,-17.058
164.99,-17.058
165.99,-17.059
166.99,-17.059
167.99,-17.06
168.989,-17.06
169.989,-17.06
170.989,-17.061
171.989,-17.061
172.989,-17.061
173.989,-17.061
174.989,-17.063
175.989,-17.066
176.989,-17.068
177.989,-17.071
178.989,-17.074
179.989,-17.077
180.989,-17.08
181.989,-17.082
182.989,-17.085
183.989,-17.088
184.988,-17.091
185.988,-17.094
186.988,-17.097
187.988,-17.1
188.988,-17.103
189.988,-17.107
190.988,-17.11
191.988,-17.113
192.988,-17.116
193.988,-17.119
194.988,-17.123
195.988,-17.126
196.988,-17.129
197.988,-17.133
198.988,-17.136
199.988,-17.14
200.987,-17.143
201.987,-17.147
202.987,-17.15
203.987,-17.154
204.987,-17.158
205.987,-17.161
206.987,-17.165
207.987,-17.169
208.987,-17.173
209.987,-17.176
210.987,-17.18
211.987,-17.184
212.987,-17.188
213.987,-17.192
214.987,-17.196
215.987,-17.2
216.986,-17.204
217.986,-17.208
218.986,-17.212
219.986,-17.216
220.986,-17.221
221.986,-17.225
222.986,-17.229
223.986,-17.233
224.986,-17.238
225.986,-17.242
226.986,-17.246
227.986,-17.251
228.986,-17.255
229.986,-17.26
230.986,-17.264
231.986,-17.269
232.985,-17.273
233.985,-17.278
234.985,-17.283
235.985,-17.287
236.985,-17.292
237.985,-17.297
238.985,-17.302
239.985,-17.306
240.985,-17.311
241.985,-17.316
242.985,-17.321
243.985,-17.326
244.985,-17.331
245.985,-17.336
246.985,-17.341
247.985,-17.346
248.984,-17.351
249.984,-17.357
250.984,-17.362
251.984,-17.367
252.984,-17.371
253.984,-17.373
254.984,-17.374
255.984,-17.376
256.984,-17.378
257.984,-17.38
258.984,-17.382
259.984,-17.384
260.984,-17.385
261.984,-17.387
262.984,-17.389
263.984,-17.39
264.983,-17.392
265.983,-17.394
266.983,-17.395
267.983,-17.397
268.983,-17.398
269.983,-17.4
270.983,-17.401
271.983,-17.403
272.983,-17.404
273.983,-17.406
274.983,-17.407
275.983,-17.408
276.983,-17.41
277.983,-17.411
278.983,-17.412
279.983,-17.414
280.982,-17.415
281.982,-17.416
282.982,-17.417
283.982,-17.418
284.982,-17.419
285.982,-17.421
286.982,-17.422
287.982,-17.423
288.982,-17.424
289.982,-17.425
290.982,-17.426
291.982,-17.427
292.982,-17.428
293.982,-17.429
294.982,-17.429
295.982,-17.43
296.981,-17.431
297.981,-17.432
298.981,-17.433
299.981,-17.433
300.981,-17.434
301.981,-17.435
302.981,-17.436
303.981,-17.436
304.981,-17.437
305.981,-17.437
306.981,-17.438
307.981,-17.439
308.981,-17.439
309.981,-17.44
310.981,-17.44
311.981,-17.441
312.98,-17.441
313.98,-17.441
314.98,-17.442
315.98,-17.442
316.98,-17.442
317.98,-17.443
318.98,-17.443
319.98,-17.443
320.98,-17.443
321.98,-17.444
322.98,-17.444
323.98,-17.444
324.98,-17.444
325.98,-17.444
326.98,-17.444
327.98,-17.444
328.979,-17.444
329.979,-17.444
330.979,-17.444
331.979,-17.444
332.979,-17.444
333.979,-17.444
334.979,-17.444
335.979,-17.444
336.979,-17.443
337.979,-17.443
338.979,-17.443
339.979,-17.443
340.979,-17.442
341.979,-17.442
342.979,-17.442
343.979,-17.441
344.978,-17.441
345.978,-17.441
346.978,-17.44
347.978,-17.44
348.978,-17.439
349.978,-17.439
350.978,-17.438
351.978,-17.437
352.978,-17.433
353.978,-17.429
354.978,-17.425
355.978,-17.421
356.978,-17.417
357.978,-17.412
358.978,-17.408
359.978,-17.404
360.977,-17.399
361.977,-17.394
362.977,-17.39
363.977,-17.385
364.977,-17.38
365.977,-17.375
366.977,-17.37
367.977,-17.365
368.977,-17.36
369.977,-17.354
370.977,-17.349
371.977,-17.343
372.977,-17.338
373.977,-17.332
374.977,-17.327
375.977,-17.321
376.976,-17.315
377.976,-17.309
378.976,-17.303
379.976,-17.297
380.976,-17.29
381.976,-17.284
382.976,-17.278
383.976,-17.271
384.976,-17.265
385.976,-17.258
386.976,-17.251
387.976,-17.244
388.976,-17.237
389.976,-17.23
390.976,-17.223
391.976,-17.216
392.975,-17.209
393.975,-17.202
394.975,-17.194
395.975,-17.187
396.975,-17.179
397.975,-17.171
398.975,-17.164
399.975,-17.156
400.975,-17.148
401.975,-17.14
402.975,-17.132
403.975,-17.124
404.975,-17.115
405.975,-17.107
406.975,-17.099
407.975,-17.09
408.974,-17.081
409.974,-17.073
410.974,-17.064
411.974,-17.055
412.974,-17.046
413.974,-17.036
414.974,-17.027
415.974,-17.017
416.974,-17.007
417.974,-16.997
418.974,-16.988
419.974,-16.978
420.974,-16.968
421.974,-16.959
422.974,-16.949
423.974,-16.939
424.973,-16.93
425.973,-16.92
426.973,-16.91
427.973,-16.901
428.973,-16.891
429.973,-16.881
430.973,-16.872
