X	Graphic Profile 1
0.000	1.533
0.997	1.738
1.995	1.916
2.992	1.723
3.990	2.001
4.987	2.200
5.985	1.724
6.982	1.957
7.980	2.491
8.977	1.814
9.975	1.768
10.972	1.876
11.969	1.977
12.967	2.033
13.964	2.055
14.962	2.073
15.959	2.092
16.957	2.124
17.954	2.165
18.952	2.235
19.949	2.317
20.947	2.397
21.944	2.492
22.942	2.591
23.939	2.701
24.936	2.809
25.934	2.901
26.931	3.022
27.929	3.249
28.926	3.476
29.924	3.483
30.921	3.500
31.919	3.627
32.916	4.540
33.914	11.987
34.911	23.513
35.908	31.245
36.906	32.529
37.903	34.251
38.901	36.015
39.898	37.271
40.896	37.969
41.893	38.344
42.891	38.528
43.888	38.695
44.886	38.903
45.883	39.275
46.880	39.632
47.878	39.840
48.875	40.000
49.873	40.106
50.870	40.143
51.868	40.181
52.865	40.301
53.863	40.269
54.860	40.329
55.858	40.385
56.855	40.447
57.853	40.566
58.850	40.561
59.847	40.509
60.845	40.465
61.842	40.637
62.840	40.747
63.837	40.777
64.835	40.784
65.832	40.967
66.830	41.338
67.827	41.670
68.825	41.808
69.822	42.327
70.819	42.576
71.817	42.820
72.814	43.272
73.812	43.773
74.809	44.227
75.807	44.896
76.804	45.508
77.802	45.903
78.799	46.297
79.797	46.464
80.794	46.614
81.792	46.963
82.789	47.331
83.786	47.716
84.784	47.767
85.781	47.927
86.779	48.076
87.776	48.272
88.774	49.299
89.771	49.978
90.769	50.369
91.766	50.443
92.764	50.251
93.761	50.039
94.758	50.360
95.756	49.870
96.753	48.659
97.751	48.729
98.748	49.035
99.746	51.608
100.743	52.173
101.741	52.011
102.738	52.149
103.736	52.957
104.733	53.578
105.730	54.002
106.728	53.945
107.725	53.597
108.723	53.518
109.720	53.501
110.718	53.406
111.715	53.336
112.713	53.635
113.710	53.780
114.708	53.375
115.705	53.487
116.703	53.519
117.700	53.230
118.697	53.240
119.695	53.263
120.692	53.513
121.690	54.132
122.687	54.815
123.685	54.917
124.682	54.972
125.680	54.556
126.677	53.831
127.675	53.806
128.672	53.689
129.669	53.370
130.667	52.572
131.664	53.280
132.662	52.739
133.659	52.188
134.657	52.081
135.654	52.068
136.652	52.130
137.649	52.493
138.647	52.802
139.644	53.001
140.641	53.287
141.639	53.630
142.636	53.776
143.634	54.429
144.631	54.929
145.629	55.571
146.626	56.634
147.624	56.541
148.621	57.370
149.619	58.809
150.616	59.824
151.614	60.023
152.611	60.196
153.608	60.566
154.606	61.006
155.603	61.121
156.601	61.563
157.598	62.452
158.596	63.424
159.593	64.352
160.591	65.337
161.588	65.788
162.586	66.989
163.583	68.186
164.580	68.635
165.578	68.916
166.575	69.328
167.573	69.532
168.570	69.378
169.568	68.801
170.565	68.490
171.563	68.651
172.560	68.683
173.558	69.966
174.555	71.296
175.553	71.959
176.550	72.093
177.547	71.525
178.545	72.291
179.542	73.326
180.540	73.055
181.537	72.757
182.535	73.640
183.532	74.244
184.530	74.400
185.527	74.251
186.525	74.140
187.522	74.414
188.519	75.028
189.517	75.625
190.514	75.399

