X	Graphic Profile 1
0.000	21.040
1.000	21.040
2.000	21.040
3.000	21.040
4.000	21.040
5.000	21.040
6.000	21.040
7.000	21.040
8.000	21.040
8.999	21.040
9.999	21.040
10.999	21.040
11.999	21.040
12.999	21.040
13.999	21.040
14.999	21.040
15.999	21.040
16.999	21.040
17.999	21.040
18.999	21.040
19.999	21.040
20.999	21.040
21.999	21.040
22.999	21.040
23.999	21.040
24.998	21.040
25.998	21.040
26.998	21.040
27.998	21.040
28.998	21.040
29.998	21.040
30.998	21.040
31.998	21.040
32.998	21.040
33.998	21.040
34.998	21.040
35.998	21.040
36.998	21.040
37.998	21.040
38.998	21.040
39.998	21.040
40.997	21.040
41.997	21.040
42.997	21.040
43.997	21.040
44.997	21.040
45.997	21.040
46.997	21.040
47.997	21.040
48.997	21.040
49.997	21.040
50.997	21.040
51.997	21.040
52.997	21.040
53.997	21.040
54.997	21.041
55.997	21.041
56.996	21.042
57.996	21.042
58.996	21.042
59.996	21.043
60.996	21.043
61.996	21.044
62.996	21.044
63.996	21.045
64.996	21.045
65.996	21.046
66.996	21.046
67.996	21.046
68.996	21.047
69.996	21.047
70.996	21.047
71.996	21.048
72.995	21.048
73.995	21.049
74.995	21.049
75.995	21.049
76.995	21.049
77.995	21.050
78.995	21.050
79.995	21.050
80.995	21.051
81.995	21.051
82.995	21.051
83.995	21.052
84.995	21.052
85.995	21.052
86.995	21.052
87.995	21.052
88.994	21.053
89.994	21.053
90.994	21.053
91.994	21.053
92.994	21.053
93.994	21.054
94.994	21.054
95.994	21.054
96.994	21.054
97.994	21.054
98.994	21.054
99.994	21.055
100.994	21.055
101.994	21.055
102.994	21.055
103.994	21.055
104.993	21.055
105.993	21.055
106.993	21.055
107.993	21.055
108.993	21.055
109.993	21.055
110.993	21.055
111.993	21.055
112.993	21.055
113.993	21.055
114.993	21.055
115.993	21.055
116.993	21.055
117.993	21.055
118.993	21.055
119.993	21.055
120.992	21.055
121.992	21.055
122.992	21.055
123.992	21.055
124.992	21.055
125.992	21.055
126.992	21.055
127.992	21.055
128.992	21.054
129.992	21.054
130.992	21.054
131.992	21.054
132.992	21.054
133.992	21.054
134.992	21.054
135.992	21.053
136.991	21.053
137.991	21.053
138.991	21.053
139.991	21.053
140.991	21.052
141.991	21.052
142.991	21.052
143.991	21.052
144.991	21.051
145.991	21.051
146.991	21.051
147.991	21.051
148.991	21.050
149.991	21.050
150.991	21.050
151.991	21.049
152.990	21.049
153.990	21.050
154.990	21.051
155.990	21.052
156.990	21.052
157.990	21.053
158.990	21.054
159.990	21.055
160.990	21.056
161.990	21.056
162.990	21.057
163.990	21.058
164.990	21.058
165.990	21.059
166.990	21.059
167.990	21.060
168.989	21.060
169.989	21.060
170.989	21.061
171.989	21.061
172.989	21.061
173.989	21.061
174.989	21.063
175.989	21.066
176.989	21.068
177.989	21.071
178.989	21.074
179.989	21.077
180.989	21.080
181.989	21.082
182.989	21.085
183.989	21.088
184.988	21.091
185.988	21.094
186.988	21.097
187.988	21.100
188.988	21.103
189.988	21.107
190.988	21.110
191.988	21.113
192.988	21.116
193.988	21.119
194.988	21.123
195.988	21.126
196.988	21.129
197.988	21.133
198.988	21.136
199.988	21.140
200.987	21.143
201.987	21.147
202.987	21.150
203.987	21.154
204.987	21.158
205.987	21.161
206.987	21.165
207.987	21.169
208.987	21.173
209.987	21.176
210.987	21.180
211.987	21.184
212.987	21.188
213.987	21.192
214.987	21.196
215.987	21.200
216.986	21.204
217.986	21.208
218.986	21.212
219.986	21.216
220.986	21.221
221.986	21.225
222.986	21.229
223.986	21.233
224.986	21.238
225.986	21.242
226.986	21.246
227.986	21.251
228.986	21.255
229.986	21.260
230.986	21.264
231.986	21.269
232.985	21.273
233.985	21.278
234.985	21.283
235.985	21.287
236.985	21.292
237.985	21.297
238.985	21.302
239.985	21.306
240.985	21.311
241.985	21.316
242.985	21.321
243.985	21.326
244.985	21.331
245.985	21.336
246.985	21.341
247.985	21.346
248.984	21.351
249.984	21.357
250.984	21.362
251.984	21.367
252.984	21.371
253.984	21.373
254.984	21.374
255.984	21.376
256.984	21.378
257.984	21.380
258.984	21.382
259.984	21.384
260.984	21.385
261.984	21.387
262.984	21.389
263.984	21.390
264.983	21.392
265.983	21.394
266.983	21.395
267.983	21.397
268.983	21.398
269.983	21.400
270.983	21.401
271.983	21.403
272.983	21.404
273.983	21.406
274.983	21.407
275.983	21.408
276.983	21.410
277.983	21.411
278.983	21.412
279.983	21.414
280.982	21.415
281.982	21.416
282.982	21.417
283.982	21.418
284.982	21.419
285.982	21.421
286.982	21.422
287.982	21.423
288.982	21.424
289.982	21.425
290.982	21.426
291.982	21.427
292.982	21.428
293.982	21.429
294.982	21.429
295.982	21.430
296.981	21.431
297.981	21.432
298.981	21.433
299.981	21.433
300.981	21.434
301.981	21.435
302.981	21.436
303.981	21.436
304.981	21.437
305.981	21.437
306.981	21.438
307.981	21.439
308.981	21.439
309.981	21.440
310.981	21.440
311.981	21.441
312.980	21.441
313.980	21.441
314.980	21.442
315.980	21.442
316.980	21.442
317.980	21.443
318.980	21.443
319.980	21.443
320.980	21.443
321.980	21.444
322.980	21.444
323.980	21.444
324.980	21.444
325.980	21.444
326.980	21.444
327.980	21.444
328.979	21.444
329.979	21.444
330.979	21.444
331.979	21.444
332.979	21.444
333.979	21.444
334.979	21.444
335.979	21.444
336.979	21.443
337.979	21.443
338.979	21.443
339.979	21.443
340.979	21.442
341.979	21.442
342.979	21.442
343.979	21.441
344.978	21.441
345.978	21.441
346.978	21.440
347.978	21.440
348.978	21.439
349.978	21.439
350.978	21.438
351.978	21.437
352.978	21.433
353.978	21.429
354.978	21.425
355.978	21.421
356.978	21.417
357.978	21.412
358.978	21.408
359.978	21.404
360.977	21.399
361.977	21.394
362.977	21.390
363.977	21.385
364.977	21.380
365.977	21.375
366.977	21.370
367.977	21.365
368.977	21.360
369.977	21.354
370.977	21.349
371.977	21.343
372.977	21.338
373.977	21.332
374.977	21.327
375.977	21.321
376.976	21.315
377.976	21.309
378.976	21.303
379.976	21.297
380.976	21.290
381.976	21.284
382.976	21.278
383.976	21.271
384.976	21.265
385.976	21.258
386.976	21.251
387.976	21.244
388.976	21.237
389.976	21.230
390.976	21.223
391.976	21.216
392.975	21.209
393.975	21.202
394.975	21.194
395.975	21.187
396.975	21.179
397.975	21.171
398.975	21.164
399.975	21.156
400.975	21.148
401.975	21.140
402.975	21.132
403.975	21.124
404.975	21.115
405.975	21.107
406.975	21.099
407.975	21.090
408.974	21.081
409.974	21.073
410.974	21.064
411.974	21.055
412.974	21.046
413.974	21.036
414.974	21.027
415.974	21.017
416.974	21.007
417.974	20.997
418.974	20.988
419.974	20.978
420.974	20.968
421.974	20.959
422.974	20.949
423.974	20.939
424.973	20.930
425.973	20.920
426.973	20.910
427.973	20.901
428.973	20.891
429.973	20.881
430.973	20.872
431.973	20.862
432.973	20.852
433.973	20.843
434.973	20.833
435.973	20.823
436.973	20.814
437.973	20.804
438.973	20.795
439.973	20.785
440.972	20.775
441.972	20.766
442.972	20.756
443.972	20.746
444.972	20.737
445.972	20.727
446.972	20.718
447.972	20.708
448.972	20.698
449.972	20.689
450.972	20.679
451.972	20.677
452.972	20.676
453.972	20.674
454.972	20.673
455.972	20.671
456.971	20.669
457.971	20.668
458.971	20.666
459.971	20.665
460.971	20.663
461.971	20.661
462.971	20.660
463.971	20.658
464.971	20.657
465.971	20.655
466.971	20.653
467.971	20.652
468.971	20.650
469.971	20.649
470.971	20.647
471.971	20.646
472.970	20.644
473.970	20.642
474.970	20.641
475.970	20.639
476.970	20.638
477.970	20.636
478.970	20.634
479.970	20.633
480.970	20.631
481.970	20.630
482.970	20.628
483.970	20.626
484.970	20.625
485.970	20.623
486.970	20.622
487.970	20.620
488.969	20.618
489.969	20.617
490.969	20.615
491.969	20.614
492.969	20.612
493.969	20.610
494.969	20.609
495.969	20.607
496.969	20.606
497.969	20.604
498.969	20.602
499.969	20.601
500.969	20.599
501.969	20.598
502.969	20.596
503.969	20.594
504.968	20.593
505.968	20.591
506.968	20.590
507.968	20.588
508.968	20.587
509.968	20.585
510.968	20.583
511.968	20.582
512.968	20.580
513.968	20.578
514.968	20.577
515.968	20.575
516.968	20.574
517.968	20.572
518.968	20.571
519.968	20.569
520.967	20.567
521.967	20.566
522.967	20.564
523.967	20.563
524.967	20.561
525.967	20.559
526.967	20.558
527.967	20.556
528.967	20.555
529.967	20.553
530.967	20.551
531.967	20.550
532.967	20.548
533.967	20.547
534.967	20.545
535.967	20.543
536.966	20.542
537.966	20.540
538.966	20.539
539.966	20.537
540.966	20.536
541.966	20.534
542.966	20.532
543.966	20.531
544.966	20.529
545.966	20.528
546.966	20.526
547.966	20.524
548.966	20.523
549.966	20.521
550.966	20.511
551.966	20.498
552.965	20.485
553.965	20.472
554.965	20.459
555.965	20.445
556.965	20.432
557.965	20.418
558.965	20.404
559.965	20.391
560.965	20.377
561.965	20.363
562.965	20.349
563.965	20.335
564.965	20.321
565.965	20.307
566.965	20.293
567.965	20.278
568.964	20.264
569.964	20.249
570.964	20.235
571.964	20.220
572.964	20.206
573.964	20.191
574.964	20.176
575.964	20.161
576.964	20.146
577.964	20.131
578.964	20.116
579.964	20.100
580.964	20.085
581.964	20.070
582.964	20.054
583.964	20.038
584.963	20.023
585.963	20.007
586.963	19.991
587.963	19.975
588.963	19.959
589.963	19.943
590.963	19.927
591.963	19.911
592.963	19.895
593.963	19.879
594.963	19.862
595.963	19.846
596.963	19.829
597.963	19.812
598.963	19.796
599.963	19.779
600.962	19.762
601.962	19.745
602.962	19.728
603.962	19.711
604.962	19.694
605.962	19.676
606.962	19.659
607.962	19.641
608.962	19.624
609.962	19.606
610.962	19.589
611.962	19.571
612.962	19.553
613.962	19.535
614.962	19.517
615.962	19.499
616.961	19.481
617.961	19.463
618.961	19.444
619.961	19.426
620.961	19.408
621.961	19.389
622.961	19.371
623.961	19.352
624.961	19.333
625.961	19.314
626.961	19.295
627.961	19.276
628.961	19.257
629.961	19.238
630.961	19.219
631.961	19.200
632.960	19.180
633.960	19.161
634.960	19.141
635.960	19.122
636.960	19.102
637.960	19.082
638.960	19.062
639.960	19.042
640.960	19.022
641.960	19.002
642.960	18.982
643.960	18.962
644.960	18.942
645.960	18.921
646.960	18.901
647.960	18.880
648.959	18.860
649.959	18.839
650.959	18.818
651.959	18.793
652.959	18.768
653.959	18.743
654.959	18.717
655.959	18.692
656.959	18.667
657.959	18.642
658.959	18.617
659.959	18.593
660.959	18.568
661.959	18.543
662.959	18.519
663.959	18.495
664.958	18.470
665.958	18.446
666.958	18.422
667.958	18.398
668.958	18.374
669.958	18.350
670.958	18.327
671.958	18.303
672.958	18.279
673.958	18.256
674.958	18.233
675.958	18.209
676.958	18.186
677.958	18.163
678.958	18.140
679.958	18.117
680.957	18.094
681.957	18.072
682.957	18.049
683.957	18.027
684.957	18.004
685.957	17.982
686.957	17.960
687.957	17.938
688.957	17.916
689.957	17.894
690.957	17.872
691.957	17.850
692.957	17.828
693.957	17.807
694.957	17.785
695.957	17.764
696.956	17.742
697.956	17.721
698.956	17.700
699.956	17.679
700.956	17.658
701.956	17.637
702.956	17.617
703.956	17.596
704.956	17.575
705.956	17.555
706.956	17.535
707.956	17.514
708.956	17.494
709.956	17.474
710.956	17.454
711.956	17.434
712.955	17.414
713.955	17.395
714.955	17.375
715.955	17.355
716.955	17.336
717.955	17.317
718.955	17.297
719.955	17.278
720.955	17.259
721.955	17.240
722.955	17.221
723.955	17.202
724.955	17.184
725.955	17.165
726.955	17.147
727.955	17.128
728.954	17.110
729.954	17.092
730.954	17.073
731.954	17.055
732.954	17.037
733.954	17.020
734.954	17.002
735.954	16.984
736.954	16.967
737.954	16.949
738.954	16.932
739.954	16.914
740.954	16.897
741.954	16.880
742.954	16.863
743.954	16.846
744.953	16.829
745.953	16.812
746.953	16.796
747.953	16.779
748.953	16.764
749.953	16.754
750.953	16.744
751.953	16.733
752.953	16.723
753.953	16.713
754.953	16.703
755.953	16.693
756.953	16.683
757.953	16.673
758.953	16.663
759.953	16.653
760.952	16.643
761.952	16.634
762.952	16.624
763.952	16.614
764.952	16.604
765.952	16.595
766.952	16.585
767.952	16.575
768.952	16.566
769.952	16.556
770.952	16.547
771.952	16.537
772.952	16.528
773.952	16.518
774.952	16.509
775.952	16.499
776.951	16.490
777.951	16.481
778.951	16.471
779.951	16.462
780.951	16.453
781.951	16.444
782.951	16.435
783.951	16.426
784.951	16.417
785.951	16.408
786.951	16.399
787.951	16.390
788.951	16.381
789.951	16.372
790.951	16.363
791.951	16.354
792.950	16.345
793.950	16.337
794.950	16.328
795.950	16.319
796.950	16.311
