X	Graphic Profile 1
0.000	-12.634
1.000	-12.636
1.999	-12.638
2.999	-12.640
3.998	-12.642
4.998	-12.647
5.998	-12.654
6.997	-12.621
7.997	-12.555
8.997	-12.488
9.996	-12.422
10.996	-12.371
11.995	-12.367
12.995	-12.363
13.995	-12.360
14.994	-12.359
15.994	-12.361
16.994	-12.368
17.993	-12.468
18.993	-12.661
19.992	-12.658
20.992	-12.591
21.992	-12.517
22.991	-12.442
23.991	-12.367
24.991	-12.293
25.990	-12.218
26.990	-12.146
27.989	-12.087
28.989	-12.037
29.989	-11.988
30.988	-11.938
31.988	-11.929
32.987	-11.945
33.987	-11.961
34.987	-11.978
35.986	-11.973
36.986	-11.984
37.986	-11.996
38.985	-11.996
39.985	-11.977
40.984	-11.939
41.984	-11.899
42.984	-11.825
43.983	-11.716
44.983	-11.708
45.983	-11.665
46.982	-11.734
47.982	-11.726
48.981	-11.738
49.981	-11.647
50.981	-11.422
51.980	-11.258
52.980	-11.315
53.979	-11.437
54.979	-11.490
55.979	-11.407
56.978	-11.392
57.978	-11.367
58.978	-11.216
59.977	-11.108
60.977	-11.105
61.976	-11.059
62.976	-10.729
63.976	-10.252
64.975	-10.243
65.975	-10.187
66.975	-10.189
67.974	-10.224
68.974	-10.257
69.973	-10.186
70.973	-10.170
71.973	-10.433
72.972	-10.661
73.972	-10.824
74.972	-10.899
75.971	-10.900
76.971	-10.907
77.970	-10.668
78.970	-10.171
79.970	-10.058
80.969	-10.085
81.969	-10.124
82.968	-10.273
83.968	-9.902
84.968	-9.750
85.967	-9.842
86.967	-9.687
87.967	-9.534
88.966	-9.404
89.966	-9.702
90.965	-9.811
91.965	-9.785
92.965	-9.966
93.964	-10.331
94.964	-10.577
95.964	-10.458
96.963	-10.321
97.963	-10.305
98.962	-10.329
99.962	-10.318
100.962	-10.323
101.961	-10.374
102.961	-10.477
103.961	-10.672
104.960	-10.335
105.960	-10.457
106.959	-10.433
107.959	-10.414
108.959	-10.448
109.958	-10.472
110.958	-10.458
111.957	-10.444
112.957	-10.437
113.957	-10.298
114.956	-10.317
115.956	-10.371
116.956	-10.359
117.955	-10.323
