X	Graphic Profile 1
0.000	23.545
1.000	23.539
1.999	23.534
2.999	23.528
3.999	23.523
4.999	23.517
5.998	23.512
6.998	23.506
7.998	23.501
8.998	23.495
9.997	23.489
10.997	23.483
11.997	23.478
12.997	23.472
13.996	23.466
14.996	23.460
15.996	23.454
16.996	23.448
17.995	23.442
18.995	23.435
19.995	23.429
20.995	23.423
21.994	23.417
22.994	23.410
23.994	23.404
24.993	23.397
25.993	23.391
26.993	23.384
27.993	23.378
28.992	23.371
29.992	23.364
30.992	23.358
31.992	23.351
32.991	23.344
33.991	23.337
34.991	23.330
35.991	23.323
36.990	23.316
37.990	23.309
38.990	23.302
39.990	23.295
40.989	23.288
41.989	23.280
42.989	23.273
43.989	23.266
44.988	23.258
45.988	23.251
46.988	23.243
47.988	23.236
48.987	23.228
49.987	23.220
50.987	23.213
51.986	23.205
52.986	23.197
53.986	23.189
54.986	23.181
55.985	23.173
56.985	23.165
57.985	23.157
58.985	23.149
59.984	23.141
60.984	23.133
61.984	23.125
62.984	23.116
63.983	23.108
64.983	23.100
65.983	23.091
66.983	23.083
67.982	23.074
68.982	23.066
69.982	23.057
70.982	23.049
71.981	23.040
72.981	23.031
73.981	23.022
74.980	23.013
75.980	23.004
76.980	22.996
77.980	22.987
78.979	22.977
79.979	22.968
80.979	22.959
81.979	22.950
82.978	22.941
83.978	22.933
84.978	22.924
85.978	22.915
86.977	22.906
87.977	22.897
88.977	22.888
89.977	22.880
90.976	22.871
91.976	22.862
92.976	22.853
93.976	22.844
94.975	22.835
95.975	22.826
96.975	22.817
97.975	22.808
98.974	22.799
99.974	22.790
100.974	22.781
101.973	22.772
102.973	22.763
103.973	22.754
104.973	22.745
105.972	22.735
106.972	22.726
107.972	22.717
108.972	22.708
109.971	22.699
110.971	22.690
111.971	22.681
112.971	22.671
113.970	22.662
114.970	22.653
115.970	22.644
116.970	22.634
117.969	22.625
118.969	22.616
119.969	22.606
120.969	22.597
121.968	22.588
122.968	22.578
123.968	22.569
124.967	22.560
125.967	22.550
126.967	22.541
127.967	22.532
128.966	22.522
129.966	22.513
130.966	22.503
131.966	22.494
132.965	22.484
133.965	22.475
134.965	22.465
135.965	22.456
136.964	22.446
137.964	22.437
138.964	22.427
139.964	22.418
140.963	22.408
141.963	22.398
142.963	22.389
143.963	22.379
144.962	22.369
145.962	22.360
146.962	22.350
147.962	22.340
148.961	22.331
149.961	22.321
150.961	22.311
151.960	22.302
152.960	22.292
