X	Graphic Profile 1
0.000	-6.125
0.999	-6.137
1.997	-6.145
2.996	-6.214
3.995	-6.224
4.994	-6.176
5.992	-6.129
6.991	-6.103
7.990	-6.121
8.989	-6.154
9.987	-6.182
10.986	-6.188
11.985	-6.159
12.984	-6.108
13.982	-5.955
14.981	-5.795
15.980	-5.673
16.978	-5.553
17.977	-5.629
18.976	-5.776
19.975	-5.819
20.973	-5.833
21.972	-5.842
22.971	-5.849
23.970	-5.843
24.968	-5.823
25.967	-5.788
26.966	-5.752
27.965	-5.716
28.963	-5.681
29.962	-5.593
30.961	-5.418
31.959	-5.358
32.958	-5.425
33.957	-5.443
34.956	-5.383
35.954	-5.273
36.953	-5.167
37.952	-5.113
38.951	-5.116
39.949	-5.111
40.948	-5.096
41.947	-5.124
42.946	-5.101
43.944	-5.038
44.943	-5.164
45.942	-5.013
46.940	-4.983
47.939	-5.036
48.938	-5.040
49.937	-5.051
50.935	-5.113
51.934	-5.036
52.933	-4.929
53.932	-4.974
54.930	-5.068
55.929	-4.928
56.928	-4.862
57.927	-5.047
58.925	-4.975
59.924	-4.803
60.923	-4.864
61.922	-4.807
62.920	-5.064
63.919	-4.815
64.918	-4.726
65.916	-4.798
66.915	-4.757
67.914	-4.673
68.913	-4.918
69.911	-5.027
70.910	-4.950
71.909	-4.864
72.908	-4.831
73.906	-4.777
74.905	-4.670
75.904	-4.622
76.903	-4.708
77.901	-4.824
78.900	-4.814
79.899	-4.764
80.897	-4.737
81.896	-4.736
82.895	-4.731
83.894	-4.801
84.892	-4.914
85.891	-4.875
86.890	-4.827
87.889	-4.712
88.887	-4.730
89.886	-4.853
90.885	-4.819
91.884	-4.706
92.882	-4.741
93.881	-4.617
94.880	-4.692
95.878	-4.694
96.877	-4.676
97.876	-4.663
98.875	-4.679
99.873	-4.719
100.872	-4.708
101.871	-4.728
102.870	-4.773
103.868	-4.789
104.867	-4.745
105.866	-4.705
106.865	-4.771
107.863	-4.877
108.862	-4.791
109.861	-4.726
110.859	-4.902
111.858	-4.790
112.857	-4.643
113.856	-4.616
114.854	-4.709
115.853	-4.735
116.852	-4.700
117.851	-4.682
118.849	-4.786
119.848	-4.787
120.847	-4.762
121.846	-4.678
122.844	-4.581
123.843	-4.580
124.842	-4.683
125.840	-4.672
126.839	-4.653
127.838	-4.683
128.837	-4.665
129.835	-4.661
130.834	-4.787
131.833	-4.777
132.832	-4.747
133.830	-4.803
134.829	-4.730
135.828	-4.629
136.827	-4.724
137.825	-4.579
138.824	-4.437
139.823	-4.566
140.821	-4.437
141.820	-4.591
142.819	-4.705
143.818	-4.724
144.816	-4.630
145.815	-4.638
146.814	-4.585
147.813	-4.618
148.811	-4.688
149.810	-4.653
150.809	-4.574
151.808	-4.524
152.806	-4.551
153.805	-4.559
154.804	-4.383
155.803	-4.412
156.801	-4.426
157.800	-4.374
158.799	-4.254
159.797	-4.428
160.796	-4.362
161.795	-4.328
162.794	-4.347
163.792	-4.323
164.791	-4.350
165.790	-4.462
166.789	-4.501
167.787	-4.430
168.786	-4.301
169.785	-4.314
170.784	-4.397
171.782	-4.411
172.781	-4.353
173.780	-4.318
174.778	-4.341
175.777	-4.318
176.776	-4.266
177.775	-4.220
178.773	-4.244
179.772	-4.269
180.771	-4.280
181.770	-4.260
182.768	-4.299
183.767	-4.324
184.766	-4.339
185.765	-4.383
186.763	-4.285
187.762	-4.169
188.761	-4.154
189.759	-4.311
190.758	-4.368
191.757	-4.345
192.756	-4.336
193.754	-4.234
194.753	-4.180
195.752	-4.157
196.751	-4.257
197.749	-4.291
198.748	-4.206
199.747	-4.217
200.746	-4.238
201.744	-4.115
202.743	-4.103
203.742	-4.171
204.740	-4.236
205.739	-4.229
206.738	-4.150
207.737	-4.114
208.735	-4.148
209.734	-4.083
210.733	-3.933
211.732	-3.992
212.730	-3.962
213.729	-3.909
214.728	-3.865
215.727	-3.850
216.725	-3.839
217.724	-3.827
218.723	-3.827
219.721	-3.782
220.720	-3.759
221.719	-3.754
222.718	-3.748
223.716	-3.743
224.715	-3.740
225.714	-3.736
226.713	-3.732
227.711	-3.728
228.710	-3.726
229.709	-3.724
230.708	-3.677
231.706	-3.527
232.705	-3.503
233.704	-3.479
234.702	-3.455
235.701	-3.431
236.700	-3.407
237.699	-3.373
