M,Z
0,-19.545
1,-19.539
1.999,-19.534
2.999,-19.528
3.999,-19.523
4.999,-19.517
5.998,-19.512
6.998,-19.506
7.998,-19.501
8.998,-19.495
9.997,-19.489
10.997,-19.483
11.997,-19.478
12.997,-19.472
13.996,-19.466
14.996,-19.46
15.996,-19.454
16.996,-19.448
17.995,-19.442
18.995,-19.435
19.995,-19.429
20.995,-19.423
21.994,-19.417
22.994,-19.41
23.994,-19.404
24.993,-19.397
25.993,-19.391
26.993,-19.384
27.993,-19.378
28.992,-19.371
29.992,-19.364
30.992,-19.358
31.992,-19.351
32.991,-19.344
33.991,-19.337
34.991,-19.33
35.991,-19.323
36.99,-19.316
37.99,-19.309
38.99,-19.302
39.99,-19.295
40.989,-19.288
41.989,-19.28
42.989,-19.273
43.989,-19.266
44.988,-19.258
45.988,-19.251
46.988,-19.243
47.988,-19.236
48.987,-19.228
49.987,-19.22
50.987,-19.213
51.986,-19.205
52.986,-19.197
53.986,-19.189
54.986,-19.181
55.985,-19.173
56.985,-19.165
57.985,-19.157
58.985,-19.149
59.984,-19.141
60.984,-19.133
61.984,-19.125
62.984,-19.116
63.983,-19.108
64.983,-19.1
65.983,-19.091
66.983,-19.083
67.982,-19.074
68.982,-19.066
69.982,-19.057
70.982,-19.049
71.981,-19.04
72.981,-19.031
73.981,-19.022
74.98,-19.013
75.98,-19.004
76.98,-18.996
77.98,-18.987
78.979,-18.977
79.979,-18.968
80.979,-18.959
81.979,-18.95
82.978,-18.941
83.978,-18.933
84.978,-18.924
85.978,-18.915
86.977,-18.906
87.977,-18.897
88.977,-18.888
89.977,-18.88
90.976,-18.871
91.976,-18.862
92.976,-18.853
93.976,-18.844
94.975,-18.835
95.975,-18.826
96.975,-18.817
97.975,-18.808
98.974,-18.799
99.974,-18.79
100.974,-18.781
101.973,-18.772
102.973,-18.763
103.973,-18.754
104.973,-18.745
105.972,-18.735
106.972,-18.726
107.972,-18.717
108.972,-18.708
109.971,-18.699
110.971,-18.69
111.971,-18.681
112.971,-18.671
113.97,-18.662
114.97,-18.653
115.97,-18.644
116.97,-18.634
117.969,-18.625
118.969,-18.616
119.969,-18.606
120.969,-18.597
121.968,-18.588
122.968,-18.578
123.968,-18.569
124.967,-18.56
125.967,-18.55
126.967,-18.541
127.967,-18.532
128.966,-18.522
129.966,-18.513
130.966,-18.503
131.966,-18.494
132.965,-18.484
133.965,-18.475
134.965,-18.465
135.965,-18.456
136.964,-18.446
137.964,-18.437
138.964,-18.427
139.964,-18.418
140.963,-18.408
141.963,-18.398
142.963,-18.389
143.963,-18.379
144.962,-18.369
145.962,-18.36
146.962,-18.35
147.962,-18.34
148.961,-18.331
149.961,-18.321
150.961,-18.311
151.96,-18.302
152.96,-18.292
153.96,-18.282
154.96,-18.273
155.959,-18.263
156.959,-18.253
157.959,-18.244
158.959,-18.234
159.958,-18.225
160.958,-18.215
161.958,-18.205
162.958,-18.196
163.957,-18.186
164.957,-18.176
165.957,-18.167
166.957,-18.157
167.956,-18.148
168.956,-18.138
169.956,-18.128
170.956,-18.119
171.955,-18.109
172.955,-18.1
173.955,-18.09
174.954,-18.08
175.954,-18.071
176.954,-18.061
177.954,-18.052
178.953,-18.042
179.953,-18.033
180.953,-18.031
181.953,-18.03
182.952,-18.029
183.952,-18.028
184.952,-18.027
185.952,-18.025
186.951,-18.024
187.951,-18.023
188.951,-18.022
189.951,-18.021
190.95,-18.019
191.95,-18.018
192.95,-18.017
193.95,-18.016
194.949,-18.015
195.949,-18.013
196.949,-18.012
197.948,-18.011
198.948,-18.01
199.948,-18.009
200.948,-18.007
201.947,-18.006
202.947,-18.005
203.947,-18.004
204.947,-18.003
205.946,-18.001
206.946,-18
207.946,-17.999
208.946,-17.998
209.945,-17.997
210.945,-17.995
211.945,-17.994
212.945,-17.993
213.944,-17.992
214.944,-17.991
215.944,-17.989
216.944,-17.988
217.943,-17.987
218.943,-17.986
219.943,-17.985
220.943,-17.983
221.942,-17.982
222.942,-17.981
223.942,-17.98
224.941,-17.979
225.941,-17.977
226.941,-17.976
227.941,-17.975
228.94,-17.974
229.94,-17.973
230.94,-17.971
231.94,-17.97
232.939,-17.969
233.939,-17.968
234.939,-17.966
235.939,-17.965
236.938,-17.964
237.938,-17.963
238.938,-17.962
239.938,-17.96
240.937,-17.959
241.937,-17.958
242.937,-17.957
243.937,-17.956
244.936,-17.954
245.936,-17.953
246.936,-17.952
247.935,-17.951
248.935,-17.95
249.935,-17.948
250.935,-17.947
251.934,-17.946
252.934,-17.945
253.934,-17.944
254.934,-17.942
255.933,-17.941
256.933,-17.94
257.933,-17.939
258.933,-17.938
259.932,-17.936
260.932,-17.935
261.932,-17.934
262.932,-17.933
263.931,-17.932
264.931,-17.93
265.931,-17.929
266.931,-17.928
267.93,-17.927
268.93,-17.926
269.93,-17.924
270.93,-17.923
271.929,-17.922
