M,Z
0,-19.514
1,-19.514
2,-19.513
3,-19.513
3.999,-19.513
4.999,-19.513
5.999,-19.512
6.999,-19.512
7.999,-19.512
8.999,-19.512
9.999,-19.512
10.999,-19.511
11.998,-19.511
12.998,-19.511
13.998,-19.511
14.998,-19.51
15.998,-19.51
16.998,-19.51
17.998,-19.51
18.998,-19.51
19.997,-19.509
20.997,-19.509
21.997,-19.509
22.997,-19.509
23.997,-19.508
24.997,-19.508
25.997,-19.508
26.997,-19.508
27.996,-19.508
28.996,-19.507
29.996,-19.507
30.996,-19.507
31.996,-19.507
32.996,-19.506
33.996,-19.506
34.996,-19.506
35.995,-19.506
36.995,-19.506
37.995,-19.505
38.995,-19.505
39.995,-19.505
40.995,-19.505
41.995,-19.504
42.995,-19.504
43.994,-19.501
44.994,-19.498
45.994,-19.495
46.994,-19.492
47.994,-19.489
48.994,-19.486
49.994,-19.483
50.994,-19.48
51.993,-19.477
52.993,-19.474
53.993,-19.471
54.993,-19.468
55.993,-19.465
56.993,-19.462
57.993,-19.459
58.993,-19.456
59.992,-19.453
60.992,-19.45
61.992,-19.448
62.992,-19.445
63.992,-19.442
64.992,-19.439
65.992,-19.436
66.992,-19.433
67.991,-19.43
68.991,-19.427
69.991,-19.424
70.991,-19.421
71.991,-19.418
72.991,-19.415
73.991,-19.412
74.991,-19.409
75.99,-19.406
76.99,-19.403
77.99,-19.4
78.99,-19.397
79.99,-19.394
80.99,-19.391
81.99,-19.388
82.989,-19.384
83.989,-19.381
84.989,-19.378
85.989,-19.375
86.989,-19.372
87.989,-19.369
88.989,-19.366
89.989,-19.363
90.988,-19.359
91.988,-19.356
92.988,-19.353
93.988,-19.35
94.988,-19.347
95.988,-19.343
96.988,-19.34
97.988,-19.337
98.987,-19.334
99.987,-19.331
100.987,-19.327
101.987,-19.324
102.987,-19.321
103.987,-19.318
104.987,-19.314
105.987,-19.311
106.986,-19.308
107.986,-19.304
108.986,-19.301
109.986,-19.298
110.986,-19.295
111.986,-19.291
112.986,-19.288
113.986,-19.285
114.985,-19.281
115.985,-19.278
116.985,-19.274
117.985,-19.271
118.985,-19.268
119.985,-19.264
120.985,-19.261
121.985,-19.257
122.984,-19.254
123.984,-19.251
124.984,-19.247
125.984,-19.244
126.984,-19.24
127.984,-19.237
128.984,-19.233
129.984,-19.23
130.983,-19.226
131.983,-19.223
132.983,-19.219
133.983,-19.216
134.983,-19.212
135.983,-19.209
136.983,-19.205
137.983,-19.202
138.982,-19.198
139.982,-19.195
140.982,-19.191
141.982,-19.187
142.982,-19.184
143.982,-19.18
144.982,-19.177
145.982,-19.173
146.981,-19.169
147.981,-19.166
148.981,-19.162
149.981,-19.158
150.981,-19.153
151.981,-19.149
152.981,-19.144
153.981,-19.14
154.98,-19.135
155.98,-19.131
156.98,-19.126
157.98,-19.122
158.98,-19.117
159.98,-19.113
160.98,-19.108
161.98,-19.103
