X	Graphic Profile 1
0.000	23.514
1.000	23.514
2.000	23.513
3.000	23.513
3.999	23.513
4.999	23.513
5.999	23.512
6.999	23.512
7.999	23.512
8.999	23.512
9.999	23.512
10.999	23.511
11.998	23.511
12.998	23.511
13.998	23.511
14.998	23.510
15.998	23.510
16.998	23.510
17.998	23.510
18.998	23.510
19.997	23.509
20.997	23.509
21.997	23.509
22.997	23.509
23.997	23.508
24.997	23.508
25.997	23.508
26.997	23.508
27.996	23.508
28.996	23.507
29.996	23.507
30.996	23.507
31.996	23.507
32.996	23.506
33.996	23.506
34.996	23.506
35.995	23.506
36.995	23.506
37.995	23.505
38.995	23.505
39.995	23.505
40.995	23.505
41.995	23.504
42.995	23.504
43.994	23.501
44.994	23.498
45.994	23.495
46.994	23.492
47.994	23.489
48.994	23.486
49.994	23.483
50.994	23.480
51.993	23.477
52.993	23.474
53.993	23.471
54.993	23.468
55.993	23.465
56.993	23.462
57.993	23.459
58.993	23.456
59.992	23.453
60.992	23.450
61.992	23.448
62.992	23.445
63.992	23.442
64.992	23.439
65.992	23.436
66.992	23.433
67.991	23.430
68.991	23.427
69.991	23.424
70.991	23.421
71.991	23.418
72.991	23.415
73.991	23.412
74.991	23.409
75.990	23.406
76.990	23.403
77.990	23.400
78.990	23.397
79.990	23.394
80.990	23.391
81.990	23.388
82.989	23.384
83.989	23.381
84.989	23.378
85.989	23.375
86.989	23.372
87.989	23.369
88.989	23.366
89.989	23.363
90.988	23.359
91.988	23.356
92.988	23.353
93.988	23.350
94.988	23.347
95.988	23.343
96.988	23.340
97.988	23.337
98.987	23.334
99.987	23.331
100.987	23.327
101.987	23.324
102.987	23.321
103.987	23.318
104.987	23.314
105.987	23.311
106.986	23.308
107.986	23.304
108.986	23.301
109.986	23.298
110.986	23.295
111.986	23.291
112.986	23.288
113.986	23.285
114.985	23.281
115.985	23.278
116.985	23.274
117.985	23.271
118.985	23.268
119.985	23.264
120.985	23.261
121.985	23.257
122.984	23.254
123.984	23.251
124.984	23.247
125.984	23.244
126.984	23.240
127.984	23.237
128.984	23.233
129.984	23.230
130.983	23.226
131.983	23.223
132.983	23.219
133.983	23.216
134.983	23.212
135.983	23.209
136.983	23.205
137.983	23.202
138.982	23.198
139.982	23.195
140.982	23.191
141.982	23.187
142.982	23.184
143.982	23.180
144.982	23.177
145.982	23.173
146.981	23.169
147.981	23.166
148.981	23.162
149.981	23.158
150.981	23.153
151.981	23.149
152.981	23.144
153.981	23.140
154.980	23.135
155.980	23.131
156.980	23.126
157.980	23.122
158.980	23.117
159.980	23.113
160.980	23.108
161.980	23.103
162.979	23.099
163.979	23.094
164.979	23.089
165.979	23.085
166.979	23.080
167.979	23.075
168.979	23.070
169.978	23.066
170.978	23.061
171.978	23.056
172.978	23.051
173.978	23.047
174.978	23.042
175.978	23.037
176.978	23.032
177.977	23.027
178.977	23.022
179.977	23.017
180.977	23.012
181.977	23.007
182.977	23.003
183.977	22.998
184.977	22.993
185.976	22.988
186.976	22.983
187.976	22.978
188.976	22.972
189.976	22.967
190.976	22.962
191.976	22.957
192.976	22.952
193.975	22.947
194.975	22.942
195.975	22.937
196.975	22.932
197.975	22.926
198.975	22.921
199.975	22.916
200.975	22.911
201.974	22.905
202.974	22.900
203.974	22.895
204.974	22.890
205.974	22.884
206.974	22.879
207.974	22.874
208.974	22.868
209.973	22.863
210.973	22.857
211.973	22.852
212.973	22.847
213.973	22.841
214.973	22.836
215.973	22.830
216.973	22.825
217.972	22.819
218.972	22.814
219.972	22.808
220.972	22.803
221.972	22.797
222.972	22.792
223.972	22.786
224.972	22.780
225.971	22.775
226.971	22.769
227.971	22.763
228.971	22.758
229.971	22.752
230.971	22.746
231.971	22.741
