X	Graphic Profile 1
0.000	-3.538
1.000	-3.531
2.000	-3.518
3.000	-3.504
4.000	-3.491
5.000	-3.477
6.000	-3.464
7.000	-3.450
8.000	-3.437
9.000	-3.423
10.000	-3.410
11.000	-3.396
11.999	-3.383
12.999	-3.369
13.999	-3.356
14.999	-3.350
15.999	-3.354
16.999	-3.340
17.999	-3.327
18.999	-3.314
19.999	-3.301
20.999	-3.288
21.999	-3.276
22.999	-3.265
23.999	-3.253
24.999	-3.242
25.999	-3.230
26.999	-3.219
27.999	-3.207
28.999	-3.195
29.999	-3.184
30.999	-3.172
31.999	-3.161
32.999	-3.149
33.999	-3.138
34.998	-3.126
35.998	-3.115
36.998	-3.103
37.998	-3.091
38.998	-3.079
39.998	-3.063
40.998	-3.046
41.998	-3.041
42.998	-3.036
43.998	-3.030
44.998	-3.025
45.998	-3.020
46.998	-3.015
47.998	-3.010
48.998	-3.005
49.998	-2.999
50.998	-2.994
51.998	-2.989
52.998	-2.984
53.998	-2.979
54.998	-2.973
55.998	-2.968
56.998	-2.963
57.997	-2.958
58.997	-2.953
59.997	-2.948
60.997	-2.943
61.997	-2.938
62.997	-2.935
63.997	-2.933
64.997	-2.926
65.997	-2.913
66.997	-2.899
67.997	-2.885
68.997	-2.872
69.997	-2.858
70.997	-2.844
71.997	-2.831
72.997	-2.817
73.997	-2.802
74.997	-2.787
75.997	-2.771
76.997	-2.757
77.997	-2.744
78.997	-2.735
79.996	-2.725
80.996	-2.715
81.996	-2.703
82.996	-2.689
83.996	-2.683
84.996	-2.677
85.996	-2.674
86.996	-2.644
87.996	-2.597
88.996	-2.577
89.996	-2.547
90.996	-2.524
91.996	-2.508
92.996	-2.495
93.996	-2.497
94.996	-2.474
95.996	-2.445
96.996	-2.418
97.996	-2.428
98.996	-2.409
99.996	-2.354
100.996	-2.303
101.996	-2.294
102.995	-2.328
103.995	-2.364
104.995	-2.292
105.995	-2.282
106.995	-2.223
107.995	-2.292
108.995	-2.207
109.995	-2.265
110.995	-2.270
111.995	-2.268
112.995	-2.260
113.995	-2.213
114.995	-2.193
115.995	-2.200
116.995	-2.170
117.995	-2.172
118.995	-2.208
119.995	-2.179
120.995	-2.169
121.995	-2.129
122.995	-2.131
123.995	-2.133
124.995	-2.130
125.994	-2.113
126.994	-2.083
127.994	-2.099
128.994	-2.113
129.994	-2.082
130.994	-2.084
131.994	-2.074
132.994	-2.068
133.994	-2.072
134.994	-2.094
135.994	-2.066
136.994	-2.021
137.994	-2.015
138.994	-2.038
139.994	-2.023
140.994	-1.979
141.994	-1.970
142.994	-1.980
143.994	-1.988
144.994	-1.984
145.994	-1.933
146.994	-1.937
147.994	-1.939
148.993	-1.898
149.993	-1.913
150.993	-1.914
151.993	-1.864
152.993	-1.863
153.993	-1.854
154.993	-1.796
155.993	-1.788
156.993	-1.771
