X	Graphic Profile 1
0.000	-10.286
1.000	-10.240
2.000	-10.194
3.000	-10.149
3.999	-10.103
4.999	-10.057
5.999	-10.011
6.999	-9.965
7.999	-9.920
8.999	-9.874
9.999	-9.828
10.998	-9.782
11.998	-9.737
12.998	-9.691
13.998	-9.645
14.998	-9.658
15.998	-9.698
16.998	-9.602
17.997	-9.522
18.997	-9.483
19.997	-9.444
20.997	-9.495
21.997	-9.496
22.997	-9.439
23.997	-9.383
24.996	-9.330
25.996	-9.289
26.996	-9.287
27.996	-9.287
28.996	-9.280
29.996	-9.275
30.995	-9.267
31.995	-9.256
32.995	-9.227
33.995	-9.304
34.995	-9.442
35.995	-9.310
36.995	-9.123
37.994	-8.868
38.994	-8.762
39.994	-8.723
40.994	-8.680
41.994	-8.577
42.994	-8.438
43.994	-8.480
44.993	-8.588
45.993	-8.546
46.993	-8.518
47.993	-8.492
48.993	-8.457
49.993	-8.445
50.993	-8.505
51.992	-8.622
52.992	-8.600
53.992	-8.622
54.992	-8.467
55.992	-8.381
56.992	-8.278
57.992	-8.211
58.991	-8.164
59.991	-8.161
60.991	-7.998
61.991	-7.699
62.991	-7.741
63.991	-7.704
64.991	-7.753
65.990	-7.784
66.990	-7.882
67.990	-7.886
68.990	-7.856
69.990	-7.956
70.990	-7.965
71.990	-7.949
72.989	-8.010
73.989	-8.000
74.989	-8.073
75.989	-7.999
76.989	-7.919
77.989	-7.811
78.989	-7.770
79.988	-7.881
80.988	-8.124
81.988	-8.027
82.988	-8.326
83.988	-8.235
84.988	-8.378
85.988	-8.414
86.987	-8.371
87.987	-8.271
88.987	-8.169
89.987	-8.096
90.987	-8.064
91.987	-8.005
92.986	-7.912
93.986	-8.161
94.986	-7.971
95.986	-7.966
96.986	-7.920
97.986	-7.924
98.986	-7.772
99.985	-7.584
100.985	-7.592
101.985	-7.504
102.985	-7.618
103.985	-7.470
104.985	-7.369
105.985	-7.493
106.984	-7.475
107.984	-7.457
108.984	-7.389
109.984	-7.423
110.984	-7.349
111.984	-7.398
112.984	-7.356
113.983	-7.373
114.983	-7.459
115.983	-7.420
116.983	-7.490
117.983	-7.529
118.983	-7.482
119.983	-7.555
120.982	-7.639
121.982	-7.368
122.982	-7.462
123.982	-7.559
124.982	-7.549
125.982	-7.500
126.982	-7.643
127.981	-7.513
128.981	-7.552
129.981	-7.481
130.981	-7.504
131.981	-7.566
132.981	-7.528
133.981	-7.460
134.980	-7.400
135.980	-7.413
136.980	-7.096
137.980	-7.141
138.980	-7.216
139.980	-7.248
140.980	-7.210
141.979	-7.182
142.979	-7.152
143.979	-7.167
144.979	-7.057
145.979	-7.217
146.979	-6.964
147.978	-6.969
148.978	-6.880
149.978	-6.891
150.978	-6.884
151.978	-7.006
152.978	-6.978
153.978	-6.909
154.977	-6.970
155.977	-7.024
156.977	-7.133
157.977	-6.971
158.977	-6.936
159.977	-6.866
160.977	-6.906
161.976	-6.781
162.976	-6.803
163.976	-6.765
164.976	-6.702
165.976	-6.661
166.976	-6.522
167.976	-6.582
168.975	-6.645
169.975	-6.583
170.975	-6.586
171.975	-6.712
172.975	-6.783
173.975	-6.761
174.975	-6.697
175.974	-6.635
176.974	-6.578
177.974	-6.629
178.974	-6.755
179.974	-6.829
180.974	-6.591
181.974	-6.596
182.973	-6.490
183.973	-6.499
184.973	-6.482
185.973	-6.470
186.973	-6.442
187.973	-6.510
188.973	-6.522
189.972	-6.416
190.972	-6.399
191.972	-6.440
192.972	-6.386
193.972	-6.381
194.972	-6.347
195.972	-6.255
196.971	-6.233
197.971	-6.102
198.971	-5.986
199.971	-5.961
200.971	-5.922
201.971	-5.956
202.971	-6.124
203.970	-6.076
204.970	-6.179
205.970	-6.348
206.970	-6.438
207.970	-6.482
208.970	-6.434
209.969	-6.292
210.969	-6.163
211.969	-6.119
212.969	-6.043
213.969	-6.059
214.969	-6.053
215.969	-6.044
216.968	-6.065
217.968	-5.980
218.968	-5.890
219.968	-5.934
220.968	-6.024
221.968	-5.975
222.968	-5.919
223.967	-5.855
224.967	-5.780
225.967	-5.812
226.967	-5.847
227.967	-6.159
228.967	-5.686
229.967	-5.709
230.966	-5.741
231.966	-5.733
232.966	-5.742
233.966	-5.778
234.966	-5.753
235.966	-5.734
236.966	-5.701
237.965	-5.720
238.965	-5.723
239.965	-5.782
240.965	-5.853
241.965	-5.902
242.965	-5.904
243.965	-5.899
244.964	-5.895
245.964	-5.919
246.964	-5.906
247.964	-5.846
248.964	-5.868
249.964	-5.874
250.964	-5.870
251.963	-5.858
252.963	-5.838
253.963	-5.812
254.963	-5.830
255.963	-5.791
256.963	-5.822
257.963	-5.828
258.962	-5.797
259.962	-5.786
260.962	-5.793
261.962	-5.760
262.962	-5.712
263.962	-5.733
264.961	-5.678
265.961	-5.648
266.961	-5.622
267.961	-5.631
268.961	-5.656
269.961	-5.619
270.961	-5.593
271.960	-5.606
272.960	-5.620
273.960	-5.658
274.960	-5.643
275.960	-5.555
276.960	-5.559
277.960	-5.524
278.959	-5.512
279.959	-5.538
280.959	-5.506
281.959	-5.500
282.959	-5.492
283.959	-5.486
284.959	-5.544
285.958	-5.520
286.958	-5.609
287.958	-5.731
288.958	-5.813
289.958	-5.841
290.958	-5.856
291.958	-5.811
292.957	-5.801
293.957	-5.831
294.957	-5.823
295.957	-5.831
296.957	-5.860
297.957	-5.853
298.957	-5.863
299.956	-5.846
300.956	-5.854
301.956	-5.866
302.956	-5.728
303.956	-5.738
304.956	-5.739
305.956	-5.659
306.955	-5.606
307.955	-5.586
308.955	-5.629
309.955	-5.612
310.955	-5.529
311.955	-5.511
312.955	-5.494
313.954	-5.462
314.954	-5.436
315.954	-5.455
316.954	-5.403
317.954	-5.378
318.954	-5.373
319.953	-5.307
320.953	-5.318
321.953	-5.251
322.953	-5.216
323.953	-5.209
324.953	-5.200
325.953	-5.192
326.952	-5.175
327.952	-5.178
328.952	-5.109
329.952	-5.083
330.952	-5.074
331.952	-5.059
332.952	-5.060
333.951	-5.046
334.951	-5.047
335.951	-5.011
336.951	-4.971
337.951	-4.960
338.951	-4.983
339.951	-4.976
340.950	-4.944
341.950	-4.901
342.950	-4.891
343.950	-4.884
344.950	-4.860
345.950	-4.871
346.950	-4.878
347.949	-4.819
348.949	-4.803
349.949	-4.806
350.949	-4.773
351.949	-4.758
352.949	-4.740
353.949	-4.730
354.948	-4.697
355.948	-4.679
356.948	-4.660
357.948	-4.638
358.948	-4.642
359.948	-4.616
360.948	-4.606
361.947	-4.597
362.947	-4.594
363.947	-4.560
364.947	-4.533
365.947	-4.521
366.947	-4.507
367.947	-4.478
368.946	-4.470
369.946	-4.468
370.946	-4.476
371.946	-4.461
