M,Z
0,-19.491
111,-19.223
222,-19.049
333,-18.934
444,-18.765
555,-18.493
666,-18.126
777,-17.715
888,-17.315
999,-16.955
1110,-16.637
1221,-16.343
1332,-16.054
1443,-15.76
1554,-15.436
1665,-15.076
1776,-14.629
1887,-14.036
1998,-13.217
2109,-12.211
2220,-10.939
2331,-8.44
2442,-6.676
2553,-8.179
2664,-9.143
2775,-2.307
2776,-2.308
2777,-2.307
2778,-2.306
2779,-2.297
2780,-2.284
2781,-2.247
2782,-2.18
2783,-2.096
2784,-1.998
2785,-1.904
2786,-1.846
2787,-1.82
2788,-1.825
2789,-1.823
2790,-1.8
2791,-1.767
2792,-1.64
2793,-1.521
2794,-1.412
2795,-1.311
2796,-1.22
2797,-1.109
2798,-0.993
2799,-0.882
2800,-0.773
2801,-0.664
2802,-0.558
2803,-0.453
2804,-0.352
2805,-0.334
2806,-0.326
2807,-0.315
2808,-0.303
2809,-0.288
2810,-0.27
2811,-0.254
2812,-0.241
2813,-0.269
2814,-0.308
2815,-0.355
2816,-0.411
2817,-0.472
2818,-0.524
2819,-0.577
2820,-0.628
2821,-0.576
2822,-0.516
2823,-0.449
2824,-0.367
2825,-0.279
2826,-0.191
2827,-0.102
2828,-0.022
2829,-0.001
2830,0.024
2831,0.033
2832,0.041
2833,0.049
2834,0.055
2835,0.061
2836,0.059
2837,0.075
2838,0.109
2839,0.144
2840,0.182
2841,0.221
2842,0.263
2843,0.293
2844,0.301
2845,0.339
2846,0.378
2847,0.419
2848,0.46
2849,0.503
2850,0.543
2851,0.58
2852,0.612
2853,0.642
2854,0.674
2855,0.708
2856,0.742
2857,0.77
2858,0.796
2859,0.82
2860,0.839
2861,0.857
2862,0.877
2863,0.878
2864,0.879
2865,0.887
2866,0.9
2867,0.92
2868,0.937
2869,0.953
2870,0.965
2871,0.979
2872,0.996
2873,1.016
2874,1.038
2875,1.063
2876,1.114
2877,1.166
2878,1.215
2879,1.261
2880,1.305
2881,1.345
2882,1.365
2883,1.348
2884,1.314
2885,1.295
2886,1.295
2887,1.314
2888,1.352
2889,1.422
2890,1.491
2891,1.557
2892,1.671
2893,1.745
2894,1.776
2895,1.8
2896,1.858
2897,1.917
2898,1.977
2899,2.043
2900,2.157
2901,2.212
2902,2.327
2903,2.449
2904,2.574
2905,2.702
2906,2.834
2907,2.983
2908,3.267
2909,3.598
2910,3.923
2911,4.241
2912,4.552
2913,4.856
2914,5.153
2915,5.32
2916,5.466
2917,5.716
2918,6.068
2919,6.525
2920,7.085
2921,8.354
2922,10.095
2923,11.993
2924,14.181
2925,16.217
2926,18.102
2927,19.782
2928,20.673
2929,21.495
2930,22.247
2931,22.857
2932,23.374
2933,23.913
2934,24.542
2935,25.214
2936,25.878
2937,26.534
2938,27.182
2939,27.847
2940,28.513
2941,28.924
2942,29.336
2943,29.746
2944,30.157
2945,30.567
2946,30.976
2947,36.975
2948,45.078
2949,52.076
2950,57.97
2951,62.76
2952,66.446
2953,68.706
2954,68.972
2955,70.244
2956,71.655
2957,72.832
2958,73.773
2959,74.478
2960,75.322
2961,76.177
2962,76.897
2963,77.48
2964,77.957
2965,78.331
2966,78.566
2967,78.64
2968,78.716
2969,78.792
2970,78.869
2971,78.932
2972,78.983
2973,79.009
2974,79.03
2975,79.052
2976,79.076
2977,79.1
2978,79.127
2979,79.183
2980,79.26
2981,79.332
2982,79.401
2983,79.465
2984,79.526
