X	Graphic Profile 1
0.000	-2.307
0.998	-2.308
1.997	-2.307
2.995	-2.306
3.994	-2.297
4.992	-2.284
5.991	-2.247
6.989	-2.180
7.988	-2.096
8.986	-1.998
9.985	-1.904
10.983	-1.846
11.982	-1.820
12.980	-1.825
13.979	-1.823
14.977	-1.800
15.976	-1.767
16.974	-1.640
17.973	-1.521
18.971	-1.412
19.970	-1.311
20.968	-1.220
21.967	-1.109
22.965	-0.993
23.964	-0.882
24.962	-0.773
25.961	-0.664
26.959	-0.558
27.958	-0.453
28.956	-0.352
29.955	-0.334
30.953	-0.326
31.952	-0.315
32.950	-0.303
33.949	-0.288
34.947	-0.270
35.946	-0.254
36.944	-0.241
37.943	-0.269
38.941	-0.308
39.940	-0.355
40.938	-0.411
41.937	-0.472
42.935	-0.524
43.934	-0.577
44.932	-0.628
45.931	-0.576
46.929	-0.516
47.928	-0.449
48.926	-0.367
49.925	-0.279
50.923	-0.191
51.922	-0.102
52.920	-0.022
53.919	-0.001
54.917	0.024
55.916	0.033
56.914	0.041
57.913	0.049
58.911	0.055
59.910	0.061
60.908	0.059
61.907	0.075
62.905	0.109
63.904	0.144
64.902	0.182
65.901	0.221
66.899	0.263
67.898	0.293
68.896	0.301
69.895	0.339
70.893	0.378
71.892	0.419
72.890	0.460
73.889	0.503
74.887	0.543
75.886	0.580
76.884	0.612
77.883	0.642
78.881	0.674
79.880	0.708
80.878	0.742
81.877	0.770
82.875	0.796
83.874	0.820
84.872	0.839
85.871	0.857
86.869	0.877
87.868	0.878
88.866	0.879
89.865	0.887
90.863	0.900
91.862	0.920
92.860	0.937
93.859	0.953
94.857	0.965
95.856	0.979
96.854	0.996
97.853	1.016
98.851	1.038
99.850	1.063
100.848	1.114
101.847	1.166
102.845	1.215
103.844	1.261
104.842	1.305
105.841	1.345
106.839	1.365
107.838	1.348
108.836	1.314
109.835	1.295
110.833	1.295
111.832	1.314
112.830	1.352
113.829	1.422
114.827	1.491
115.826	1.557
116.824	1.671
117.823	1.745
118.821	1.776
119.820	1.800
120.818	1.858
121.817	1.917
122.815	1.977
123.814	2.043
124.812	2.157
125.811	2.212
126.809	2.327
127.808	2.449
128.806	2.574
129.805	2.702
130.803	2.834
131.802	2.983
132.800	3.267
133.799	3.598
134.797	3.923
135.796	4.241
136.794	4.552
137.793	4.856
138.791	5.153
139.790	5.320
140.788	5.466
141.787	5.716
142.785	6.068
143.784	6.525
144.782	7.085
145.781	8.354
146.779	10.095
147.778	11.993
148.776	14.181
149.775	16.217
150.773	18.102
151.772	19.782
152.770	20.673
153.769	21.495
154.767	22.247
155.766	22.857
156.764	23.374
157.763	23.913
158.761	24.542
159.760	25.214
160.758	25.878
161.757	26.534
162.755	27.182
163.754	27.847
164.752	28.513
165.751	28.924
166.749	29.336
167.748	29.746
168.746	30.157
169.745	30.567
170.743	30.976
171.742	36.975
172.740	45.078
173.739	52.076
174.737	57.970
175.736	62.760
176.734	66.446
177.733	68.706
178.731	68.972
179.730	70.244
180.728	71.655
181.727	72.832
182.725	73.773
183.724	74.478
184.722	75.322
185.721	76.177
186.719	76.897
187.718	77.480
188.716	77.957
189.715	78.331
190.713	78.566
191.712	78.640
192.710	78.716
193.709	78.792
194.707	78.869
195.706	78.932
196.704	78.983
197.703	79.009
198.701	79.030
199.700	79.052
200.698	79.076
201.697	79.100
202.695	79.127
203.694	79.183
204.692	79.260
205.691	79.332
206.689	79.401
207.688	79.465
208.686	79.526

