M,Z
0,-17.318
1,-17.316
2,-17.314
3,-17.313
4,-17.311
5,-17.309
6,-17.307
7,-17.306
8,-17.304
9,-17.303
9.999,-17.302
10.999,-17.301
11.999,-17.299
12.999,-17.298
13.999,-17.297
14.999,-17.297
15.999,-17.296
16.999,-17.295
17.999,-17.294
18.999,-17.294
19.999,-17.293
20.999,-17.293
21.999,-17.292
22.999,-17.292
23.999,-17.292
24.999,-17.292
25.999,-17.292
26.999,-17.292
27.998,-17.292
28.998,-17.292
29.998,-17.292
30.998,-17.293
31.998,-17.293
32.998,-17.294
33.998,-17.294
34.998,-17.295
35.998,-17.296
36.998,-17.296
37.998,-17.297
38.998,-17.298
39.998,-17.299
40.998,-17.301
41.998,-17.302
42.998,-17.303
43.998,-17.304
44.998,-17.306
45.998,-17.307
46.997,-17.309
47.997,-17.311
48.997,-17.311
49.997,-17.311
50.997,-17.311
51.997,-17.311
52.997,-17.311
53.997,-17.311
54.997,-17.311
55.997,-17.312
56.997,-17.312
57.997,-17.312
58.997,-17.313
59.997,-17.313
60.997,-17.314
61.997,-17.315
62.997,-17.315
63.997,-17.316
64.997,-17.317
65.996,-17.318
66.996,-17.319
67.996,-17.32
68.996,-17.321
69.996,-17.322
70.996,-17.323
71.996,-17.324
72.996,-17.325
73.996,-17.327
74.996,-17.328
75.996,-17.329
76.996,-17.331
77.996,-17.332
78.996,-17.334
79.996,-17.336
80.996,-17.337
81.996,-17.339
82.996,-17.341
83.995,-17.343
84.995,-17.345
85.995,-17.347
86.995,-17.349
87.995,-17.351
88.995,-17.353
89.995,-17.355
90.995,-17.357
91.995,-17.36
92.995,-17.362
93.995,-17.364
94.995,-17.367
95.995,-17.369
96.995,-17.372
97.995,-17.375
98.995,-17.377
99.995,-17.38
100.995,-17.383
101.995,-17.386
102.994,-17.389
103.994,-17.392
104.994,-17.395
105.994,-17.398
106.994,-17.401
107.994,-17.404
108.994,-17.408
109.994,-17.411
110.994,-17.414
111.994,-17.418
112.994,-17.421
113.994,-17.425
114.994,-17.428
115.994,-17.432
116.994,-17.436
117.994,-17.439
118.994,-17.443
119.994,-17.447
120.994,-17.451
121.993,-17.455
122.993,-17.459
123.993,-17.463
124.993,-17.467
125.993,-17.472
126.993,-17.476
127.993,-17.48
128.993,-17.485
129.993,-17.489
130.993,-17.494
131.993,-17.498
132.993,-17.503
133.993,-17.507
134.993,-17.512
135.993,-17.517
136.993,-17.522
137.993,-17.527
138.993,-17.532
139.992,-17.537
140.992,-17.542
141.992,-17.547
142.992,-17.552
143.992,-17.557
144.992,-17.563
145.992,-17.568
146.992,-17.573
147.992,-17.579
148.992,-17.584
149.992,-17.59
150.992,-17.595
151.992,-17.601
152.992,-17.607
153.992,-17.613
154.992,-17.618
155.992,-17.624
156.992,-17.63
157.992,-17.636
158.991,-17.642
159.991,-17.649
160.991,-17.647
161.991,-17.645
162.991,-17.642
163.991,-17.639
164.991,-17.636
165.991,-17.633
166.991,-17.629
167.991,-17.626
168.991,-17.622
169.991,-17.617
170.991,-17.613
171.991,-17.608
172.991,-17.603
173.991,-17.598
174.991,-17.593
175.991,-17.587
176.99,-17.582
177.99,-17.576
178.99,-17.569
179.99,-17.563
180.99,-17.556
181.99,-17.549
182.99,-17.542
183.99,-17.535
184.99,-17.527
185.99,-17.519
186.99,-17.511
187.99,-17.503
188.99,-17.495
189.99,-17.486
190.99,-17.477
191.99,-17.468
192.99,-17.458
193.99,-17.449
194.99,-17.439
195.989,-17.429
196.989,-17.419
197.989,-17.408
198.989,-17.398
199.989,-17.387
200.989,-17.375
201.989,-17.364
202.989,-17.352
203.989,-17.341
204.989,-17.328
205.989,-17.316
206.989,-17.304
207.989,-17.291
208.989,-17.278
209.989,-17.265
210.989,-17.252
211.989,-17.239
212.989,-17.226
213.989,-17.213
214.988,-17.201
215.988,-17.188
216.988,-17.176
217.988,-17.164
218.988,-17.151
219.988,-17.139
220.988,-17.127
221.988,-17.116
222.988,-17.104
223.988,-17.093
224.988,-17.081
225.988,-17.07
226.988,-17.059
227.988,-17.048
228.988,-17.037
229.988,-17.026
230.988,-17.015
231.988,-17.004
232.987,-16.994
233.987,-16.984
234.987,-16.973
235.987,-16.963
236.987,-16.953
237.987,-16.943
238.987,-16.933
239.987,-16.924
240.987,-16.914
241.987,-16.905
242.987,-16.896
243.987,-16.886
244.987,-16.877
245.987,-16.868
246.987,-16.86
247.987,-16.851
248.987,-16.842
249.987,-16.834
250.987,-16.825
251.986,-16.817
252.986,-16.809
253.986,-16.801
254.986,-16.793
255.986,-16.785
256.986,-16.778
257.986,-16.77
258.986,-16.763
259.986,-16.755
260.986,-16.748
261.986,-16.741
262.986,-16.734
263.986,-16.727
264.986,-16.721
265.986,-16.714
266.986,-16.708
267.986,-16.701
268.986,-16.695
269.986,-16.689
270.985,-16.683
271.985,-16.677
272.985,-16.68
273.985,-16.686
274.985,-16.692
275.985,-16.697
276.985,-16.703
277.985,-16.709
278.985,-16.714
279.985,-16.72
280.985,-16.726
281.985,-16.731
282.985,-16.737
283.985,-16.743
284.985,-16.748
285.985,-16.754
286.985,-16.76
287.985,-16.765
288.984,-16.771
289.984,-16.777
290.984,-16.782
291.984,-16.788
292.984,-16.793
293.984,-16.799
294.984,-16.805
295.984,-16.81
296.984,-16.816
297.984,-16.822
298.984,-16.827
299.984,-16.833
300.984,-16.839
