X	Graphic Profile 1
0.000	21.318
1.000	21.316
2.000	21.314
3.000	21.313
4.000	21.311
5.000	21.309
6.000	21.307
7.000	21.306
8.000	21.304
9.000	21.303
9.999	21.302
10.999	21.301
11.999	21.299
12.999	21.298
13.999	21.297
14.999	21.297
15.999	21.296
16.999	21.295
17.999	21.294
18.999	21.294
19.999	21.293
20.999	21.293
21.999	21.292
22.999	21.292
23.999	21.292
24.999	21.292
25.999	21.292
26.999	21.292
27.998	21.292
28.998	21.292
29.998	21.292
30.998	21.293
31.998	21.293
32.998	21.294
33.998	21.294
34.998	21.295
35.998	21.296
36.998	21.296
37.998	21.297
38.998	21.298
39.998	21.299
40.998	21.301
41.998	21.302
42.998	21.303
43.998	21.304
44.998	21.306
45.998	21.307
46.997	21.309
47.997	21.311
48.997	21.311
49.997	21.311
50.997	21.311
51.997	21.311
52.997	21.311
53.997	21.311
54.997	21.311
55.997	21.312
56.997	21.312
57.997	21.312
58.997	21.313
59.997	21.313
60.997	21.314
61.997	21.315
62.997	21.315
63.997	21.316
64.997	21.317
65.996	21.318
66.996	21.319
67.996	21.320
68.996	21.321
69.996	21.322
70.996	21.323
71.996	21.324
72.996	21.325
73.996	21.327
74.996	21.328
75.996	21.329
76.996	21.331
77.996	21.332
78.996	21.334
79.996	21.336
80.996	21.337
81.996	21.339
82.996	21.341
83.995	21.343
84.995	21.345
85.995	21.347
86.995	21.349
87.995	21.351
88.995	21.353
89.995	21.355
90.995	21.357
91.995	21.360
92.995	21.362
93.995	21.364
94.995	21.367
95.995	21.369
96.995	21.372
97.995	21.375
98.995	21.377
99.995	21.380
100.995	21.383
101.995	21.386
102.994	21.389
103.994	21.392
104.994	21.395
105.994	21.398
106.994	21.401
107.994	21.404
108.994	21.408
109.994	21.411
110.994	21.414
111.994	21.418
112.994	21.421
113.994	21.425
114.994	21.428
115.994	21.432
116.994	21.436
117.994	21.439
118.994	21.443
119.994	21.447
120.994	21.451
121.993	21.455
122.993	21.459
123.993	21.463
124.993	21.467
125.993	21.472
126.993	21.476
127.993	21.480
128.993	21.485
129.993	21.489
130.993	21.494
131.993	21.498
132.993	21.503
133.993	21.507
134.993	21.512
135.993	21.517
136.993	21.522
137.993	21.527
138.993	21.532
139.992	21.537
140.992	21.542
141.992	21.547
142.992	21.552
143.992	21.557
144.992	21.563
145.992	21.568
146.992	21.573
147.992	21.579
148.992	21.584
149.992	21.590
150.992	21.595
151.992	21.601
152.992	21.607
153.992	21.613
154.992	21.618
155.992	21.624
156.992	21.630
157.992	21.636
158.991	21.642
159.991	21.649
160.991	21.647
161.991	21.645
162.991	21.642
163.991	21.639
164.991	21.636
165.991	21.633
166.991	21.629
