X	Graphic Profile 1
0.000	-0.777
1.000	-0.771
1.999	-0.761
2.999	-0.745
3.998	-0.735
4.998	-0.739
5.997	-0.749
6.997	-0.753
7.997	-0.753
8.996	-0.749
9.996	-0.740
10.995	-0.735
11.995	-0.737
12.994	-0.739
13.994	-0.737
14.993	-0.732
15.993	-0.726
16.993	-0.685
17.992	-0.636
18.992	-0.586
19.991	-0.537
20.991	-0.488
21.990	-0.438
22.990	-0.406
23.990	-0.387
24.989	-0.368
25.989	-0.348
26.988	-0.328
27.988	-0.311
28.987	-0.311
29.987	-0.308
30.986	-0.303
31.986	-0.296
32.986	-0.284
33.985	-0.273
34.985	-0.275
35.984	-0.276
36.984	-0.277
37.983	-0.277
38.983	-0.277
39.983	-0.261
40.982	-0.236
41.982	-0.216
42.981	-0.201
43.981	-0.188
44.980	-0.177
45.980	-0.154
46.979	-0.125
47.979	-0.097
48.979	-0.071
49.978	-0.045
50.978	-0.021
51.977	-0.010
52.977	-0.001
53.976	0.011
54.976	0.025
55.976	0.041
56.975	0.060
57.975	0.079
58.974	0.096
59.974	0.110
60.973	0.121
61.973	0.127
62.973	0.123
63.972	0.128
64.972	0.141
65.971	0.163
66.971	0.192
67.970	0.230
68.970	0.265
69.969	0.283
70.969	0.300
71.969	0.319
72.968	0.339
73.968	0.358
74.967	0.377
75.967	0.396
76.966	0.413
77.966	0.430
78.966	0.445
79.965	0.460
80.965	0.481
81.964	0.509
82.964	0.537
83.963	0.565
84.963	0.593
85.962	0.621
86.962	0.685
87.962	0.760
88.961	0.839
89.961	0.923
90.960	1.010
91.960	1.077
92.959	1.067
93.959	1.058
94.959	1.050
95.958	1.044
96.958	1.040
97.957	1.040
98.957	1.054
99.956	1.069
100.956	1.087
101.955	1.113
102.955	1.139
103.955	1.180
104.954	1.253
105.954	1.330
106.953	1.412
107.953	1.498
108.952	1.589
109.952	1.660
110.952	1.691
111.951	1.707
112.951	1.727
113.950	1.752
114.950	1.780
115.949	1.811
116.949	1.839
117.949	1.866
118.948	1.893
119.948	1.918
120.947	1.971
121.947	2.049
122.946	2.120
123.946	2.180
124.945	2.229
125.945	2.269
126.945	2.300
127.944	2.374
128.944	2.452
129.943	2.534
130.943	2.619
131.942	2.701
132.942	2.779
133.942	2.860
134.941	2.947
135.941	3.038
136.940	3.135
137.940	3.238
138.939	3.374
139.939	3.574
140.938	3.812
141.938	4.073
142.938	4.358
143.937	4.667
144.937	5.435
145.936	6.697
146.936	8.123
147.935	9.711
148.935	11.463
149.935	13.150
150.934	14.311
151.934	15.368
152.933	16.479
153.933	17.644
154.932	18.863
155.932	20.136
156.931	21.221
157.931	22.317
158.931	23.455
159.930	25.459
160.930	28.199
161.929	31.767
162.929	39.820
163.928	47.986
164.928	56.264
165.928	64.654
166.927	73.156
167.927	80.937
168.926	85.453
169.926	87.699
170.925	90.010
171.925	92.384
172.925	94.823
173.924	96.483
174.924	96.910
175.923	97.387
176.923	97.914
177.922	98.490
178.922	99.102
179.921	99.400
180.921	99.497
181.921	99.599
182.920	99.707
183.920	99.819
184.919	99.937
185.919	100.039
186.918	100.128
187.918	100.212
188.918	100.305
189.917	100.421
190.917	100.551
191.916	100.887
192.916	101.236
193.915	101.578
194.915	101.913
195.914	102.240
196.914	102.543
197.914	102.641
198.913	102.719
199.913	102.780
200.912	102.826
201.912	102.856
202.911	102.821
203.911	102.620
204.911	102.404
205.910	102.175
206.910	101.933
207.909	101.681
208.909	101.555
209.908	101.557
210.908	101.561
211.908	101.569
212.907	101.579
213.907	101.593
214.906	101.590
215.906	101.569
216.905	101.542
217.905	101.511
218.904	101.485
219.904	101.461
220.904	101.478
221.903	101.507
222.903	101.536
223.902	101.564
224.902	101.592
225.901	101.618
226.901	101.604
227.901	101.583
228.900	101.562
229.900	101.542
230.899	101.525
231.899	101.515
232.898	101.570
233.898	101.641
234.897	101.728
235.897	101.831
236.897	101.950
237.896	102.033
238.896	102.073
239.895	102.118
240.895	102.168
241.894	102.223
242.894	102.283
243.894	102.322
244.893	102.320
245.893	102.308
246.892	102.283
247.892	102.237
248.891	102.193
249.891	102.147
250.890	102.099
251.890	102.052
252.890	102.005
253.889	101.959
254.889	101.913
255.888	101.865
256.888	101.816
257.887	101.769
258.887	101.731
259.887	101.702
260.886	101.683
261.886	101.696
262.885	101.713
263.885	101.731
264.884	101.750
265.884	101.771
266.884	101.785
267.883	101.771
268.883	101.756
269.882	101.740
270.882	101.723
271.881	101.705
272.881	101.683
273.880	101.656
274.880	101.628
275.880	101.599
276.879	101.580
277.879	101.561
278.878	101.541
279.878	101.522
280.877	101.504
281.877	101.486
282.877	101.469
283.876	101.453
284.876	101.448
285.875	101.448
286.875	101.456
287.874	101.472
288.874	101.496
289.873	101.527
290.873	101.564
291.873	101.596
292.872	101.621
293.872	101.641
294.871	101.654
295.871	101.656
296.870	101.628
297.870	101.599
298.870	101.569
299.869	101.539
300.869	101.508
301.868	101.474
302.868	101.421
303.867	101.372
304.867	101.327
305.866	101.309
306.866	101.318
307.866	101.343
308.865	101.360
309.865	101.364
310.864	101.356
311.864	101.336
312.863	101.303
313.863	101.282
314.863	101.282
315.862	101.258
316.862	101.228
317.861	101.191
318.861	101.149
319.860	101.112
320.860	101.074
321.860	101.031
322.859	100.982
323.859	100.927
324.858	100.874
325.858	100.866
326.857	100.860
327.857	100.854
328.856	100.845
329.856	100.835
330.856	100.823
331.855	100.843
332.855	100.866
333.854	100.891
334.854	100.920
335.853	100.952
336.853	100.977
337.853	100.976
338.852	100.975
339.852	100.975
340.851	100.976
341.851	100.977
342.850	100.991
343.850	101.028
344.849	101.052
345.849	101.067
346.849	101.076
347.848	101.078
348.848	101.065
349.847	101.046
350.847	101.030
351.846	101.018
352.846	101.010
353.846	101.006
354.845	100.999
355.845	100.988
356.844	100.982
